Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	68.589996	70.040001	67.699997	69.860001	58.184326	1115400
2009-01-05	69.68	69.980003	68.459999	69.110001	57.559677	1042600
2009-01-06	69.309998	70.589996	68.099998	68.379997	56.951693999999996	1503400
2009-01-07	67.620003	68.449997	67.269997	67.660004	56.352016000000006	1853700
2009-01-08	67.300003	69.290001	66.910004	69.110001	57.559677	1540200
2009-01-09	70.449997	72.989998	70.449997	71.279999	59.367001	2288700
2009-01-12	71.010002	72.43	70.529999	71.0	59.133804000000005	1760900
2009-01-13	71.0	72.860001	70.800003	72.040001	59.999981000000005	1807600
2009-01-14	71.16999799999999	71.639999	70.339996	71.019997	59.150452	1748500
2009-01-15	70.599998	71.410004	69.519997	71.349998	59.425301	1912700
2009-01-16	72.0	72.889999	71.57	72.519997	60.399765	1589500
2009-01-20	72.470001	73.389999	70.839996	70.959999	59.100491000000005	1620900
2009-01-21	71.860001	72.480003	70.199997	72.279999	60.199886	1988300
2009-01-22	71.459999	73.870003	71.349998	73.650002	61.340904	1815400
2009-01-23	72.959999	72.959999	70.739998	71.43	59.491951	2468000
2009-01-26	71.800003	73.489998	71.559998	72.489998	60.374767000000006	2115000
2009-01-27	73.489998	74.620003	72.75	74.150002	61.757346999999996	1847400
2009-01-28	76.980003	77.110001	69.209999	70.050003	58.342571	5896900
2009-01-29	69.57	72.16999799999999	69.269997	71.33000200000001	59.408653	3392100
2009-01-30	71.480003	73.230003	71.120003	72.66999799999999	60.524693000000006	2389000
2009-02-02	72.089996	73.540001	71.550003	72.82	60.649628	1937400
2009-02-03	72.629997	74.059998	72.389999	73.800003	61.465866000000005	1866500
2009-02-04	74.0	75.610001	73.279999	73.870003	61.52415500000001	1713300
2009-02-05	73.550003	74.610001	73.410004	74.050003	61.674061	1510300
2009-02-06	74.519997	74.809998	73.58000200000001	74.089996	61.707367000000005	1303200
2009-02-09	74.199997	74.230003	71.800003	72.82	60.649628	1563900
2009-02-10	72.150002	72.82	70.269997	70.690002	58.87563299999999	1759000
2009-02-11	70.5	71.32	70.08000200000001	70.889999	59.042202	1503200
2009-02-12	70.16999799999999	71.269997	69.599998	71.269997	59.358684999999994	1547600
2009-02-13	71.349998	71.440002	70.349998	70.639999	58.833973	1204000
2009-02-17	69.900002	70.449997	69.010002	69.589996	57.95945699999999	1483300
2009-02-18	70.129997	70.190002	69.120003	69.529999	57.909496	1026400
2009-02-19	68.639999	70.58000200000001	68.639999	69.779999	58.117722	1258200
2009-02-20	69.33000200000001	70.32	69.07	69.610001	57.976105000000004	2235100
2009-02-23	70.309998	70.309998	68.269997	68.650002	57.176575	1816200
2009-02-24	68.160004	69.980003	67.510002	68.639999	57.168231999999996	2036400
2009-02-25	68.800003	68.800003	66.849998	67.629997	56.32703000000001	1824000
2009-02-26	67.66999799999999	68.370003	65.059998	65.099998	54.21985600000001	1287900
2009-02-27	64.190002	64.91999799999999	61.82	61.889998999999996	51.546356	2937500
2009-03-02	63.419998	64.699997	62.060001	63.709998999999996	53.062176	3705100
2009-03-03	64.300003	65.889999	63.66	64.650002	53.845078	2616400
2009-03-04	65.160004	66.07	64.339996	65.010002	54.144913	1836500
2009-03-05	64.040001	64.709999	63.43	63.950001	53.262069999999994	2341800
2009-03-06	63.669998	65.040001	62.950001	64.150002	53.705780000000004	2155900
2009-03-09	63.689999	64.07	61.939999	62.34	52.190464	2439300
2009-03-10	63.310001	63.34	62.130001	62.779999	52.558826	2021700
2009-03-11	63.470001	63.470001	61.5	61.57	51.545821999999994	1693700
2009-03-12	61.939999	64.050003	61.169998	63.950001	53.53834499999999	1965600
2009-03-13	64.050003	65.489998	63.689999	65.18	54.568077	1893600
2009-03-16	65.489998	66.57	65.010002	65.07	54.47599	1169300
2009-03-17	65.239998	65.68	64.480003	65.660004	54.969947999999995	1266800
2009-03-18	65.459999	66.739998	64.639999	65.769997	55.062038	1183800
2009-03-19	66.32	66.32	63.0	63.900002	53.49649399999999	2035700
2009-03-20	64.18	66.190002	63.599998	64.57	54.0574	2385300
2009-03-23	65.58000200000001	66.480003	64.290001	66.41999799999999	55.606193999999995	1435600
2009-03-24	65.900002	67.029999	65.900002	66.050003	55.296440000000004	1223300
2009-03-25	66.599998	67.599998	65.559998	66.410004	55.597823999999996	1635400
2009-03-26	66.5	67.08000200000001	64.309998	66.269997	55.48061800000001	1905700
2009-03-27	65.730003	68.660004	65.550003	68.199997	57.096405000000004	1739200
2009-03-30	67.339996	68.379997	66.0	66.379997	55.572712	1571800
2009-03-31	66.949997	68.360001	65.860001	67.239998	56.292694	1451900
2009-04-01	66.68	66.720001	64.959999	66.400002	55.58945799999999	1880300
2009-04-02	67.790001	68.199997	66.459999	66.800003	55.924335	1529200
2009-04-03	66.83000200000001	67.260002	65.32	65.970001	55.229465000000005	1330800
2009-04-06	65.620003	66.839996	64.959999	65.459999	54.802505000000004	1110100
2009-04-07	64.779999	66.059998	64.279999	65.389999	54.743896	988000
2009-04-08	65.5	66.720001	65.33000200000001	66.41999799999999	55.606193999999995	1236600
2009-04-09	67.190002	67.519997	66.68	67.239998	56.292694	1190700
2009-04-13	67.099998	67.769997	66.620003	67.25	56.30107099999999	1354800
2009-04-14	67.050003	68.959999	67.019997	68.300003	57.180130000000005	2296700
2009-04-15	68.309998	68.910004	66.75	67.480003	56.493629000000006	1432500
2009-04-16	67.860001	68.190002	66.769997	67.900002	56.845257	1215600
2009-04-17	68.0	68.800003	67.360001	68.279999	57.163371999999995	1745600
2009-04-20	68.029999	69.550003	67.940002	68.410004	57.272197999999996	1562900
2009-04-21	67.760002	69.989998	67.050003	67.709999	56.68616899999999	1410200
2009-04-22	67.389999	68.440002	66.690002	66.970001	56.06665400000001	1968300
2009-04-23	66.5	66.790001	63.080002	64.029999	53.605309	3321700
2009-04-24	64.18	64.260002	62.259997999999996	62.470001	52.299294	3070100
2009-04-27	62.48	65.550003	62.470001	64.889999	54.325283	2971400
2009-04-28	64.099998	64.800003	61.759997999999996	62.16	52.039768	3465400
2009-04-29	62.720001	62.720001	60.560001	60.919998	51.001644	4393200
2009-04-30	61.450001	62.290001000000004	60.48	60.48	50.633286	3846200
2009-05-01	60.610001000000004	61.450001	60.52	61.18	51.21933	3348700
2009-05-04	61.139998999999996	61.93	60.450001	60.869999	50.959796999999995	4258400
2009-05-05	60.810001	62.25	60.400002	62.16	52.039768	3568500
2009-05-06	62.299999	62.529999	60.919998	61.459998999999996	51.453742999999996	2767900
2009-05-07	62.0	62.290001000000004	61.009997999999996	61.599998	51.570927000000005	3764700
2009-05-08	62.099998	63.25	61.599998	62.82	52.592307999999996	4167800
2009-05-11	62.23	63.169998	61.810001	62.540001000000004	52.357906	2967300
2009-05-12	63.09	64.199997	62.66	64.08000200000001	53.647179	3977100
2009-05-13	63.360001000000004	65.620003	63.360001000000004	65.33000200000001	54.693661	2778800
2009-05-14	65.279999	66.629997	65.040001	65.889999	55.162502	2595000
2009-05-15	65.900002	66.25	64.959999	65.160004	54.551356999999996	2358800
2009-05-18	65.489998	65.489998	64.449997	64.93	54.35879499999999	2813300
2009-05-19	64.870003	65.440002	64.360001	64.57	54.0574	1781000
2009-05-20	65.08000200000001	65.910004	64.769997	65.059998	54.467617000000004	1158500
2009-05-21	64.970001	65.25	64.410004	65.029999	54.442501	1690200
2009-05-22	65.010002	66.279999	64.879997	65.900002	55.170876	1183000
2009-05-26	65.199997	67.309998	64.949997	67.129997	56.2006	1821700
2009-05-27	67.220001	67.709999	66.769997	67.129997	56.2006	3886300
2009-05-28	67.25	67.709999	66.730003	67.0	56.091774	2181400
2009-05-29	66.959999	67.739998	66.0	67.68	56.66105699999999	2117300
2009-06-01	67.790001	68.41999799999999	67.699997	68.010002	56.937346999999995	1845300
2009-06-02	68.019997	69.139999	67.699997	68.809998	57.607094	1337900
2009-06-03	68.519997	69.07	68.08000200000001	68.940002	57.715931000000005	1449400
2009-06-04	69.059998	69.18	67.0	67.519997	56.527088	2617000
2009-06-05	67.540001	67.800003	67.099998	67.32	56.63647099999999	1863900
2009-06-08	66.980003	67.849998	66.58000200000001	67.239998	56.569176	1789400
2009-06-09	67.599998	68.5	67.199997	68.010002	57.216991	1817300
2009-06-10	68.470001	68.66999799999999	67.199997	67.589996	56.863636	1589700
2009-06-11	67.57	69.209999	67.519997	68.279999	57.44413	1399000
2009-06-12	67.720001	68.870003	67.720001	68.349998	57.503021	1323800
2009-06-15	67.959999	68.209999	67.0	67.129997	56.476631000000005	1125400
2009-06-16	67.129997	67.449997	66.910004	66.959999	56.333626	1608100
2009-06-17	66.91999799999999	68.970001	66.91999799999999	68.07	57.267452	1311900
2009-06-18	68.029999	69.779999	67.849998	69.309998	58.310669	1176400
2009-06-19	69.360001	70.309998	67.449997	69.150002	58.176075	1821600
2009-06-22	68.440002	68.870003	67.809998	68.230003	57.402077	1228000
2009-06-23	68.589996	69.089996	67.949997	68.25	57.418884	1003700
