Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	12.25	13.0	12.01	12.89	8.019848	550100
2009-01-05	13.0	13.74	12.87	13.39	8.330939	1005600
2009-01-06	13.64	14.85	13.64	14.25	8.866011	557000
2009-01-07	14.0	14.0	12.52	13.71	8.530032	750200
2009-01-08	13.04	14.18	13.04	13.94	8.673132	606600
2009-01-09	14.25	14.25	13.16	13.46	8.374488000000001	285500
2009-01-12	13.3	13.33	12.28	12.37	7.696314	419700
2009-01-13	12.38	12.65	12.0	12.56	7.814528	470400
2009-01-14	12.44	12.44	11.91	12.09	7.522107000000001	383700
2009-01-15	12.22	12.39	11.55	12.38	7.7025380000000006	585600
2009-01-16	12.75	13.11	12.25	12.45	7.746088	381000
2009-01-20	12.39	12.39	11.57	11.69	7.273237	416500
2009-01-21	12.11	12.45	11.58	12.3	7.652764	796600
2009-01-22	12.08	12.12	11.83	12.0	7.466113000000001	326600
2009-01-23	11.92	13.27	11.61	13.01	8.094507	541500
2009-01-26	13.49	13.74	13.3	13.53	8.418041	721200
2009-01-27	13.49	13.66	13.19	13.51	8.405597	350700
2009-01-28	13.5	13.77	12.88	12.95	8.165980000000001	397200
2009-01-29	13.05	13.05	12.11	12.27	7.737184	321900
2009-01-30	12.33	12.36	11.57	11.64	7.339917999999999	513100
2009-02-02	11.5	11.95	10.85	11.11	7.005714	562800
2009-02-03	11.25	11.37	10.98	11.27	7.106609	494800
2009-02-04	11.4	11.43	11.01	11.05	6.9678759999999995	494000
2009-02-05	11.02	11.02	10.7	10.75	6.778708	610500
2009-02-06	10.75	10.9	10.51	10.83	6.829153999999999	704100
2009-02-09	11.11	11.29	10.98	11.22	7.075077	605900
2009-02-10	11.35	11.35	10.5	10.57	6.665205	550000
2009-02-11	10.65	10.94	10.5	10.68	6.734567999999999	444300
2009-02-12	10.6	10.76	10.15	10.54	6.646286	566400
2009-02-13	10.55	10.81	10.52	10.65	6.715648	428500
2009-02-17	10.4	10.4	9.75	9.86	6.217492	751400
2009-02-18	9.86	9.98	9.2	9.31	5.870678	684600
2009-02-19	9.5	9.66	9.41	9.53	6.009402	345700
2009-02-20	9.28	9.42	8.88	9.18	5.7887	735300
2009-02-23	9.23	9.4	8.21	8.26	5.20857	651900
2009-02-24	8.14	9.08	7.84	8.93	5.631056	720400
2009-02-25	8.84	9.15	8.46	8.95	5.720541000000001	541400
2009-02-26	9.17	9.89	9.17	9.27	5.925072	544700
2009-02-27	9.15	9.4	8.75	9.14	5.84198	572500
2009-03-02	8.59	9.0	8.26	8.42	5.38178	942100
2009-03-03	8.45	8.72	8.27	8.52	5.4457	793200
2009-03-04	8.72	9.98	8.64	9.55	6.104039	559000
2009-03-05	9.39	9.48	8.59	8.73	5.579922	393200
2009-03-06	8.82	9.36	8.55	8.98	5.7397160000000005	433700
2009-03-09	8.71	9.46	8.64	8.93	5.707757	485700
2009-03-10	9.11	9.94	9.11	9.54	6.097647	465600
2009-03-11	9.55	9.87	9.15	9.38	5.995381	259700
2009-03-12	9.29	10.32	9.23	10.26	6.557847	402300
2009-03-13	10.35	10.54	9.97	10.07	6.436405000000001	322300
2009-03-16	10.11	11.01	9.75	10.61	6.781557	542300
2009-03-17	10.77	11.66	10.59	11.56	7.388762	520100
2009-03-18	11.35	11.84	10.65	11.81	7.548556	548800
2009-03-19	12.2	12.84	12.19	12.48	7.976799000000001	611800
2009-03-20	12.37	13.15	12.23	12.67	8.098239999999999	763500
2009-03-23	12.1	12.75	11.56	12.71	8.123804	770900
2009-03-24	12.55	12.65	12.21	12.41	7.932053	282900
2009-03-25	12.31	12.8	12.11	12.36	7.900094999999999	425400
2009-03-26	12.79	13.14	12.41	12.9	8.245241	531200
2009-03-27	12.5	12.65	12.24	12.65	8.161373	466400
2009-03-30	12.37	12.37	11.55	11.72	7.561367999999999	470200
2009-03-31	11.8	12.35	11.79	12.07	7.787178999999999	266800
2009-04-01	11.73	12.2	11.73	12.11	7.812983999999999	336000
2009-04-02	12.52	13.39	12.52	13.02	8.400085	529700
2009-04-03	12.79	13.32	12.59	13.21	8.52267	331800
2009-04-06	13.14	13.25	12.62	12.92	8.335569	302900
2009-04-07	12.6	12.83	12.3	12.57	8.109760000000001	259600
2009-04-08	12.44	12.89	12.25	12.71	8.200084	224200
2009-04-09	13.0	13.16	12.93	13.05	8.419441	180000
2009-04-13	13.13	13.13	12.45	12.98	8.374281	311500
2009-04-14	13.03	13.15	12.5	12.61	8.13557	508400
2009-04-15	12.74	12.74	12.36	12.62	8.142017999999998	330300
2009-04-16	12.69	13.32	12.66	13.22	8.529121	443800
2009-04-17	13.22	13.6	13.22	13.56	8.748478	673300
2009-04-20	13.3	13.3	12.53	12.61	8.13557	832300
2009-04-21	12.42	13.09	12.2	12.88	8.309761	726400
2009-04-22	12.63	13.45	12.5	13.3	8.580734	702300
2009-04-23	13.38	13.74	13.38	13.62	8.787187	519800
2009-04-24	13.73	14.36	13.73	14.11	9.103317	475100
2009-04-27	13.9	14.21	13.5	13.82	8.91622	637900
2009-04-28	13.54	13.9	13.43	13.63	8.870664	434800
2009-04-29	13.89	14.24	13.76	14.01	9.117977	656400
2009-04-30	14.35	14.5	13.92	13.93	9.065911999999999	304100
2009-05-01	14.35	14.82	13.92	14.75	9.599583	665300
2009-05-04	14.94	15.47	14.94	15.36	9.996580999999999	488700
2009-05-05	15.42	15.45	14.66	15.27	9.938008	419600
2009-05-06	15.5	16.059998999999998	15.5	15.68	10.204842999999999	449000
2009-05-07	15.86	16.25	15.04	15.12	9.840383000000001	352300
2009-05-08	15.66	16.299999	15.26	16.200001	10.543272	376200
2009-05-11	15.76	16.02	15.38	15.65	10.185316	297000
2009-05-12	15.92	15.99	15.43	15.78	10.269925	261000
2009-05-13	15.43	15.81	14.82	14.87	9.677679	375400
2009-05-14	14.72	15.22	14.61	15.03	9.781812	228500
2009-05-15	14.92	15.29	14.6	14.71	9.573546	289100
2009-05-18	14.79	15.58	14.75	15.49	10.081188000000001	177100
2009-05-19	15.49	16.24	15.29	16.120001000000002	10.491202000000001	311100
2009-05-20	16.389999	16.790001	16.120001000000002	16.389999	10.666922999999999	326100
2009-05-21	16.030001000000002	16.299999	15.42	16.040001	10.439138999999999	522000
2009-05-22	16.040001	16.809998999999998	16.040001	16.5	10.738516	440200
2009-05-26	16.120001000000002	17.17	16.040001	17.16	11.168054	657300
2009-05-27	17.129998999999998	17.389999	16.68	16.700001	10.945219	394200
2009-05-28	16.84	17.299999	16.559998999999998	17.24	11.299137	384200
2009-05-29	17.469998999999998	17.940001000000002	17.309998999999998	17.879998999999998	11.718589999999999	325300
2009-06-01	18.09	18.440001000000002	18.030001000000002	18.370001000000002	12.039741000000001	329100
2009-06-02	18.360001	18.42	17.969998999999998	18.16	11.902103	384500
2009-06-03	17.85	17.85	16.84	17.16	11.246703	497400
2009-06-04	17.25	17.690001000000002	17.25	17.5	11.469542	280400
2009-06-05	17.709999	17.709999	16.85	17.309998999999998	11.345013	222400
2009-06-08	17.200001	17.450001	16.309998999999998	17.0	11.141841000000001	449600
2009-06-09	17.32	17.530001000000002	17.030001000000002	17.26	11.312246	182800
2009-06-10	17.309998999999998	17.559998999999998	17.17	17.469998999999998	11.449881	152800
2009-06-11	17.450001	18.379998999999998	17.450001	17.93	11.75136	313400
2009-06-12	17.82	18.040001	17.57	17.889999	11.725151	250600
