Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	11.01	13.11	10.93	12.97	12.231065	4293100
2009-01-05	12.9	14.06	12.9	13.72	12.938334	4553700
2009-01-06	13.99	14.74	13.52	13.67	12.891183999999999	3735100
2009-01-07	13.39	13.39	11.87	12.2	11.504933	2826900
2009-01-08	12.04	12.24	11.65	12.09	11.401201	3877600
2009-01-09	12.19	12.24	11.05	11.58	10.920256	2847300
2009-01-12	11.3	11.31	10.66	10.91	10.288427	2458300
2009-01-13	10.95	11.46	10.6	11.35	10.703361	3630000
2009-01-14	11.1	11.36	10.12	10.33	9.741474	2774500
2009-01-15	10.31	10.66	9.61	10.59	9.986659	3034100
2009-01-16	10.93	11.3	10.15	10.76	10.146975	2687300
2009-01-20	10.43	10.77	9.81	9.94	9.373693	3568500
2009-01-21	10.16	11.0	9.85	10.98	10.354439999999999	3585200
2009-01-22	10.69	10.98	10.22	10.42	9.826345	3484900
2009-01-23	10.05	11.55	9.82	11.43	10.778801	3775600
2009-01-26	11.56	12.64	11.45	12.26	11.561514	5079700
2009-01-27	12.26	12.77	12.06	12.38	11.67468	4357200
2009-01-28	12.59	13.37	12.59	13.33	12.570553	3539200
2009-01-29	12.88	12.88	12.15	12.68	11.957587	3614200
2009-01-30	13.01	13.21	12.1	12.24	11.542655	4807200
2009-02-02	11.9	12.25	11.66	11.91	11.231457	3354200
2009-02-03	12.26	12.43	11.76	12.34	11.636958	3583300
2009-02-04	12.51	13.08	12.24	12.88	12.146191	2774700
2009-02-05	12.71	13.46	12.41	13.32	12.561123	3441000
2009-02-06	13.13	13.84	12.75	13.75	12.966627	7370800
2009-02-09	13.79	14.23	13.25	14.02	13.221245000000001	5501700
2009-02-10	13.87	14.31	12.72	12.93	12.193344	5734500
2009-02-11	13.07	13.45	12.3	12.76	12.033031	2699900
2009-02-12	12.15	13.23	12.12	13.21	12.457391000000001	4582700
2009-02-13	13.21	14.06	13.14	13.65	12.872322	5059200
2009-02-17	12.99	13.11	12.3	12.57	11.853854	4781000
2009-02-18	12.63	12.73	12.04	12.13	11.438922	4530000
2009-02-19	12.6	12.83	12.13	12.61	11.891574	3966000
2009-02-20	12.23	12.61	11.86	12.29	11.589807	6347100
2009-02-23	12.4	12.59	11.29	11.36	10.712789	4959600
2009-02-24	11.52	12.41	11.17	12.29	11.589807	5827800
2009-02-25	12.54	13.25	12.35	12.88	12.146191	7021600
2009-02-26	13.23	13.63	12.68	12.86	12.127331	6908500
2009-02-27	12.65	13.77	12.1	12.88	12.146191	5487700
2009-03-02	12.47	12.58	10.9	10.99	10.363871000000001	6090500
2009-03-03	11.53	12.48	11.19	11.95	11.269176	6007900
2009-03-04	12.31	13.71	12.19	13.11	12.363088000000001	7746800
2009-03-05	12.8	13.56	12.53	12.8	12.070749000000001	5300100
2009-03-06	13.09	13.41	12.52	13.05	12.306507	4494300
2009-03-09	12.84	14.19	12.71	13.89	13.09865	5104400
2009-03-10	14.55	15.24	14.52	14.81	13.966235999999999	4872300
2009-03-11	14.98	15.44	14.29	14.9	14.051105999999999	4274600
2009-03-12	15.14	15.45	14.57	15.33	14.456610000000001	4425400
2009-03-13	15.25	15.5	14.19	14.39	13.570164000000002	4239300
2009-03-16	14.12	14.53	13.73	14.15	13.343835999999998	4926200
2009-03-17	14.18	14.69	13.82	14.69	13.853071	5216400
2009-03-18	14.61	14.98	13.72	14.8	13.956804	3611000
2009-03-19	15.23	16.889999	15.23	16.389999	15.456217	6159500
2009-03-20	16.610001	16.629998999999998	15.57	15.69	14.796098	4064800
2009-03-23	16.299999	17.52	16.09	17.52	16.521839	3214700
2009-03-24	16.93	17.049999	16.42	16.6	15.654255	4876200
2009-03-25	16.790001	17.48	15.53	16.23	15.305333	4103200
2009-03-26	17.33	17.52	15.98	16.25	15.324194	8915800
2009-03-27	15.96	15.98	15.45	15.6	14.711227	2636600
2009-03-30	15.33	15.33	14.48	14.9	14.051105999999999	2338000
2009-03-31	15.13	15.37	14.79	14.86	14.013385999999999	2947900
2009-04-01	14.4	15.93	14.35	15.2	14.334016	50475000
2009-04-02	15.59	17.290001	15.59	16.74	15.786278	7974800
2009-04-03	16.790001	17.309998999999998	16.290001	17.030001000000002	16.059757	4032400
2009-04-06	16.690001000000002	16.780001000000002	15.82	16.32	15.390204	3800000
2009-04-07	15.72	15.98	15.48	15.78	14.880970999999999	3429300
2009-04-08	15.89	16.780001000000002	15.5	16.49	15.55052	3299900
2009-04-09	17.219998999999998	17.34	16.9	17.129998999999998	16.154058	3112400
2009-04-13	16.75	17.139999	16.26	16.98	16.012604	3119100
2009-04-14	16.68	16.99	16.200001	16.690001000000002	15.739126	3973500
2009-04-15	16.780001000000002	16.940001000000002	16.059998999999998	16.459999	15.522229000000001	2521300
