Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	8.69	8.86	8.18	8.63	8.63	67200
2009-01-05	8.67	8.82	8.45	8.56	8.56	28800
2009-01-06	8.64	8.88	8.39	8.64	8.64	104900
2009-01-07	8.49	8.68	8.38	8.59	8.59	56500
2009-01-08	8.53	9.33	8.25	9.31	9.31	79900
2009-01-09	8.72	9.03	8.32	8.75	8.75	73400
2009-01-12	8.72	8.72	8.44	8.51	8.51	33700
2009-01-13	8.82	8.82	8.41	8.81	8.81	19000
2009-01-14	8.62	8.93	8.51	8.56	8.56	43200
2009-01-15	8.56	9.12	8.39	9.05	9.05	38400
2009-01-16	9.16	9.25	8.59	8.75	8.75	28500
2009-01-20	8.58	8.58	7.75	7.81	7.81	64300
2009-01-21	7.77	8.36	7.76	8.33	8.33	49300
2009-01-22	8.14	8.69	7.97	8.31	8.31	65800
2009-01-23	8.02	9.03	7.91	8.57	8.57	36400
2009-01-26	8.61	9.3	8.43	9.0	9.0	45400
2009-01-27	9.01	9.49	8.79	8.87	8.87	54000
2009-01-28	9.16	9.36	9.03	9.14	9.14	18300
2009-01-29	8.98	9.23	8.1	8.27	8.27	29400
2009-01-30	8.39	8.49	7.79	7.95	7.95	49100
2009-02-02	7.84	8.7	7.84	8.7	8.7	40600
2009-02-03	8.76	8.91	8.31	8.31	8.31	75500
2009-02-04	8.34	8.4	7.68	7.88	7.88	38700
2009-02-05	7.83	8.38	7.6	8.16	8.16	28300
2009-02-06	8.13	8.89	8.13	8.85	8.85	38300
2009-02-09	8.78	9.11	8.39	8.89	8.89	38500
2009-02-10	8.8	8.9	8.07	8.07	8.07	42000
2009-02-11	8.1	8.45	7.98	8.33	8.33	29900
2009-02-12	8.18	8.44	7.93	8.3	8.3	30800
2009-02-13	8.04	8.53	8.04	8.46	8.46	13400
2009-02-17	8.08	8.13	7.32	7.68	7.68	177800
2009-02-18	7.68	7.96	7.3	7.3	7.3	128300
2009-02-19	7.45	7.85	7.31	7.72	7.72	17600
2009-02-20	7.59	7.71	7.25	7.51	7.51	34200
2009-02-23	7.61	7.74	7.47	7.53	7.53	80600
2009-02-24	7.64	8.27	7.64	8.25	8.25	54800
2009-02-25	8.2	8.71	7.92	8.09	8.09	57100
2009-02-26	8.2	8.58	8.19	8.19	8.19	46100
2009-02-27	8.05	8.56	8.05	8.09	8.09	37500
2009-03-02	7.94	8.09	7.21	7.22	7.22	55300
2009-03-03	7.36	7.39	6.57	6.57	6.57	62400
2009-03-04	6.68	6.68	6.37	6.61	6.61	106700
2009-03-05	6.45	6.71	6.0	6.03	6.03	66700
2009-03-06	6.16	6.99	5.86	6.65	6.65	45400
2009-03-09	6.55	7.08	6.55	6.81	6.81	38500
2009-03-10	6.98	7.9	6.75	7.87	7.87	74800
2009-03-11	7.96	8.93	7.96	8.0	8.0	101400
2009-03-12	7.96	8.6	7.94	8.55	8.55	59200
2009-03-13	8.58	9.02	8.21	8.22	8.22	86300
2009-03-16	8.4	8.99	8.15	8.22	8.22	38000
2009-03-17	8.19	8.84	7.86	8.83	8.83	47100
2009-03-18	8.8	9.17	8.68	9.14	9.14	65700
2009-03-19	9.21	9.27	8.63	8.79	8.79	85500
2009-03-20	8.9	8.97	8.6	8.68	8.68	102000
2009-03-23	9.0	9.14	8.62	8.97	8.97	107300
2009-03-24	8.78	9.06	8.54	8.59	8.59	67200
2009-03-25	8.69	8.9	8.45	8.88	8.88	64400
2009-03-26	9.07	9.16	8.74	9.16	9.16	100000
2009-03-27	8.93	9.29	8.67	8.74	8.74	42900
2009-03-30	8.44	8.52	8.0	8.43	8.43	75600
2009-03-31	8.58	9.09	8.52	8.62	8.62	67400
2009-04-01	8.7	9.02	8.53	8.98	8.98	32000
2009-04-02	9.22	10.11	9.22	9.71	9.71	62900
2009-04-03	9.71	9.84	9.49	9.83	9.83	31800
2009-04-06	9.64	9.77	9.54	9.7	9.7	57600
2009-04-07	9.5	9.97	9.44	9.44	9.44	51700
2009-04-08	9.66	9.85	9.56	9.84	9.84	84100
2009-04-09	10.14	11.17	10.01	10.96	10.96	90600
2009-04-13	10.83	11.21	10.83	11.01	11.01	40700
2009-04-14	10.77	10.91	10.3	10.42	10.42	29700
2009-04-15	10.36	10.52	10.13	10.36	10.36	22400
2009-04-16	10.47	10.67	9.9	10.5	10.5	48800
2009-04-17	10.56	10.88	10.16	10.53	10.53	41700
2009-04-20	10.22	10.22	9.39	9.42	9.42	64900
2009-04-21	9.4	9.92	9.24	9.81	9.81	67000
2009-04-22	9.65	10.03	9.48	9.71	9.71	31500
2009-04-23	9.69	9.69	9.0	9.23	9.23	21100
2009-04-24	9.37	9.79	9.11	9.61	9.61	40000
2009-04-27	9.4	9.5	8.68	8.92	8.92	56200
2009-04-28	8.84	9.19	8.78	8.88	8.88	18500
2009-04-29	9.0	9.93	8.91	9.58	9.58	37300
2009-04-30	9.66	10.2	9.31	9.31	9.31	73100
2009-05-01	9.31	9.31	8.73	8.84	8.84	30500
2009-05-04	8.97	9.12	8.81	9.1	9.1	22700
2009-05-05	9.0	9.22	8.89	8.98	8.98	39500
2009-05-06	10.5	10.91	9.11	9.57	9.57	143500
2009-05-07	9.7	9.78	8.52	8.62	8.62	45000
2009-05-08	8.79	9.35	8.55	8.85	8.85	53300
2009-05-11	8.65	9.53	8.1	9.39	9.39	64500
2009-05-12	8.55	9.43	8.55	9.28	9.28	26900
2009-05-13	9.12	9.21	8.56	8.61	8.61	28500
2009-05-14	8.68	9.3	8.36	8.87	8.87	40800
2009-05-15	9.01	9.17	8.44	8.79	8.79	59200
2009-05-18	8.91	9.74	8.91	9.54	9.54	55100
2009-05-19	9.52	9.52	8.79	8.91	8.91	43200
2009-05-20	8.97	10.01	8.7	9.07	9.07	72200
2009-05-21	8.93	9.14	8.72	9.06	9.06	76000
2009-05-22	9.16	9.48	8.83	8.84	8.84	20800
2009-05-26	8.75	9.5	8.47	9.49	9.49	73300
2009-05-27	9.38	9.49	8.26	9.06	9.06	26200
2009-05-28	9.14	9.44	8.63	9.35	9.35	36900
2009-05-29	9.41	10.0	9.18	9.9	9.9	92500
2009-06-01	9.96	10.5	9.73	10.22	10.22	73200
2009-06-02	10.14	10.51	9.97	10.48	10.48	38700
2009-06-03	10.36	10.89	10.19	10.79	10.79	54700
2009-06-04	10.9	10.9	10.58	10.86	10.86	54700
2009-06-05	10.92	10.92	10.23	10.4	10.4	30600
