Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	3.12	3.52	3.12	3.52	3.52	166100
2009-01-05	3.28	3.68	3.28	3.68	3.68	210400
2009-01-06	3.68	4.48	3.52	4.48	4.48	448500
2009-01-07	4.24	4.32	3.84	4.0	4.0	403400
2009-01-08	4.0	4.8	4.0	4.64	4.64	280800
2009-01-09	4.72	5.04	4.4	4.56	4.56	280100
2009-01-12	4.48	4.96	4.32	4.8	4.8	299600
2009-01-13	4.8	4.88	4.56	4.8	4.8	104600
2009-01-14	4.64	4.64	4.16	4.32	4.32	199500
2009-01-15	4.24	4.4	4.0	4.32	4.32	126400
2009-01-16	4.16	4.64	4.16	4.4	4.4	123000
2009-01-20	4.32	4.4	3.68	3.68	3.68	156700
2009-01-21	3.84	4.08	3.68	4.08	4.08	119800
2009-01-22	4.0	4.0	3.68	3.68	3.68	118100
2009-01-23	3.6	4.0	3.6	3.68	3.68	95200
2009-01-26	3.76	3.92	3.76	3.92	3.92	47300
2009-01-27	3.84	4.16	3.76	4.08	4.08	117400
2009-01-28	4.16	4.4	4.08	4.16	4.16	224800
2009-01-29	4.08	4.72	3.92	4.24	4.24	191500
2009-01-30	4.24	4.4	4.08	4.08	4.08	88800
2009-02-02	4.0	4.32	3.68	4.0	4.0	340000
2009-02-03	3.92	4.08	3.76	4.08	4.08	138900
2009-02-04	4.0	4.16	3.84	3.84	3.84	127700
2009-02-05	3.84	3.84	3.2	3.44	3.44	465400
2009-02-06	3.44	3.84	3.36	3.76	3.76	176300
2009-02-09	3.76	3.84	3.44	3.68	3.68	108100
2009-02-10	3.68	3.68	3.2	3.2	3.2	161800
2009-02-11	3.28	3.52	3.28	3.36	3.36	52100
2009-02-12	3.36	3.36	3.04	3.28	3.28	103900
2009-02-13	3.28	3.52	3.2	3.44	3.44	69400
2009-02-17	3.36	3.36	3.04	3.04	3.04	130700
2009-02-18	3.12	3.36	2.88	3.04	3.04	116000
2009-02-19	3.12	3.2	2.96	3.04	3.04	72900
2009-02-20	2.96	3.12	2.8	3.04	3.04	120400
2009-02-23	3.04	3.12	2.56	2.64	2.64	203000
2009-02-24	2.4	2.96	2.32	2.48	2.48	543800
2009-02-25	2.56	2.56	2.08	2.16	2.16	414400
2009-02-26	2.32	2.32	2.08	2.08	2.08	304900
2009-02-27	2.08	2.16	2.0	2.0	2.0	341300
2009-03-02	2.08	2.08	1.76	1.76	1.76	276400
2009-03-03	1.76	2.0	1.68	1.68	1.68	257400
2009-03-04	1.84	2.24	1.76	2.24	2.24	260900
2009-03-05	2.16	2.24	1.92	2.08	2.08	229700
2009-03-06	2.08	2.32	2.0	2.24	2.24	357700
2009-03-09	2.24	2.4	2.16	2.24	2.24	157900
2009-03-10	2.4	2.72	2.24	2.72	2.72	228200
2009-03-11	2.72	2.8	2.56	2.72	2.72	150900
2009-03-12	2.64	3.04	2.64	3.04	3.04	216900
2009-03-13	2.96	3.04	2.64	2.72	2.72	201400
2009-03-16	2.8	2.88	2.56	2.64	2.64	163400
2009-03-17	2.64	3.04	2.56	3.04	3.04	99100
2009-03-18	3.04	3.12	2.64	3.04	3.04	157100
2009-03-19	3.12	3.12	2.8	2.88	2.88	78600
2009-03-20	2.96	3.28	2.72	3.28	3.28	425200
2009-03-23	3.12	3.44	3.12	3.44	3.44	170600
2009-03-24	3.28	3.44	3.2	3.2	3.2	118500
2009-03-25	3.2	3.6	3.12	3.6	3.6	173500
2009-03-26	3.44	3.76	3.44	3.76	3.76	173100
2009-03-27	3.36	3.68	3.36	3.44	3.44	98800
2009-03-30	3.28	3.28	2.88	3.12	3.12	146000
2009-03-31	3.12	3.52	3.04	3.52	3.52	262300
2009-04-01	3.44	3.76	3.2	3.68	3.68	168700
2009-04-02	3.68	4.0	3.6	4.0	4.0	306600
2009-04-03	4.0	4.16	3.84	4.08	4.08	177700
2009-04-06	3.92	4.32	3.84	4.24	4.24	179400
2009-04-07	4.08	4.56	4.0	4.4	4.4	225000
2009-04-08	4.16	4.88	4.16	4.88	4.88	256700
2009-04-09	4.96	5.36	4.88	5.2	5.2	654000
2009-04-13	5.28	5.36	4.96	5.2	5.2	136100
2009-04-14	5.12	5.52	4.96	5.44	5.44	209600
2009-04-15	5.36	5.76	5.04	5.76	5.76	189300
2009-04-16	5.76	5.92	5.44	5.76	5.76	198000
2009-04-17	5.84	5.84	5.44	5.6	5.6	207900
2009-04-20	5.44	5.44	4.56	4.88	4.88	297400
2009-04-21	4.4	5.28	4.4	5.12	5.12	225600
