Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	9.3	9.75	9.11	9.7	7.366763000000001	244200
2009-01-05	9.72	9.97	9.36	9.87	7.495873	415000
2009-01-06	9.87	10.5	9.79	10.33	7.845224000000001	327900
2009-01-07	10.21	10.31	9.86	9.92	7.5338460000000005	305100
2009-01-08	9.99	10.13	9.48	9.66	7.336386	447200
2009-01-09	9.72	9.79	9.17	9.2	6.987036	222200
2009-01-12	9.27	9.37	9.02	9.09	6.9034949999999995	226200
2009-01-13	9.15	9.86	9.0	9.7	7.366763000000001	435400
2009-01-14	9.56	9.56	9.23	9.3	7.062981	347900
2009-01-15	9.33	9.43	8.6	9.12	6.926278999999999	296600
2009-01-16	9.25	9.35	8.72	9.14	6.941466	281800
2009-01-20	9.02	9.21	8.22	8.23	6.250357	363600
2009-01-21	8.53	9.5	8.12	9.5	7.214873	556800
2009-01-22	9.11	9.25	8.52	8.73	6.630088000000001	366800
2009-01-23	8.43	8.82	8.2	8.78	6.6680600000000005	309700
2009-01-26	8.9	9.32	8.73	8.91	6.766788	246600
2009-01-27	9.01	9.16	8.9	9.05	6.8731160000000004	274500
2009-01-28	9.33	9.8	9.12	9.78	7.4275199999999995	320400
2009-01-29	9.58	9.75	9.41	9.45	7.1769	568700
2009-01-30	9.58	9.7	9.16	9.35	7.100950999999999	786500
2009-02-02	9.2	11.33	9.06	9.29	7.055386	573900
2009-02-03	9.34	9.59	8.68	8.9	6.759196	478200
2009-02-04	8.9	9.32	8.7	8.73	6.630088000000001	257400
2009-02-05	8.9	10.35	8.9	9.92	7.5338460000000005	682400
2009-02-06	9.89	10.49	9.79	10.47	7.951549000000001	357000
2009-02-09	10.4	10.8	10.23	10.72	8.141416	296900
2009-02-10	10.63	10.9	9.88	9.94	7.5490330000000005	427500
2009-02-11	10.05	10.65	9.92	10.63	8.073063000000001	313100
2009-02-12	10.35	10.54	9.6	10.24	7.776874	306600
2009-02-13	10.29	10.54	9.99	10.05	7.632575	384000
2009-02-17	9.6	10.02	9.5	9.68	7.351575	382900
2009-02-18	9.83	10.16	9.12	9.38	7.123736999999999	337000
2009-02-19	9.58	9.58	8.88	8.93	6.78198	259800
2009-02-20	8.66	8.77	8.17	8.54	6.485789	296100
2009-02-23	8.77	8.77	7.85	7.87	5.976951000000001	284700
2009-02-24	8.07	8.8	8.03	8.78	6.6680600000000005	391100
2009-02-25	8.61	8.72	7.86	8.07	6.128843	212400
2009-02-26	8.02	8.43	7.93	8.05	6.1136550000000005	212300
2009-02-27	7.83	8.24	7.69	7.69	5.84025	317200
2009-03-02	7.5	8.05	7.2	7.2	5.4681120000000005	338400
2009-03-03	7.42	7.52	6.64	6.9	5.240276000000001	551500
2009-03-04	7.02	7.15	6.7	6.91	5.24787	520800
2009-03-05	6.65	6.79	6.41	6.47	4.913707	389000
2009-03-06	6.61	6.61	6.1	6.46	4.906114	217500
2009-03-09	6.37	6.38	6.09	6.19	4.701059	211700
2009-03-10	6.45	6.92	6.2	6.91	5.24787	369400
2009-03-11	6.98	7.32	6.8	7.23	5.4908980000000005	400200
2009-03-12	7.19	7.39	6.89	7.27	5.561661	675200
2009-03-13	7.34	7.97	7.26	7.9	6.043621	298900
2009-03-16	8.0	8.41	7.68	7.74	5.92122	257100
2009-03-17	7.71	8.63	7.71	8.59	6.5714809999999995	228900
2009-03-18	8.32	8.7	8.23	8.51	6.510283	619200
2009-03-19	8.68	8.68	8.23	8.29	6.341977	372100
2009-03-20	8.36	8.43	8.18	8.18	6.257823	327100
2009-03-23	8.5	8.86	8.28	8.85	6.770386	445500
2009-03-24	8.65	8.65	7.99	7.99	6.112471	364100
2009-03-25	8.13	8.56	7.88	8.43	6.449079	247700
2009-03-26	8.6	8.96	8.25	8.96	6.854536	305600
2009-03-27	8.75	8.9	8.47	8.5	6.50263	254100
2009-03-30	8.13	8.21	7.81	7.89	6.03597	285600
2009-03-31	8.08	8.65	7.93	8.37	6.403178	246800
2009-04-01	8.16	8.46	7.9	8.42	6.441429	275400
2009-04-02	8.71	9.4	8.71	9.19	7.0304910000000005	328100
2009-04-03	9.14	9.17	8.72	9.15	6.999889	261500
2009-04-06	9.04	9.13	8.84	9.02	6.90044	189700
2009-04-07	8.76	9.02	8.61	8.61	6.586782	207500
2009-04-08	8.76	8.95	8.56	8.88	6.793336999999999	125400
2009-04-09	9.19	9.56	8.91	9.52	7.282946000000001	293900
2009-04-13	9.31	9.86	8.61	9.01	6.892788	356200
2009-04-14	8.83	9.07	8.59	8.63	6.602082000000001	438400
2009-04-15	8.69	9.0	8.51	8.99	6.8774869999999995	224700
2009-04-16	9.0	9.08	8.77	8.99	6.8774869999999995	273600
2009-04-17	9.0	9.01	8.8	8.91	6.816284	304500
2009-04-20	8.75	8.75	8.06	8.07	6.173672	306800
2009-04-21	7.96	8.99	7.96	8.88	6.793336999999999	381600
2009-04-22	8.76	8.91	8.21	8.3	6.349627	397200
2009-04-23	8.27	8.47	7.76	8.35	6.387878	451600
2009-04-24	8.43	8.63	8.24	8.38	6.4108279999999995	353300
2009-04-27	8.16	8.38	7.93	7.97	6.097171	313800
2009-04-28	7.93	8.74	7.93	8.37	6.403178	333200
2009-04-29	8.43	8.76	8.35	8.76	6.701534	329100
2009-04-30	8.47	9.05	8.11	8.78	6.7168339999999995	560500
2009-05-01	8.73	9.01	8.69	8.92	6.823937	439400
2009-05-04	8.93	9.25	8.88	9.24	7.068739999999999	526200
2009-05-05	9.1	9.12	8.94	9.0	6.885138	606400
