Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	3.45	4.13	3.37	4.0	4.0	3364400
2009-01-05	4.1	4.34	4.0	4.28	4.28	3906700
2009-01-06	4.37	4.45	3.92	4.27	4.27	4353200
2009-01-07	4.2	4.3	3.95	3.99	3.99	3497300
2009-01-08	3.88	4.45	3.88	4.34	4.34	2726000
2009-01-09	4.41	4.42	3.91	4.1	4.1	1727200
2009-01-12	4.2	4.21	3.35	3.4	3.4	2616300
2009-01-13	3.41	3.46	3.23	3.4	3.4	2836000
2009-01-14	3.26	3.29	2.77	2.84	2.84	2328200
2009-01-15	2.83	3.0	2.47	2.74	2.74	2141900
2009-01-16	2.83	3.16	2.56	2.8	2.8	2362400
2009-01-20	2.75	2.91	2.09	2.13	2.13	4628300
2009-01-21	2.67	2.67	1.75	2.0	2.0	5720900
2009-01-22	2.02	2.04	1.8	1.88	1.88	2055300
2009-01-23	1.85	2.2	1.7	1.96	1.96	2085600
2009-01-26	1.96	2.0	1.88	1.92	1.92	2113200
2009-01-27	1.94	2.26	1.8	2.26	2.26	4864100
2009-01-28	2.54	3.32	2.54	3.32	3.32	5630000
2009-01-29	3.07	3.25	2.94	3.1	3.1	2600900
2009-01-30	3.14	3.17	2.7	2.76	2.76	1993600
2009-02-02	2.75	2.93	2.65	2.82	2.82	1274800
2009-02-03	2.84	2.97	2.75	2.86	2.86	1404800
2009-02-04	2.92	3.21	2.75	2.8	2.8	1786500
2009-02-05	2.84	3.08	2.7	3.07	3.07	1227800
2009-02-06	3.1	3.34	3.08	3.29	3.29	2173700
2009-02-09	3.29	3.5	3.11	3.35	3.35	2745600
2009-02-10	3.3	3.3	2.79	2.79	2.79	2375500
2009-02-11	2.86	2.95	2.59	2.77	2.77	1683400
2009-02-12	2.8	3.26	2.7	3.18	3.18	2390300
2009-02-13	3.18	3.82	3.12	3.45	3.45	5254700
2009-02-17	2.99	2.99	2.56	2.58	2.58	4475200
2009-02-18	2.73	2.86	2.3	2.38	2.38	3731200
2009-02-19	2.44	2.65	2.31	2.31	2.31	4142500
2009-02-20	2.31	2.38	1.96	2.19	2.19	2600400
2009-02-23	2.17	2.41	2.04	2.08	2.08	2300500
2009-02-24	1.99	2.4	1.99	2.4	2.4	2001000
2009-02-25	2.4	2.4	2.21	2.22	2.22	1931000
2009-02-26	2.32	2.48	2.11	2.33	2.33	2327800
2009-02-27	2.21	2.51	2.2	2.28	2.28	2253800
2009-03-02	2.14	2.32	2.02	2.02	2.02	2123500
2009-03-03	2.01	2.14	1.46	1.87	1.87	4026500
2009-03-04	2.02	2.1	1.95	2.04	2.04	2221700
2009-03-05	2.0	2.07	1.4	1.41	1.41	2997600
2009-03-06	1.45	1.52	1.08	1.23	1.23	3473200
2009-03-09	1.19	1.48	1.18	1.25	1.25	2109000
2009-03-10	1.38	1.48	0.93	0.98	0.98	15410500
2009-03-11	0.95	1.24	0.92	1.24	1.24	11451500
2009-03-12	0.91	0.95	0.7	0.86	0.86	18833400
2009-03-13	0.95	1.19	0.9	1.04	1.04	8802300
2009-03-16	1.21	1.3	1.03	1.09	1.09	6115900
2009-03-17	1.11	1.18	0.92	1.11	1.11	4480200
2009-03-18	1.14	1.29	1.02	1.26	1.26	4723600
2009-03-19	1.42	1.47	1.12	1.12	1.12	5343500
2009-03-20	1.12	1.15	0.99	1.02	1.02	2846700
2009-03-23	1.23	1.26	1.1	1.17	1.17	3782600
2009-03-24	1.24	1.35	1.13	1.18	1.18	3328400
2009-03-25	1.24	1.35	1.15	1.28	1.28	2567100
2009-03-26	1.29	1.56	1.25	1.55	1.55	4815300
2009-03-27	1.49	1.6	1.35	1.45	1.45	3140600
2009-03-30	1.44	1.44	1.23	1.25	1.25	2021200
2009-03-31	1.34	1.42	1.26	1.42	1.42	2860200
2009-04-01	1.42	1.51	1.32	1.5	1.5	1796100
2009-04-02	1.6	1.7	1.6	1.7	1.7	3594600
2009-04-03	1.74	1.78	1.57	1.67	1.67	2187100
2009-04-06	1.71	1.71	1.46	1.46	1.46	3680700
2009-04-07	1.47	1.96	1.46	1.9	1.9	7104800
2009-04-08	2.09	2.14	1.74	1.88	1.88	3703700
2009-04-09	2.0	2.1	1.89	2.1	2.1	4847500
2009-04-13	2.24	2.46	1.98	2.46	2.46	3752700
2009-04-14	2.44	2.59	1.96	1.96	1.96	5132600
2009-04-15	2.0	2.0	1.79	1.84	1.84	4438800
2009-04-16	1.99	2.56	1.97	2.56	2.56	9765200
2009-04-17	2.51	2.84	2.43	2.65	2.65	6206100
2009-04-20	2.54	2.55	2.16	2.16	2.16	3887300
2009-04-21	2.19	2.71	2.0	2.5	2.5	6029500
2009-04-22	2.48	2.7	2.25	2.47	2.47	5354000
2009-04-23	2.57	2.57	2.22	2.42	2.42	3421100
2009-04-24	2.35	2.44	2.22	2.42	2.42	3652000
2009-04-27	2.3	2.6	2.23	2.43	2.43	4663300
2009-04-28	2.45	2.72	2.38	2.64	2.64	4751600
2009-04-29	2.3	2.75	2.3	2.67	2.67	7215600
2009-04-30	2.78	2.79	2.5	2.56	2.56	3729700
2009-05-01	2.6	3.16	2.56	3.1	3.1	5745400
2009-05-04	3.18	3.9	3.15	3.88	3.88	8783500
2009-05-05	3.98	4.78	3.86	4.63	4.63	9083000
2009-05-06	4.75	5.02	4.2	4.77	4.77	8726900
2009-05-07	4.92	5.04	3.92	4.18	4.18	6639500
2009-05-08	4.37	5.82	4.33	5.29	5.29	9770000
2009-05-11	5.16	5.67	3.74	5.56	5.56	8413800
2009-05-12	5.57	5.9	4.6	5.04	5.04	7779800
2009-05-13	4.78	4.82	4.18	4.34	4.34	5130600
2009-05-14	4.25	4.99	4.1	4.71	4.71	4587800
2009-05-15	4.6	4.8	4.13	4.19	4.19	3384500
2009-05-18	4.4	4.79	4.26	4.78	4.78	4046600
2009-05-19	4.77	5.2	4.42	4.96	4.96	3557200
2009-05-20	5.24	5.58	5.05	5.07	5.07	4687700
2009-05-21	5.08	5.1	4.65	5.07	5.07	3114900
2009-05-22	5.21	5.25	4.67	4.73	4.73	2327700
2009-05-26	4.73	4.87	4.6	4.79	4.79	3274400
2009-05-27	4.69	4.93	4.52	4.53	4.53	2805300
2009-05-28	4.66	4.74	4.17	4.33	4.33	3390500
2009-05-29	4.4	4.44	4.11	4.36	4.36	4510100
2009-06-01	4.55	4.9	4.33	4.67	4.67	4366200
2009-06-02	4.79	4.93	4.36	4.85	4.85	2504200
2009-06-03	4.87	4.87	4.51	4.55	4.55	1879600
2009-06-04	4.61	4.8	4.52	4.8	4.8	1723800
2009-06-05	4.97	5.16	4.58	5.05	5.05	3536500
2009-06-08	5.04	5.12	4.62	4.83	4.83	2895600
2009-06-09	4.83	4.85	4.6	4.71	4.71	1769300
2009-06-10	4.83	4.89	4.63	4.81	4.81	1823800
2009-06-11	4.81	5.08	4.73	4.91	4.91	1810800
2009-06-12	4.76	4.94	4.68	4.8	4.8	1528400
2009-06-15	4.75	4.78	4.47	4.49	4.49	1747500
2009-06-16	4.6	4.73	4.18	4.25	4.25	2672900
2009-06-17	4.25	4.26	3.75	4.02	4.02	2612200
2009-06-18	4.05	4.15	3.82	3.9	3.9	1656600
2009-06-19	4.04	4.05	3.88	3.97	3.97	2191600
2009-06-22	3.95	4.01	3.64	3.64	3.64	2261500
2009-06-23	3.63	3.79	3.29	3.44	3.44	3080300
2009-06-24	3.6	4.0	3.55	3.7	3.7	2697200
2009-06-25	3.69	3.98	3.36	3.97	3.97	4009200
2009-06-26	3.89	4.46	3.67	4.27	4.27	15367900
2009-06-29	4.2	4.5	4.02	4.45	4.45	2621500
2009-06-30	4.45	4.45	4.18	4.4	4.4	2440500
2009-07-01	4.46	4.55	4.25	4.36	4.36	1915100
2009-07-02	4.27	4.45	4.04	4.04	4.04	1552400
2009-07-06	4.01	4.1	3.85	3.99	3.99	1854800
2009-07-07	3.89	4.09	3.78	3.79	3.79	1745300
2009-07-08	3.61	3.93	3.27	3.6	3.6	3040100
2009-07-09	3.66	3.67	3.44	3.46	3.46	1831600
2009-07-10	3.37	3.59	3.36	3.43	3.43	1633800
2009-07-13	3.51	3.78	3.4	3.77	3.77	2119100
2009-07-14	3.75	3.83	3.27	3.29	3.29	4142400
2009-07-15	3.42	4.06	3.42	3.94	3.94	4713000
2009-07-16	3.62	4.98	3.6	4.7	4.7	14192000
2009-07-17	4.65	5.38	4.6	4.97	4.97	8954300
2009-07-20	5.05	5.55	4.99	5.5	5.5	4163800
