Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	6.75	7.35	6.66	7.1	3.7434809999999996	69200
2009-01-05	7.18	7.25	7.0	7.08	3.732935	111400
2009-01-06	7.07	7.37	7.07	7.37	3.885839	73200
2009-01-07	7.16	7.45	7.16	7.4	3.9016559999999996	112000
2009-01-08	7.45	7.53	7.35	7.45	3.9280190000000004	127900
2009-01-09	7.75	7.75	7.48	7.51	3.959654	118000
2009-01-12	7.83	7.85	7.54	7.67	4.044015	116500
2009-01-13	7.69	7.69	7.4	7.65	4.056208	91000
2009-01-14	7.7	7.7	7.24	7.24	3.838818	72800
2009-01-15	7.23	7.43	7.2	7.43	3.9395629999999997	90100
2009-01-16	7.45	7.66	7.33	7.66	4.0615120000000005	53100
2009-01-20	7.64	7.64	7.39	7.45	3.950165	52200
2009-01-21	7.44	7.69	7.25	7.49	3.971372	55600
2009-01-22	7.49	7.6	7.43	7.53	3.992585	99300
2009-01-23	7.6	7.6	7.44	7.55	4.0031870000000005	53400
2009-01-26	7.5	7.56	7.47	7.56	4.00849	54100
2009-01-27	7.5	7.52	7.35	7.45	3.950165	64300
2009-01-28	7.67	7.67	7.48	7.57	4.013793	94700
2009-01-29	7.7	7.7	7.52	7.7	4.08272	54700
2009-01-30	7.69	7.72	7.42	7.52	3.987281	128700
2009-02-02	7.65	7.65	7.33	7.37	3.907746	72500
2009-02-03	7.33	7.73	7.33	7.73	4.098628	56900
2009-02-04	7.46	7.7	7.46	7.65	4.056208	97000
2009-02-05	7.85	7.86	7.66	7.86	4.167557	145900
2009-02-06	7.87	8.15	7.77	8.15	4.321321	52400
2009-02-09	7.75	7.94	7.72	7.84	4.156951	121400
2009-02-10	7.8	7.87	7.7	7.79	4.13044	38900
2009-02-11	7.83	7.9	7.78	7.9	4.2120169999999995	85500
2009-02-12	7.95	8.1	7.8	7.88	4.201351	91900
2009-02-13	7.84	7.9	7.81	7.82	4.169363	18500
2009-02-17	7.84	8.18	7.63	7.63	4.06806	51300
2009-02-18	7.56	7.8	7.25	7.3	3.892115	68600
2009-02-19	7.35	7.44	7.28	7.42	3.956095	42200
2009-02-20	7.26	7.46	6.83	7.46	3.977421	87900
2009-02-23	7.5	7.5	7.0	7.2	3.838797	65300
2009-02-24	7.1	7.99	6.83	7.4	3.9454339999999997	128200
2009-02-25	7.75	7.75	7.23	7.54	4.020075	53500
2009-02-26	7.55	7.66	7.5	7.6	4.0520629999999995	54100
2009-02-27	7.58	7.59	7.3	7.49	3.993418	35500
2009-03-02	7.31	7.66	7.06	7.06	3.764154	106100
2009-03-03	6.99	7.22	6.97	7.16	3.817472	60700
2009-03-04	7.19	7.49	7.13	7.35	3.918774	64000
2009-03-05	7.05	7.26	7.05	7.26	3.87079	53500
2009-03-06	7.17	7.28	7.01	7.19	3.833468	71600
2009-03-09	7.0	7.15	6.78	6.89	3.673517	114600
2009-03-10	6.87	7.25	6.87	7.18	3.828135	68200
2009-03-11	7.07	7.17	7.0	7.03	3.748161	122200
2009-03-12	6.95	7.12	6.92	7.12	3.8195099999999997	49100
2009-03-13	7.11	7.2	7.02	7.13	3.824872	33300
2009-03-16	7.15	7.35	7.1	7.29	3.910704	77700
2009-03-17	7.24	7.35	7.1	7.12	3.8195099999999997	48900
2009-03-18	7.1	7.25	6.94	7.15	3.835601	61700
2009-03-19	7.24	7.24	7.13	7.15	3.835601	36100
2009-03-20	7.15	7.4	7.1	7.35	3.942888	45900
2009-03-23	7.26	7.51	7.26	7.34	3.937526	67400
2009-03-24	7.57	8.0	7.25	7.35	3.942888	43900
2009-03-25	7.35	7.49	7.18	7.21	3.867789	83100
2009-03-26	7.2	7.3	7.2	7.28	3.905339	28100
2009-03-27	7.29	7.55	7.24	7.41	3.975078	85800
2009-03-30	7.51	7.51	7.3	7.35	3.942888	83600
2009-03-31	7.5	7.55	7.4	7.53	4.039452	90700
2009-04-01	7.67	7.67	7.33	7.38	3.9589849999999998	100100
2009-04-02	7.45	7.87	7.45	7.73	4.1467410000000005	95200
2009-04-03	7.71	7.82	7.55	7.73	4.1467410000000005	63400
2009-04-06	7.75	7.8	7.57	7.8	4.184293	29400
2009-04-07	7.75	7.85	7.61	7.83	4.200385	45900
2009-04-08	7.74	7.91	7.65	7.79	4.178929	63900
2009-04-09	7.8	7.8	7.5	7.61	4.082368	52500
2009-04-13	7.5	7.5	7.31	7.4	3.9922720000000003	58400
2009-04-14	7.35	7.38	7.22	7.35	3.965295	70400
2009-04-15	7.36	7.53	7.3	7.44	4.01385	60000
2009-04-16	7.52	7.81	7.4	7.41	3.997667	76100
2009-04-17	7.42	7.69	7.42	7.56	4.078591	51100
2009-04-20	7.57	7.57	7.44	7.46	4.024643	36300
2009-04-21	7.45	7.64	7.43	7.6	4.100169	54400
2009-04-22	7.76	7.76	7.48	7.55	4.073196	36500
2009-04-23	7.64	7.81	7.48	7.71	4.159515	57700
2009-04-24	7.8	7.8	7.67	7.77	4.191885	28200
2009-04-27	7.72	7.85	7.72	7.72	4.16491	41100
2009-04-28	7.81	7.92	7.75	7.9	4.262021	49100
2009-04-29	7.86	7.94	7.79	7.93	4.278204	73200
2009-04-30	7.87	7.96	7.87	7.87	4.245835	61500
2009-05-01	7.94	7.97	7.87	7.87	4.245835	70300
2009-05-04	7.9	8.05	7.87	7.89	4.256626	99000
2009-05-05	7.92	8.11	7.89	8.0	4.315969	47600
2009-05-06	8.0	8.14	7.87	7.89	4.256626	75100
2009-05-07	8.05	8.1	7.87	8.08	4.359129	81400
2009-05-08	8.05	8.22	8.0	8.13	4.386105000000001	65600
2009-05-11	8.12	8.17	8.05	8.17	4.40768	85900
2009-05-12	8.13	8.2	8.06	8.13	4.386105000000001	81900
2009-05-13	7.99	8.11	7.94	8.07	4.376883	62600
2009-05-14	8.1	8.1	7.95	8.07	4.376883	44100
2009-05-15	8.22	8.3	8.1	8.2	4.4473910000000005	47900
2009-05-18	8.16	8.19	7.97	8.15	4.420272	33700
2009-05-19	8.14	8.36	7.97	8.36	4.534168	66200
2009-05-20	8.36	8.47	8.24	8.44	4.577557	76600
2009-05-21	8.32	8.4	8.26	8.3	4.501627	43000
2009-05-22	8.24	8.32	8.01	8.07	4.376883	83800
2009-05-26	8.0	8.08	7.98	8.04	4.360613	85700
2009-05-27	8.11	8.15	7.96	8.0	4.338918	74700
2009-05-28	8.17	8.17	7.92	8.07	4.376883	90300
2009-05-29	8.07	8.11	8.03	8.06	4.371459	60300
2009-06-01	8.14	8.14	8.0	8.08	4.382308	67500
2009-06-02	8.12	8.24	8.05	8.24	4.469085	74800
2009-06-03	8.26	8.29	8.15	8.29	4.4962029999999995	73600
2009-06-04	8.3	8.46	8.22	8.36	4.534168	83000
2009-06-05	8.34	8.42	8.3	8.37	4.539591000000001	60000
2009-06-08	8.27	8.57	8.27	8.51	4.615524	52000
