Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	15.42	16.32	15.2	15.61	13.372601000000001	224700
2009-01-05	15.68	16.6	15.59	15.8	13.535367	302000
2009-01-06	15.99	16.549999	15.41	16.41	14.057936999999999	359000
2009-01-07	16.200001	16.559998999999998	15.35	15.81	13.54394	209800
2009-01-08	15.54	15.68	15.09	15.63	13.389739000000002	244000
2009-01-09	15.7	15.7	15.0	15.09	12.927135	302500
2009-01-12	15.11	15.17	13.7	14.15	12.121863000000001	299300
2009-01-13	14.18	15.02	13.94	14.58	12.490233	270800
2009-01-14	14.72	14.72	14.0	14.37	12.310328	308600
2009-01-15	14.47	14.96	13.77	14.8	12.6787	270800
2009-01-16	15.03	15.86	14.12	15.51	13.286935	308000
2009-01-20	15.26	15.36	14.2	14.3	12.250366	309400
2009-01-21	14.45	15.24	14.39	15.15	12.978537	165600
2009-01-22	14.8	14.91	13.93	14.37	12.310328	182800
2009-01-23	14.05	14.16	13.04	13.34	11.427964	255000
2009-01-26	13.4	14.18	13.25	13.52	11.582167	132200
2009-01-27	13.61	14.33	13.56	13.93	11.933401	84500
2009-01-28	14.11	14.81	13.92	14.63	12.533068	112800
2009-01-29	14.51	14.51	13.47	13.84	11.856299	115500
2009-01-30	13.93	14.07	13.44	13.54	11.599298	172200
2009-02-02	13.18	14.1	13.17	13.9	11.907697	118100
2009-02-03	14.01	14.01	13.19	13.6	11.650701	171700
2009-02-04	13.59	13.93	13.25	13.29	11.38513	73900
2009-02-05	13.26	13.91	12.95	13.58	11.633564999999999	118400
2009-02-06	13.71	14.36	13.61	14.1	12.079034	119500
2009-02-09	14.0	14.49	14.0	14.41	12.3446	171400
2009-02-10	14.29	14.87	14.29	14.48	12.404567	318100
2009-02-11	14.48	14.77	13.92	14.07	12.053333	262300
2009-02-12	13.92	14.53	13.56	14.44	12.370298	221300
2009-02-13	14.41	14.55	13.39	13.5	11.56503	181900
2009-02-17	13.2	13.52	13.07	13.34	11.427964	209400
2009-02-18	13.51	13.68	13.15	13.34	11.427964	135400
2009-02-19	13.52	14.01	13.46	13.59	11.642134	97500
2009-02-20	13.33	13.6	12.77	12.9	11.05103	128700
2009-02-23	12.92	13.06	11.9	12.02	10.297161000000001	159000
2009-02-24	12.49	12.49	11.4	11.86	10.160093	311000
2009-02-25	11.72	11.72	10.54	11.04	9.562441999999999	264700
2009-02-26	11.07	11.18	9.98	10.08	8.730927000000001	279100
2009-02-27	10.04	10.68	9.84	9.86	8.540367	212900
2009-03-02	9.76	9.76	9.09	9.14	7.916733	187400
2009-03-03	9.25	9.37	8.26	8.34	7.223802	233100
2009-03-04	8.5	8.98	8.25	8.75	7.578927	212600
2009-03-05	8.51	8.77	8.1	8.3	7.189156	224700
2009-03-06	8.37	8.43	8.02	8.23	7.1285229999999995	131200
2009-03-09	8.12	8.27	7.65	7.74	6.704103	108500
2009-03-10	7.95	8.26	7.86	8.25	7.145847	138300
2009-03-11	8.28	8.28	7.61	7.98	6.911982000000001	115400
2009-03-12	7.92	8.45	7.66	8.37	7.249785	170000
2009-03-13	8.45	8.52	8.2	8.44	7.310417	100400
2009-03-16	8.49	8.71	7.83	8.06	6.981275999999999	176300
2009-03-17	8.04	8.16	7.82	8.16	7.067892	164900
2009-03-18	8.14	8.83	8.06	8.77	7.596251	237700
2009-03-19	8.91	9.13	8.77	8.85	7.665545	93000
2009-03-20	8.94	9.06	8.23	8.24	7.137185000000001	110900
2009-03-23	8.49	9.93	8.44	9.93	8.601001	134500
2009-03-24	9.96	10.16	9.27	9.29	8.046657000000002	130700
2009-03-25	9.39	10.08	9.01	9.71	8.410442999999999	135900
2009-03-26	9.8	10.21	9.42	10.18	8.817541	142000
2009-03-27	9.91	10.02	9.45	9.48	8.211229	99100
2009-03-30	9.19	9.45	8.86	9.38	8.12461	106200
2009-03-31	9.47	9.62	9.08	9.37	8.11595	145200
2009-04-01	9.14	9.97	9.05	9.89	8.566355	107100
2009-04-02	10.03	11.19	9.91	10.65	9.224638	172700
2009-04-03	10.65	10.95	10.4	10.74	9.302591	77600
2009-04-06	10.7	10.87	10.21	10.84	9.38921	100700
2009-04-07	10.66	10.96	10.0	10.03	8.687619	63400
2009-04-08	10.07	11.37	10.07	11.07	9.588425	91400
2009-04-09	11.5	12.09	11.34	11.9	10.307343	130300
2009-04-13	11.95	12.64	11.75	12.46	10.792394	122800
2009-04-14	12.32	13.18	11.84	12.05	10.437268	212100
2009-04-15	11.99	12.99	11.99	12.92	11.190828999999999	127700
2009-04-16	13.0	14.71	12.65	13.99	12.117622	179100
2009-04-17	14.03	14.23	13.81	14.08	12.195575999999999	132800
2009-04-20	13.75	13.75	12.9	13.02	11.277443	129200
2009-04-21	12.96	14.05	12.83	14.01	12.134945	200700
2009-04-22	13.76	15.0	13.76	14.38	12.455426	214100
2009-04-23	14.43	14.68	14.2	14.33	12.41212	239400
2009-04-24	14.5	15.22	14.32	14.9	12.905828999999999	191200
2009-04-27	14.66	14.75	14.07	14.43	12.498733999999999	120400
2009-04-28	14.25	14.68	14.22	14.29	12.377473	229400
2009-04-29	14.37	15.58	14.36	15.14	13.113710000000001	157500
2009-04-30	15.22	15.89	14.77	14.87	12.879847999999999	208000
2009-05-01	14.84	15.97	14.5	15.45	13.382223999999999	225100
2009-05-04	15.43	16.43	15.33	16.389999	14.196411999999999	199900
2009-05-05	16.24	16.48	15.64	16.07	13.919241	109600
2009-05-06	16.27	16.49	15.3	16.280001000000002	14.10114	129100
2009-05-07	16.68	17.4	16.450001	16.549999	14.334999	154000
2009-05-08	16.799999	19.49	16.709999	19.32	16.734278	148700
2009-05-11	19.32	20.370001000000002	19.030001000000002	19.540001	16.924831	132900
2009-05-12	19.559998999999998	19.559998999999998	18.450001	19.08	16.526394	107800
2009-05-13	18.700001	18.700001	17.540001	17.950001	15.547633	111700
2009-05-14	17.83	18.719998999999998	17.67	17.780001000000002	15.400386	100100
2009-05-15	17.709999	18.209999	17.5	17.67	15.305102	121400
2009-05-18	18.35	19.370001000000002	18.059998999999998	19.299999	16.716948000000002	116300
2009-05-19	19.16	19.709999	18.98	19.09	16.535051	77600
2009-05-20	19.309998999999998	20.0	19.25	19.360001	16.768917000000002	138400
2009-05-21	19.01	19.690001000000002	18.48	18.93	16.396471	69100
2009-05-22	19.0	19.0	17.950001	17.969998999999998	15.564954	46200
2009-05-26	17.950001	19.540001	17.73	19.48	16.87286	122600
2009-05-27	19.299999	19.82	18.9	18.950001	16.524069	95600
2009-05-28	19.389999	19.43	18.219998999999998	19.24	16.776945	81600
2009-05-29	19.24	19.24	17.84	18.27	15.931123000000001	103600
2009-06-01	18.700001	19.879998999999998	18.700001	19.540001	17.03854	111200
