Date	Open	High	Low	Close	Adj Close	Volume
2009-01-02	13.2	13.6	12.8	13.2	13.2	9400
2009-01-05	13.2	15.0	12.8	13.8	13.8	8400
2009-01-06	13.2	14.4	13.0	13.0	13.0	17500
2009-01-07	13.6	15.2	12.6	12.6	12.6	14100
2009-01-08	13.2	19.0	12.4	18.4	18.4	114400
2009-01-09	18.799999	18.799999	15.2	15.6	15.6	35200
2009-01-12	15.8	17.6	13.6	13.8	13.8	21600
2009-01-13	13.8	15.6	13.6	14.6	14.6	14300
2009-01-14	14.2	14.8	13.0	14.4	14.4	10600
2009-01-15	14.6	14.6	11.6	13.6	13.6	13700
2009-01-16	14.0	15.0	13.0	13.6	13.6	5200
2009-01-20	13.2	13.2	11.6	11.6	11.6	7000
2009-01-21	11.6	13.4	11.6	13.4	13.4	5700
2009-01-22	14.6	14.6	12.8	13.2	13.2	5300
2009-01-23	13.0	13.0	11.4	12.6	12.6	5300
2009-01-26	12.8	13.2	11.6	11.8	11.8	5800
2009-01-27	11.8	12.8	11.8	12.0	12.0	2400
2009-01-28	11.8	12.8	11.8	12.4	12.4	2800
2009-01-29	12.4	12.8	11.4	11.4	11.4	3900
2009-01-30	12.4	13.0	9.4	9.8	9.8	10200
2009-02-02	10.4	11.6	9.6	10.0	10.0	7400
2009-02-03	10.4	14.2	10.4	13.0	13.0	15200
2009-02-04	12.6	14.0	12.6	12.6	12.6	5700
2009-02-05	12.6	12.6	11.4	12.0	12.0	6800
2009-02-06	12.2	14.0	12.2	13.6	13.6	7400
2009-02-09	14.0	14.4	13.2	14.2	14.2	6800
2009-02-10	14.8	14.8	12.4	13.0	13.0	5300
2009-02-11	13.2	14.4	12.0	12.2	12.2	5100
2009-02-12	12.2	14.4	11.0	12.0	12.0	5400
2009-02-13	12.2	13.2	11.2	11.4	11.4	6300
2009-02-17	11.0	12.4	10.6	11.4	11.4	5900
2009-02-18	11.8	12.8	11.8	12.0	12.0	7000
2009-02-19	12.4	12.4	11.6	12.2	12.2	5600
2009-02-20	12.8	13.6	12.4	12.4	12.4	8400
2009-02-23	12.6	13.4	12.4	12.4	12.4	10700
2009-02-24	12.8	13.0	11.6	13.0	13.0	5700
2009-02-25	13.4	13.4	12.4	13.2	13.2	8300
2009-02-26	13.2	13.6	13.2	13.6	13.6	11000
2009-02-27	14.2	14.4	13.4	13.8	13.8	7500
2009-03-02	13.8	14.2	13.0	14.0	14.0	4800
2009-03-03	13.2	14.0	6.0	11.4	11.4	5900
2009-03-04	11.6	11.8	11.0	11.8	11.8	2500
2009-03-05	11.0	11.2	10.2	10.2	10.2	2300
2009-03-06	10.6	12.0	10.6	11.4	11.4	1000
2009-03-09	11.8	12.0	10.4	10.4	10.4	3500
2009-03-10	10.8	11.6	10.0	10.8	10.8	5000
2009-03-11	10.8	13.2	10.8	12.6	12.6	6000
2009-03-12	12.6	13.2	11.4	11.8	11.8	4000
2009-03-13	11.8	12.2	10.0	10.8	10.8	4100
2009-03-16	11.0	12.2	10.8	11.0	11.0	2400
2009-03-17	12.0	12.8	11.0	12.8	12.8	3100
2009-03-18	12.8	13.0	12.0	12.2	12.2	3000
2009-03-19	12.4	12.4	10.8	11.4	11.4	2600
2009-03-20	11.4	13.0	11.4	13.0	13.0	4200
2009-03-23	13.4	13.4	12.0	12.8	12.8	2200
2009-03-24	12.4	12.8	11.6	11.8	11.8	1800
2009-03-25	12.0	12.6	11.4	12.4	12.4	2000
2009-03-26	12.8	13.0	12.0	12.8	12.8	3800
2009-03-27	12.4	12.8	12.2	12.2	12.2	1800
2009-03-30	12.0	12.8	12.0	12.0	12.0	1200
2009-03-31	12.8	13.4	12.0	13.4	13.4	5200
2009-04-01	13.2	13.6	11.2	12.0	12.0	5700
2009-04-02	13.8	13.8	13.0	13.4	13.4	5300
2009-04-03	12.2	13.6	12.2	13.0	13.0	3500
2009-04-06	13.0	13.2	12.6	12.6	12.6	1900
2009-04-07	12.0	13.0	11.2	11.2	11.2	6100
2009-04-08	12.0	12.0	11.6	12.0	12.0	5200
2009-04-09	11.8	13.0	11.6	12.8	12.8	6000
2009-04-13	12.8	15.6	12.8	15.2	15.2	11000
2009-04-14	14.6	15.8	13.6	14.0	14.0	8200
2009-04-15	14.2	15.6	14.0	15.4	15.4	5000
2009-04-16	17.0	18.4	16.0	17.799999	17.799999	12700
2009-04-17	18.0	19.799999	18.0	18.799999	18.799999	12500
2009-04-20	18.0	19.0	16.200001	17.0	17.0	9700
2009-04-21	17.0	17.799999	17.0	17.4	17.4	3900
2009-04-22	17.200001	18.200001	16.799999	17.0	17.0	5900
2009-04-23	17.0	17.799999	17.0	17.0	17.0	3300
2009-04-24	17.4	17.799999	16.200001	16.6	16.6	3700
2009-04-27	16.0	16.4	15.2	15.4	15.4	5200
2009-04-28	14.6	15.4	14.2	14.6	14.6	4400
2009-04-29	15.4	16.0	14.8	15.6	15.6	8100
2009-04-30	15.2	16.6	15.2	16.6	16.6	5500
2009-05-01	16.6	16.6	15.2	15.8	15.8	5900
2009-05-04	16.200001	17.4	16.200001	17.4	17.4	6200
2009-05-05	17.799999	19.6	17.0	18.4	18.4	14700
2009-05-06	18.4	18.4	15.8	16.799999	16.799999	16900
2009-05-07	17.4	17.6	15.0	15.2	15.2	10200
2009-05-08	15.6	16.0	15.2	16.0	16.0	7200
2009-05-11	16.0	17.0	16.0	16.200001	16.200001	9000
2009-05-12	16.4	16.6	16.0	16.200001	16.200001	3200
2009-05-13	16.200001	16.200001	14.6	14.8	14.8	8200
2009-05-14	15.0	15.2	14.4	14.6	14.6	4500
2009-05-15	14.6	15.8	13.6	14.0	14.0	7200
2009-05-18	14.6	14.6	14.0	14.4	14.4	4700
2009-05-19	16.0	16.0	13.8	13.8	13.8	8000
2009-05-20	14.0	14.4	13.0	13.2	13.2	9200
2009-05-21	13.8	13.8	11.6	12.0	12.0	13900
2009-05-22	12.0	13.2	12.0	12.8	12.8	3600
2009-05-26	12.6	14.4	12.6	14.4	14.4	12400
2009-05-27	14.8	15.2	13.4	13.8	13.8	12200
2009-05-28	14.4	15.4	14.0	15.4	15.4	6800
2009-05-29	16.6	16.6	14.4	14.4	14.4	14400
2009-06-01	14.8	17.6	14.8	17.0	17.0	18300
2009-06-02	17.0	24.799999	17.0	22.6	22.6	61100
2009-06-03	24.6	24.6	20.200001	21.200001	21.200001	28200
2009-06-04	21.200001	30.6	20.6	29.4	29.4	49300
2009-06-05	33.799999	44.0	31.200001	35.0	35.0	117300
2009-06-08	31.4	34.799999	30.200001	31.4	31.4	21000
2009-06-09	31.4	32.0	27.0	28.6	28.6	33500
2009-06-10	29.799999	29.799999	27.0	27.6	27.6	23400
2009-06-11	27.200001	31.6	26.799999	27.4	27.4	26300
2009-06-12	26.6	27.0	24.6	25.799999	25.799999	20400
