Date	Open	High	Low	Close	Adj Close	Volume
2011-01-03	13.85	14.23	13.8	14.19	13.153656	354322300
2011-01-04	14.23	14.25	14.02	14.24	13.200004999999999	218978200
2011-01-05	14.19	14.6	14.15	14.5	13.441016000000001	246151200
2011-01-06	14.54	14.69	14.34	14.44	13.385398	241658500
2011-01-07	14.54	14.68	13.98	14.25	13.209275	392328700
2011-01-10	14.17	14.43	14.09	14.4	13.348320999999999	185382600
2011-01-11	14.61	14.73	14.53	14.69	13.617141	212239400
2011-01-12	14.89	14.99	14.85	14.99	13.895229	204060800
2011-01-13	15.01	15.02	14.72	14.77	13.691301000000001	158944400
2011-01-14	14.74	15.31	14.68	15.25	14.136244	282493800
2011-01-18	15.08	15.16	14.85	15.0	13.904499	198400500
2011-01-19	14.85	14.95	14.35	14.37	13.320511999999999	247013200
2011-01-20	14.27	14.61	13.94	14.54	13.478097	245219600
2011-01-21	14.41	14.71	14.22	14.25	13.209275	291812600
2011-01-24	14.25	14.26	13.88	13.92	12.903374000000001	225424700
2011-01-25	13.78	13.84	13.4	13.63	12.634554	303642100
2011-01-26	13.71	13.77	13.55	13.55	12.560398	145810300
2011-01-27	13.58	13.67	13.48	13.67	12.671635	153086100
2011-01-28	13.83	14.06	13.58	13.6	12.606749	226452500
2011-01-31	13.71	13.79	13.64	13.73	12.727252	118000800
2011-02-01	13.9	14.37	13.87	14.31	13.264892999999999	211978400
2011-02-02	14.33	14.35	14.13	14.24	13.200004999999999	140312700
2011-02-03	14.16	14.47	14.15	14.43	13.376128	145885300
2011-02-04	14.43	14.47	14.11	14.29	13.246351999999998	141015200
2011-02-07	14.51	14.77	14.43	14.67	13.598602	149423500
2011-02-08	14.64	14.76	14.5	14.61	13.542981	158426200
2011-02-09	14.46	14.69	14.41	14.64	13.570792	150179100
2011-02-10	14.51	14.64	14.47	14.49	13.431745999999999	132240800
2011-02-11	14.37	14.87	14.35	14.77	13.691301000000001	156195600
2011-02-14	14.78	14.95	14.71	14.89	13.802534	112571100
2011-02-15	14.8	14.88	14.69	14.77	13.691301000000001	109532300
2011-02-16	14.81	14.88	14.7	14.84	13.756185	132821900
2011-02-17	14.75	14.91	14.73	14.81	13.728379	103495400
2011-02-18	14.84	14.89	14.67	14.75	13.672756	98369000
2011-02-22	14.38	14.52	14.09	14.18	13.144388000000001	187522800
2011-02-23	14.17	14.44	13.92	14.17	13.135117999999999	196355700
2011-02-24	14.11	14.16	13.79	13.97	12.949724	201697200
2011-02-25	14.16	14.32	14.12	14.2	13.162927	126869100
2011-02-28	14.27	14.48	14.16	14.29	13.246351999999998	137039100
2011-03-01	14.32	14.35	13.91	13.93	12.912644	161263900
2011-03-02	13.92	14.07	13.81	13.83	12.829158	115609400
2011-03-03	14.05	14.29	14.05	14.27	13.237317000000001	139513500
2011-03-04	14.3	14.31	13.98	14.12	13.09817	146184700
2011-03-07	14.18	14.27	13.92	14.03	13.014687	139010300
2011-03-08	14.27	14.7	14.2	14.69	13.626923000000001	250033200
2011-03-09	14.66	14.69	14.48	14.59	13.534161	148290400
2011-03-10	14.42	14.46	14.26	14.26	13.228039	155462700
2011-03-11	14.11	14.43	14.1	14.38	13.339356	111555000
2011-03-14	14.26	14.35	14.07	14.23	13.200213	112139700
2011-03-15	13.77	14.06	13.71	13.96	12.94975	167837200
2011-03-16	14.01	14.1	13.66	13.69	12.699292	178630900
2011-03-17	13.89	14.04	13.75	13.98	12.968303	131745300
2011-03-18	14.2	14.29	13.98	14.04	13.023961	199209100
2011-03-21	14.2	14.22	13.9	14.05	13.033237	114391500
2011-03-22	14.04	14.05	13.88	13.88	12.875542	86286500
2011-03-23	13.72	13.74	13.37	13.65	12.662185000000001	230626600
2011-03-24	13.56	13.59	13.32	13.48	12.504484	170761100
2011-03-25	13.49	13.53	13.32	13.34	12.374619000000001	115322600
2011-03-28	13.42	13.56	13.37	13.37	12.402447	78640400
2011-03-29	13.41	13.41	13.16	13.35	12.383896	117737500
2011-03-30	13.4	13.56	13.27	13.45	12.476659	121082200
2011-03-31	13.35	13.39	13.29	13.33	12.365339	86180900
2011-04-01	13.45	13.61	13.35	13.37	12.402447	95017100
2011-04-04	13.4	13.59	13.4	13.44	12.467383	71113900
2011-04-05	13.43	13.5	13.37	13.47	12.495211999999999	64968800
2011-04-06	13.6	13.78	13.53	13.72	12.727119	136151600
2011-04-07	13.79	13.88	13.54	13.61	12.625079	119206000
2011-04-08	13.63	13.72	13.45	13.48	12.504484	87592400
2011-04-11	13.5	13.59	13.43	13.49	12.513763	63348300
2011-04-12	13.4	13.58	13.31	13.47	12.495211999999999	100372600
2011-04-13	13.61	13.64	13.21	13.27	12.309683	124630800
2011-04-14	13.16	13.26	13.07	13.13	12.179817	115624900
2011-04-15	13.22	13.33	12.82	12.82	11.892248	266336200
2011-04-18	12.59	12.6	12.24	12.42	11.521195	262012500
2011-04-19	12.53	12.53	12.15	12.34	11.446984	182612900
2011-04-20	12.43	12.48	12.21	12.27	11.382052	179989100
2011-04-21	12.33	12.4	12.24	12.31	11.419155	100820900
2011-04-25	12.33	12.6	12.32	12.44	11.539747	112414300
2011-04-26	12.49	12.53	12.23	12.23	11.344945	146800000
2011-04-27	12.24	12.4	12.23	12.33	11.437712	118705100
2011-04-28	12.31	12.45	12.25	12.42	11.521195	92414200
2011-04-29	12.39	12.42	12.28	12.28	11.39133	87169300
2011-05-02	12.36	12.47	12.33	12.34	11.446984	89940100
2011-05-03	12.35	12.71	12.33	12.6	11.688172	145530300
2011-05-04	12.64	12.68	12.42	12.49	11.586131	99234300
2011-05-05	12.41	12.47	12.2	12.3	11.409881	130921200
2011-05-06	12.41	12.45	12.28	12.31	11.419155	111324100
2011-05-09	12.28	12.32	12.11	12.18	11.298566000000001	110668200
2011-05-10	12.21	12.37	12.18	12.28	11.39133	91577700
2011-05-11	12.28	12.43	12.23	12.25	11.363498	150517800
2011-05-12	12.2	12.27	12.09	12.2	11.317117999999999	111941900
2011-05-13	12.2	12.21	11.91	11.93	11.066658	159056700
2011-05-16	11.89	12.11	11.82	11.86	11.001723	123646400
2011-05-17	11.81	11.94	11.8	11.9	11.038828	145394700
2011-05-18	11.9	11.9	11.73	11.79	10.936786999999999	152963400
2011-05-19	11.88	11.89	11.68	11.69	10.844026	121082700
2011-05-20	11.64	11.78	11.53	11.58	10.741985000000001	115821500
2011-05-23	11.47	11.52	11.38	11.42	10.593565	122134100
2011-05-24	11.45	11.51	11.29	11.46	10.63067	129513400
2011-05-25	11.35	11.58	11.35	11.38	10.556458000000001	103583400
2011-05-26	11.39	11.56	11.38	11.46	10.63067	124072200
2011-05-27	11.57	11.78	11.54	11.69	10.844026	107370400
2011-05-31	11.87	11.92	11.62	11.75	10.899683	106228200
2011-06-01	11.71	11.74	11.23	11.24	10.435472	176331800
2011-06-02	11.29	11.42	11.08	11.29	10.481894	198074000
2011-06-03	11.2	11.45	11.16	11.28	10.472608000000001	115786700
2011-06-06	11.18	11.2	10.75	10.83	10.054819	213289400
2011-06-07	10.96	11.05	10.6	10.65	9.887701	160224800
2011-06-08	10.59	10.79	10.5	10.54	9.785575999999999	159384200
2011-06-09	10.58	10.75	10.5	10.65	9.887701	129533300
2011-06-10	10.62	11.03	10.41	10.8	10.026966	210796300
2011-06-13	10.89	11.02	10.64	10.97	10.184797	186095900
2011-06-14	11.12	11.12	10.75	10.8	10.026966	173051000
2011-06-15	10.6	10.67	10.41	10.5	9.748441	213408200
2011-06-16	10.45	10.69	10.4	10.6	9.841281	200127400
2011-06-17	10.75	10.77	10.58	10.68	9.915556	116367000
2011-06-20	10.59	10.66	10.53	10.6	9.841281	88402500
2011-06-21	10.68	10.87	10.53	10.83	10.054819	109392600
2011-06-22	10.79	10.94	10.78	10.79	10.017676	102448600
2011-06-23	10.65	10.77	10.56	10.71	9.943405	180604400
2011-06-24	10.73	10.77	10.49	10.52	9.767008	122210200
2011-06-27	10.52	10.95	10.52	10.85	10.073387	202814500
2011-06-28	10.91	10.92	10.77	10.82	10.045533	113027000
2011-06-29	11.17	11.25	11.0	11.14	10.342630999999999	301628700
2011-06-30	11.17	11.18	10.84	10.96	10.175513	255993900
2011-07-01	10.98	11.14	10.92	11.09	10.296208	137487700
2011-07-05	11.06	11.07	10.91	11.0	10.212647	110261100
2011-07-06	10.83	10.85	10.66	10.74	9.971257000000001	145455700
2011-07-07	10.9	10.96	10.85	10.92	10.138376	113940400
2011-07-08	10.75	10.8	10.61	10.7	9.93412	129514100
2011-07-11	10.53	10.55	10.3	10.35	9.609177	145323900
