Date	Open	High	Low	Close	Adj Close	Volume
2011-01-03	16.129998999999998	16.49	16.110001	16.280001000000002	16.232038	4866200
2011-01-04	16.389999	16.48	16.18	16.370001000000002	16.321772	3437100
2011-01-05	16.360001	16.48	16.25	16.360001	16.311802	3629400
2011-01-06	16.35	16.450001	16.16	16.280001000000002	16.232038	2937600
2011-01-07	16.309998999999998	16.389999	16.16	16.34	16.291860999999997	2872600
2011-01-10	16.25	16.48	16.09	16.450001	16.401537	2037700
2011-01-11	16.469998999999998	16.68	16.27	16.360001	16.311802	2386600
2011-01-12	16.5	16.65	16.41	16.469998999999998	16.421476000000002	2946600
2011-01-13	16.23	16.700001	15.9	16.639999	16.590975	3504300
2011-01-14	16.5	16.700001	16.48	16.700001	16.650801	3458300
2011-01-18	16.65	16.700001	16.389999	16.549999	16.50124	2237900
2011-01-19	16.41	16.48	15.96	16.08	16.032625	2498000
2011-01-20	16.08	16.1	15.8	16.049999	16.002714	3110200
2011-01-21	16.120001000000002	16.190001000000002	15.86	15.92	15.873097	2421500
2011-01-24	15.91	15.96	15.6	15.75	15.703598000000001	3738900
2011-01-25	15.7	15.82	15.3	15.53	15.484245999999999	3891300
2011-01-26	15.6	15.85	15.48	15.79	15.743481	4691100
2011-01-27	16.0	16.85	15.86	16.74	16.690681	8564800
2011-01-28	16.75	17.049999	16.32	16.35	16.30183	4924800
2011-01-31	16.370001000000002	16.67	16.26	16.559998999999998	16.511211	2781600
2011-02-01	16.68	17.25	16.620001000000002	17.200001	17.149326000000002	5501400
2011-02-02	17.120001000000002	17.34	17.049999	17.190001000000002	17.139357	2555800
2011-02-03	17.18	17.18	16.799999	17.049999	16.999767000000002	3596000
2011-02-04	17.030001000000002	17.25	16.83	17.17	17.119415	2039800
2011-02-07	17.18	17.780001000000002	17.120001000000002	17.549999	17.498295000000002	3328100
2011-02-08	17.65	17.700001	17.389999	17.690001000000002	17.637884	2186100
2011-02-09	17.52	17.67	17.4	17.66	17.607971	2039700
2011-02-10	17.48	17.709999	17.450001	17.68	17.627913	1887700
2011-02-11	17.559998999999998	18.0	17.540001	17.889999	17.837294	2692200
2011-02-14	17.85	17.98	17.709999	17.950001	17.897118	1452600
2011-02-15	17.799999	17.9	17.709999	17.879998999999998	17.827322	2056900
2011-02-16	17.959999	18.129998999999998	17.799999	17.879998999999998	17.827322	2495400
2011-02-17	17.83	17.93	17.73	17.879998999999998	17.827322	1343500
2011-02-18	17.82	17.940001000000002	17.68	17.73	17.677765	2262000
2011-02-22	17.51	17.59	16.809998999999998	16.92	16.870151999999997	3109400
2011-02-23	16.92	17.1	16.540001	16.65	16.600946	4286400
2011-02-24	15.88	16.09	15.61	15.85	15.803304	26023000
2011-02-25	16.0	16.1	15.89	15.89	15.843186	5977900
2011-02-28	16.0	16.040001	15.8	15.98	15.932920000000001	3921600
2011-03-01	16.0	16.049999	15.61	15.63	15.583951999999998	5261100
2011-03-02	15.63	15.9	15.46	15.58	15.534099	2871300
2011-03-03	15.76	16.01	15.75	15.93	15.883068	3014600
2011-03-04	15.88	15.96	15.59	15.73	15.683657	2921300
2011-03-07	15.76	15.8	15.27	15.45	15.404482000000002	2686600
2011-03-08	15.52	15.84	15.41	15.82	15.773392000000001	2586400
2011-03-09	15.76	15.91	15.51	15.78	15.73351	2569600
2011-03-10	15.58	15.66	15.32	15.35	15.304777	3146500
2011-03-11	15.29	15.65	15.23	15.5	15.454335	3102400
2011-03-14	15.35	15.48	15.06	15.19	15.145247	2871600
2011-03-15	14.8	15.14	14.6	15.07	15.025601000000002	5155000
2011-03-16	15.0	15.5	14.76	14.86	14.816220000000001	10895500
2011-03-17	15.07	15.17	14.72	14.86	14.816220000000001	4128600
2011-03-18	15.08	15.22	14.95	15.11	15.065482999999999	5578600
2011-03-21	15.36	15.6	15.26	15.47	15.424423	2886700
2011-03-22	15.42	15.68	15.39	15.64	15.593923	2923400
2011-03-23	15.56	16.049999	15.3	15.96	15.91298	4633400
2011-03-24	16.02	16.139999	15.74	16.1	16.052568	2646300
2011-03-25	16.129998999999998	16.129998999999998	15.76	15.8	15.753451	2113900
2011-03-28	15.86	15.95	15.63	15.64	15.593923	1911400
2011-03-29	15.63	15.65	15.29	15.44	15.394510999999998	3895000
2011-03-30	15.5	15.52	15.33	15.45	15.404482000000002	5061000
2011-03-31	15.44	15.64	15.37	15.63	15.583951999999998	2402900
2011-04-01	15.77	16.040001	15.7	15.94	15.893038	2421100
2011-04-04	15.88	15.99	15.8	15.85	15.803304	2171400
2011-04-05	15.84	16.0	15.73	15.96	15.91298	1430900
2011-04-06	16.01	16.33	15.99	16.24	16.192154000000002	2027200
2011-04-07	16.18	16.42	16.02	16.02	15.972803	2271900
2011-04-08	16.1	16.200001	15.9	16.01	15.962832	2747000
2011-04-11	16.030001000000002	16.09	15.86	15.89	15.843186	1132400
2011-04-12	15.84	15.89	15.66	15.8	15.753451	1359000
2011-04-13	15.88	15.97	15.62	15.69	15.643775	2369400
2011-04-14	15.7	15.7	15.43	15.67	15.623834	1343500
2011-04-15	15.7	15.84	15.62	15.81	15.763422	1587300
2011-04-18	15.72	15.77	15.36	15.7	15.653746	3521100
2011-04-19	15.71	15.88	15.7	15.74	15.693627	3816800
2011-04-20	15.97	16.07	15.84	15.92	15.873097	2899500
2011-04-21	16.299999	16.549999	16.299999	16.469998999999998	16.421476000000002	6890000
2011-04-25	16.43	16.83	16.4	16.799999	16.750504	6041900
2011-04-26	16.26	16.440001000000002	16.1	16.15	16.102419	17292600
2011-04-27	16.209999	16.34	16.02	16.299999	16.251978	12482600
2011-04-28	16.209999	16.299999	15.96	16.25	16.202126	4400000
2011-04-29	16.24	16.27	16.040001	16.24	16.192154000000002	3575400
