Date	Open	High	Low	Close	Adj Close	Volume
2011-01-03	16.559998999999998	16.719998999999998	16.34	16.52	16.52	2970400
2011-01-04	16.530001000000002	16.65	16.299999	16.549999	16.549999	4239600
2011-01-05	16.530001000000002	16.530001000000002	16.120001000000002	16.370001000000002	16.370001000000002	2553900
2011-01-06	16.370001000000002	16.5	16.15	16.379998999999998	16.379998999999998	1614100
2011-01-07	16.41	16.52	16.18	16.35	16.35	4405000
2011-01-10	16.309998999999998	16.35	15.45	15.65	15.65	2509700
2011-01-11	15.68	15.74	15.42	15.67	15.67	2139600
2011-01-12	15.77	15.97	15.31	15.97	15.97	2495300
2011-01-13	15.89	16.030001000000002	15.65	15.96	15.96	1443900
2011-01-14	15.93	16.110001	15.88	16.09	16.09	1140000
2011-01-18	16.129998999999998	16.129998999999998	15.55	15.57	15.57	1640800
2011-01-19	15.53	15.53	14.7	15.24	15.24	3124300
2011-01-20	15.18	15.33	14.72	15.24	15.24	1704500
2011-01-21	15.29	15.29	14.54	14.73	14.73	2261900
2011-01-24	14.75	14.75	14.4	14.42	14.42	1732000
2011-01-25	14.38	14.76	14.33	14.72	14.72	1545800
2011-01-26	14.74	15.3	14.74	15.09	15.09	1938000
2011-01-27	15.12	15.3	15.0	15.29	15.29	1241300
2011-01-28	15.22	15.22	14.64	14.64	14.64	1484600
2011-01-31	14.77	15.02	14.56	14.74	14.74	1454400
2011-02-01	14.79	14.93	14.53	14.55	14.55	1336500
2011-02-02	14.46	14.96	14.46	14.77	14.77	926900
2011-02-03	14.74	14.96	14.48	14.82	14.82	697400
2011-02-04	14.86	14.97	14.68	14.96	14.96	1118000
2011-02-07	15.04	15.35	14.73	14.74	14.74	1316700
2011-02-08	14.76	14.99	14.76	14.94	14.94	404700
2011-02-09	14.87	14.93	14.54	14.66	14.66	1090400
2011-02-10	14.5	14.87	14.29	14.68	14.68	1266700
2011-02-11	14.66	14.78	14.62	14.69	14.69	649000
2011-02-14	14.75	14.78	14.59	14.59	14.59	716500
2011-02-15	14.6	14.83	14.42	14.57	14.57	1202200
2011-02-16	14.62	14.69	14.6	14.67	14.67	607800
2011-02-17	14.57	14.68	14.22	14.24	14.24	971500
2011-02-18	14.32	14.32	14.0	14.13	14.13	1067000
2011-02-22	14.1	14.12	13.55	13.73	13.73	1509000
2011-02-23	13.71	13.87	13.4	13.46	13.46	1020600
2011-02-24	13.43	13.64	13.28	13.52	13.52	936200
2011-02-25	13.54	13.91	13.49	13.91	13.91	984000
2011-02-28	13.94	13.99	13.51	13.68	13.68	1107600
2011-03-01	13.74	13.82	13.31	13.51	13.51	1061600
2011-03-02	13.44	13.71	13.32	13.61	13.61	550400
2011-03-03	13.71	14.04	13.6	13.94	13.94	515600
2011-03-04	13.9	14.22	13.85	14.03	14.03	607700
2011-03-07	14.02	14.09	13.75	13.83	13.83	958600
2011-03-08	13.85	14.18	13.49	14.18	14.18	693700
2011-03-09	14.19	14.21	13.5	13.53	13.53	798000
2011-03-10	13.35	13.59	13.17	13.5	13.5	1212800
2011-03-11	13.46	13.61	13.27	13.49	13.49	819600
2011-03-14	13.3	13.55	13.16	13.37	13.37	539400
2011-03-15	13.28	14.02	13.19	13.88	13.88	1655700
2011-03-16	14.11	14.51	13.92	14.04	14.04	1716700
2011-03-17	14.19	14.19	13.91	14.06	14.06	766300
2011-03-18	14.17	14.87	14.01	14.29	14.29	2115100
2011-03-21	14.47	14.57	13.92	14.02	14.02	779800
2011-03-22	14.02	14.1	13.86	14.01	14.01	372300
2011-03-23	14.01	14.11	13.82	14.11	14.11	625900
2011-03-24	14.16	14.78	14.04	14.77	14.77	960600
2011-03-25	14.82	14.97	14.52	14.53	14.53	597800
2011-03-28	14.65	14.84	14.53	14.65	14.65	543200
2011-03-29	14.64	14.99	14.64	14.85	14.85	617200
2011-03-30	14.88	15.34	14.79	15.24	15.24	858900
2011-03-31	15.24	15.85	15.17	15.85	15.85	2041300
2011-04-01	15.9	16.0	15.63	15.85	15.85	1119500
2011-04-04	15.92	16.190001000000002	15.67	16.129998999999998	16.129998999999998	932400
2011-04-05	15.66	16.49	15.66	16.450001	16.450001	2703700
2011-04-06	16.459999	16.549999	16.290001	16.42	16.42	1099400
2011-04-07	16.4	16.629998999999998	16.219998999999998	16.459999	16.459999	1900800
2011-04-08	17.059998999999998	17.24	16.700001	17.23	17.23	2375400
2011-04-11	17.200001	17.59	17.139999	17.43	17.43	1586300
2011-04-12	17.33	17.67	16.77	17.469998999999998	17.469998999999998	990300
2011-04-13	17.49	17.67	17.360001	17.51	17.51	1448200
2011-04-14	17.34	17.799999	17.34	17.549999	17.549999	1135500
2011-04-15	17.48	18.15	17.440001000000002	17.98	17.98	1422000
2011-04-18	17.799999	18.059998999999998	17.389999	17.66	17.66	1115600
2011-04-19	17.77	17.799999	16.83	17.15	17.15	1345400
2011-04-20	17.15	17.67	17.15	17.450001	17.450001	765600
2011-04-21	17.620001000000002	17.76	16.940001000000002	17.719998999999998	17.719998999999998	1572600
2011-04-25	17.629998999999998	17.889999	16.91	17.290001	17.290001	882700
2011-04-26	17.299999	17.780001000000002	17.049999	17.719998999999998	17.719998999999998	980700
2011-04-27	17.75	18.25	17.65	18.23	18.23	1222700
2011-04-28	18.1	18.77	18.030001000000002	18.709999	18.709999	1590600
2011-04-29	18.77	18.799999	18.290001	18.48	18.48	2023400
2011-05-02	18.440001000000002	18.799999	18.23	18.26	18.26	1821300
2011-05-03	18.450001	21.15	18.09	20.43	20.43	5800000
2011-05-04	20.459999	20.49	19.23	19.35	19.35	2383900
2011-05-05	19.26	19.549999	18.940001000000002	19.059998999999998	19.059998999999998	1800000
2011-05-06	19.32	19.92	19.18	19.799999	19.799999	1387400
2011-05-09	19.74	20.290001	19.6	20.209999	20.209999	1650500
2011-05-10	19.99	20.809998999999998	19.99	20.76	20.76	1929200
2011-05-11	20.620001000000002	20.76	19.780001000000002	20.0	20.0	1100000
2011-05-12	20.07	20.5	19.9	20.5	20.5	891000
2011-05-13	20.5	20.5	19.67	19.77	19.77	1155600
2011-05-16	19.700001	19.969998999999998	19.5	19.690001000000002	19.690001000000002	1737300
2011-05-17	19.59	19.67	19.18	19.32	19.32	1546400
2011-05-18	19.35	19.540001	19.200001	19.309998999999998	19.309998999999998	1369900
2011-05-19	19.91	19.92	18.91	18.950001	18.950001	2079300
2011-05-20	18.91	19.129998999999998	18.59	18.969998999999998	18.969998999999998	1467500
2011-05-23	18.6	18.6	18.09	18.18	18.18	1200000
2011-05-24	18.280001000000002	18.450001	17.75	17.84	17.84	1495100
2011-05-25	17.82	18.200001	17.700001	17.99	17.99	1361500
2011-05-26	17.860001	17.9	17.379998999999998	17.48	17.48	2072600
2011-05-27	17.6	18.0	17.5	17.92	17.92	1882100
