Date	Open	High	Low	Close	Adj Close	Volume
2011-01-03	10.71	10.78	10.69	10.76	8.844169	5756200
2011-01-04	10.74	10.78	10.45	10.47	8.605807	5838300
2011-01-05	10.44	10.67	10.36	10.62	8.729096	7466900
2011-01-06	10.64	10.66	10.55	10.61	8.720875999999999	2888600
2011-01-07	10.64	11.24	10.64	11.11	9.13185	14208900
2011-01-10	11.06	11.22	11.0	11.17	9.181166000000001	4883400
2011-01-11	11.2	11.2	10.91	11.07	9.098971	5950000
2011-01-12	11.18	11.24	11.04	11.13	9.148289	4762300
2011-01-13	11.14	11.26	11.05	11.13	9.148289	3383600
2011-01-14	11.08	11.15	11.0	11.1	9.123632	2374700
2011-01-18	11.09	11.34	11.04	11.29	9.279802	4029000
2011-01-19	11.25	11.29	11.04	11.04	9.074317	5085600
2011-01-20	10.98	11.03	10.78	10.93	8.9839	3053100
2011-01-21	10.98	11.12	10.88	10.94	8.992122	3428900
2011-01-24	10.92	10.95	10.72	10.93	8.9839	5390300
2011-01-25	10.91	10.93	10.71	10.89	8.951021	3280200
2011-01-26	10.91	11.06	10.85	10.98	9.024998	4632400
2011-01-27	11.01	11.17	10.94	11.07	9.098971	4725200
2011-01-28	11.09	11.22	10.7	10.72	8.811289	5511300
2011-01-31	10.74	10.93	10.62	10.69	8.786631	7295400
2011-02-01	10.79	10.9	10.61	10.85	8.918144	3732800
2011-02-02	10.78	11.06	10.76	10.94	8.992122	3181000
2011-02-03	10.96	11.72	10.96	11.72	9.633241	15754500
2011-02-04	11.66	11.97	11.61	11.75	9.657900999999999	7725100
2011-02-07	11.76	11.79	11.5	11.72	9.633241	5416500
2011-02-08	11.74	11.96	11.65	11.95	9.822289	6199700
2011-02-09	11.84	11.95	11.73	11.74	9.64968	7027500
2011-02-10	11.71	12.05	11.69	11.86	9.748311	5525900
2011-02-11	12.2	12.4	12.05	12.31	10.11819	6569100
2011-02-14	12.32	12.4	12.18	12.3	10.10997	4788400
2011-02-15	12.26	12.55	12.2	12.37	10.167508999999999	6837400
2011-02-16	12.4	12.46	12.29	12.46	10.241482000000001	3906000
2011-02-17	12.39	12.57	12.34	12.55	10.315457	3176700
2011-02-18	12.53	12.64	12.45	12.64	10.389433	3410800
2011-02-22	12.42	12.51	11.88	11.9	9.781189999999999	7401100
2011-02-23	11.88	12.01	11.4	11.52	9.46885	7689500
2011-02-24	11.52	11.75	11.36	11.62	9.551046000000001	7887800
2011-02-25	12.82	12.9	12.37	12.57	10.331895	14551500
2011-02-28	12.67	13.35	12.53	13.2	10.849723	14330000
2011-03-01	13.23	13.26	12.52	12.61	10.364775	15984700
2011-03-02	12.55	13.0	12.55	12.81	10.529162	6265400
2011-03-03	13.0	13.22	12.96	13.02	10.701775	5566700
2011-03-04	12.98	13.16	12.86	13.03	10.709992999999999	5703800
2011-03-07	13.09	13.16	12.75	12.84	10.55382	7919800
2011-03-08	12.9	13.26	12.8	13.08	10.751087	9300400
2011-03-09	12.98	13.25	12.82	13.07	10.792375999999999	9242200
2011-03-10	12.84	12.9	12.65	12.7	10.486856	9944500
2011-03-11	12.63	12.84	12.59	12.71	10.495113	6741000
2011-03-14	12.6	12.76	12.28	12.43	10.263906	7587000
2011-03-15	11.99	12.21	11.97	12.05	9.950125	10884300
2011-03-16	11.98	12.13	11.74	11.75	9.702407000000001	11806100
2011-03-17	12.04	12.11	11.95	12.02	9.925355	6983600
2011-03-18	12.17	12.22	11.89	11.92	9.842778	11892300
2011-03-21	12.15	12.22	12.09	12.18	10.057473	8544700
2011-03-22	12.2	12.24	11.88	11.96	9.875809	5720100
2011-03-23	11.93	11.95	11.75	11.89	9.818007000000001	12559800
2011-03-24	11.96	12.04	11.78	11.99	9.90058	12513600
2011-03-25	12.1	12.2	11.98	12.1	9.991414	19964100
2011-03-28	12.15	12.23	12.09	12.11	9.99967	11159700
2011-03-29	12.14	12.15	12.0	12.1	9.991414	7082200
2011-03-30	12.2	12.43	12.14	12.38	10.222622	20695500
2011-03-31	12.33	12.62	12.27	12.57	10.379508	10896200
2011-04-01	12.45	12.8	12.38	12.62	10.420798	9632700
2011-04-04	12.67	12.79	12.57	12.63	10.429053999999999	6116100
2011-04-05	12.63	12.76	12.52	12.56	10.371252	5213700
2011-04-06	12.67	12.71	12.34	12.41	10.24739	6541700
2011-04-07	12.41	12.48	12.23	12.33	10.181332000000001	5765600
2011-04-08	12.4	12.43	11.99	12.1	9.991414	6310300
2011-04-11	12.14	12.21	11.93	11.97	9.884068	6617300
2011-04-12	11.88	11.98	11.71	11.93	9.851038	7565000
2011-04-13	12.01	12.11	11.86	12.02	9.925355	5612600
2011-04-14	11.94	12.01	11.8	11.96	9.875809	5976200
2011-04-15	12.0	12.09	11.88	11.88	9.809747999999999	5630300
2011-04-18	11.68	11.79	11.51	11.74	9.694149000000001	5771800
2011-04-19	11.71	11.79	11.51	11.77	9.718921	8043900
2011-04-20	11.99	11.99	11.75	11.81	9.75195	8747300
2011-04-21	11.86	12.36	11.79	12.34	10.189591	9454400
2011-04-25	12.31	12.38	12.23	12.25	10.115273	4315300
2011-04-26	12.27	12.31	12.1	12.12	10.007924000000001	4000000
2011-04-27	12.17	12.54	11.95	12.42	10.255649	13995500
2011-04-28	12.35	12.39	11.66	11.73	9.685893	27840600
2011-04-29	11.75	11.82	11.52	11.75	9.702407000000001	13119600
2011-05-02	11.86	11.86	11.29	11.4	9.413396	19249100
2011-05-03	11.39	11.52	11.27	11.45	9.454685000000001	13705700
2011-05-04	11.44	11.5	11.14	11.27	9.306054	9039600
2011-05-05	11.2	11.41	11.13	11.22	9.264766999999999	6676700
2011-05-06	11.4	11.52	11.25	11.32	9.347336	8025100
2011-05-09	11.36	11.45	11.1	11.16	9.215218	7861900
2011-05-10	11.2	11.36	11.17	11.3	9.330824	10017500
2011-05-11	11.31	11.37	11.03	11.2	9.248251	7266600
2011-05-12	11.2	11.47	11.09	11.39	9.405141	7751300
2011-05-13	11.42	11.63	11.38	11.56	9.545513	9655400
2011-05-16	11.42	11.46	11.13	11.17	9.223477	8869400
2011-05-17	11.1	11.22	10.98	11.15	9.206963	7448000
2011-05-18	11.17	11.72	11.16	11.71	9.669377	11264200
2011-05-19	11.72	11.95	11.68	11.87	9.801495	7427800
2011-05-20	11.9	12.05	11.75	11.89	9.818007000000001	8487100
2011-05-23	11.68	11.84	11.66	11.75	9.702407000000001	7215700
2011-05-24	11.76	11.79	11.48	11.54	9.528999	5728700
2011-05-25	11.47	11.76	11.45	11.72	9.677632000000001	5451100
2011-05-26	11.65	11.91	11.58	11.79	9.735435	5746300
2011-05-27	11.87	12.0	11.82	11.86	9.793237	5451300
2011-05-31	11.96	12.0	11.83	11.93	9.851038	4928900
2011-06-01	11.85	11.9	11.5	11.51	9.50423	11188100
2011-06-02	11.49	11.67	11.45	11.5	9.49597	10561500
2011-06-03	11.3	11.44	11.14	11.4	9.413396	8605400
2011-06-06	11.38	11.48	11.22	11.25	9.289538	6419500
2011-06-07	11.29	11.42	11.25	11.4	9.413396	7899700
2011-06-08	11.31	11.36	11.14	11.18	9.280581	12891100
2011-06-09	11.21	12.0	11.18	11.9	9.878256	16413000
2011-06-10	11.86	11.86	11.47	11.5	9.546213	10117100
2011-06-13	11.5	11.76	11.45	11.53	9.571116	6252100
2011-06-14	11.7	11.8	11.59	11.76	9.762042	4130500
2011-06-15	11.64	11.78	11.49	11.62	9.645827	6625500
2011-06-16	11.55	11.57	11.27	11.42	9.479805	5610100
2011-06-17	11.56	11.59	11.28	11.36	9.429996000000001	6609000
2011-06-20	11.18	11.57	11.18	11.45	9.504709	4289300
2011-06-21	11.51	11.82	11.46	11.81	9.803547	6026600
2011-06-22	11.75	11.88	11.62	11.62	9.645827	4676400
2011-06-23	11.4	11.64	11.32	11.61	9.637526	7733400
2011-06-24	11.61	11.7	11.45	11.46	9.513008000000001	7302700
2011-06-27	11.61	11.72	11.44	11.66	9.679030000000001	3464400
2011-06-28	11.73	12.15	11.71	12.08	10.027675	7803300
2011-06-29	12.17	12.32	12.12	12.18	10.110688	5612000
2011-06-30	12.25	12.63	12.21	12.5	10.37632	7937000
2011-07-01	12.47	12.73	12.4	12.71	10.550641	5603100
2011-07-05	12.68	12.87	12.64	12.75	10.583848	7193300
2011-07-06	12.68	12.7	12.43	12.59	10.451027999999999	8395600
2011-07-07	12.77	12.91	12.67	12.84	10.658553	5598600
2011-07-08	12.64	12.76	12.56	12.72	10.558942	6201800
2011-07-11	12.44	12.57	12.32	12.36	10.260104	8604600
2011-07-12	12.23	12.38	12.09	12.33	10.235202000000001	8014400
