Date	Open	High	Low	Close	Adj Close	Volume
2011-01-03	12.95	12.95	12.52	12.53	12.53	1137600
2011-01-04	12.45	12.45	11.94	11.94	11.94	1508700
2011-01-05	11.94	12.31	11.83	12.24	12.24	695500
2011-01-06	12.3	12.33	11.99	12.16	12.16	515300
2011-01-07	12.22	12.26	11.92	12.12	12.12	418400
2011-01-10	12.06	12.11	11.78	11.92	11.92	558000
2011-01-11	11.96	12.22	11.83	12.21	12.21	773300
2011-01-12	12.37	12.38	12.24	12.33	12.33	628600
2011-01-13	12.35	12.35	12.18	12.29	12.29	524500
2011-01-14	12.28	12.31	12.11	12.18	12.18	553300
2011-01-18	12.12	12.35	12.05	12.34	12.34	541800
2011-01-19	11.7	11.75	11.3	11.43	11.43	5523400
2011-01-20	11.32	11.52	11.31	11.35	11.35	1638100
2011-01-21	11.42	11.54	10.96	11.12	11.12	1978100
2011-01-24	11.08	11.46	10.85	11.44	11.44	972300
2011-01-25	11.37	11.59	11.12	11.49	11.49	1060700
2011-01-26	11.55	11.74	11.33	11.47	11.47	1160700
2011-01-27	11.47	11.72	11.46	11.65	11.65	892500
2011-01-28	11.6	11.64	11.23	11.28	11.28	1156800
2011-01-31	11.3	11.31	11.06	11.21	11.21	3299500
2011-02-01	11.31	11.39	11.1	11.17	11.17	1731100
2011-02-02	11.08	11.22	11.04	11.16	11.16	1275100
2011-02-03	11.18	11.34	11.01	11.1	11.1	1040800
2011-02-04	11.08	11.13	10.97	11.1	11.1	1175500
2011-02-07	11.09	11.11	10.74	10.8	10.8	979900
2011-02-08	10.76	10.82	10.49	10.69	10.69	1602000
2011-02-09	10.63	10.85	10.38	10.82	10.82	3160900
2011-02-10	10.74	10.83	10.62	10.83	10.83	656100
2011-02-11	10.78	11.1	10.71	11.09	11.09	1512500
2011-02-14	11.05	11.25	10.97	11.23	11.23	1317300
2011-02-15	10.79	11.05	10.46	10.51	10.51	1722700
2011-02-16	10.57	10.57	10.31	10.47	10.47	1574400
2011-02-17	10.44	10.54	10.35	10.47	10.47	747900
2011-02-18	10.54	10.55	10.38	10.46	10.46	731600
2011-02-22	10.35	10.43	9.95	10.0	10.0	951600
2011-02-23	10.03	10.04	9.75	9.76	9.76	1069100
2011-02-24	9.75	9.86	9.59	9.64	9.64	1211700
2011-02-25	9.66	9.79	9.54	9.78	9.78	1061100
2011-02-28	9.83	9.83	9.51	9.59	9.59	1088000
2011-03-01	9.61	9.93	9.59	9.73	9.73	1619900
2011-03-02	9.73	9.84	9.03	9.12	9.12	1520300
2011-03-03	9.19	9.19	8.55	8.9	8.9	2240300
2011-03-04	8.78	8.92	8.68	8.89	8.89	1605300
2011-03-07	8.94	8.94	8.62	8.71	8.71	993000
2011-03-08	8.68	9.06	8.65	9.02	9.02	927200
2011-03-09	9.03	9.17	8.91	9.06	9.06	744400
2011-03-10	8.92	9.1	8.72	8.76	8.76	1130300
2011-03-11	8.7	8.99	8.69	8.93	8.93	770700
2011-03-14	8.84	9.08	8.82	8.99	8.99	1123100
2011-03-15	8.77	9.11	8.69	8.99	8.99	1525600
2011-03-16	9.01	9.11	8.68	8.72	8.72	1541200
2011-03-17	8.84	8.96	8.67	8.76	8.76	800100
2011-03-18	8.84	8.84	8.58	8.69	8.69	1675300
2011-03-21	8.77	8.92	8.51	8.58	8.58	954000
2011-03-22	8.59	8.73	8.5	8.6	8.6	382500
2011-03-23	8.57	8.66	8.33	8.66	8.66	553400
2011-03-24	8.7	8.76	8.58	8.7	8.7	559600
2011-03-25	8.7	8.79	8.65	8.76	8.76	698300
2011-03-28	8.82	8.86	8.68	8.74	8.74	638900
2011-03-29	8.73	9.04	8.69	9.01	9.01	811000
2011-03-30	9.08	9.65	9.05	9.58	9.58	1836800
2011-03-31	9.6	9.67	9.44	9.47	9.47	1265300
2011-04-01	9.52	9.79	9.47	9.68	9.68	1584500
2011-04-04	9.69	9.77	9.27	9.3	9.3	822800
2011-04-05	9.3	9.87	9.26	9.78	9.78	1683100
2011-04-06	10.12	10.24	9.96	10.01	10.01	1794600
2011-04-07	10.06	10.08	9.86	9.86	9.86	566300
2011-04-08	9.94	9.99	9.73	9.84	9.84	638900
2011-04-11	9.89	10.06	9.69	9.71	9.71	651700
2011-04-12	9.67	9.72	9.53	9.69	9.69	453700
2011-04-13	9.79	9.79	9.45	9.52	9.52	540100
2011-04-14	9.44	9.63	9.4	9.61	9.61	689800
2011-04-15	9.58	10.01	9.51	10.01	10.01	1276400
2011-04-18	9.92	10.0	9.73	9.79	9.79	1055800
2011-04-19	9.84	10.0	9.56	9.58	9.58	756100
2011-04-20	9.79	9.94	9.49	9.53	9.53	2243700
2011-04-21	9.83	10.04	9.47	9.81	9.81	1105300
2011-04-25	9.81	9.91	9.7	9.83	9.83	564000
2011-04-26	9.89	10.0	9.84	9.91	9.91	771100
2011-04-27	9.97	10.04	9.85	9.96	9.96	627400
2011-04-28	9.88	10.4	9.81	10.0	10.0	1400000
2011-04-29	10.03	10.4	9.98	10.38	10.38	1400000
2011-05-02	10.5	10.83	10.33	10.36	10.36	1175300
2011-05-03	10.35	10.36	9.89	10.08	10.08	989800
2011-05-04	10.14	10.22	10.04	10.05	10.05	922200
2011-05-05	10.03	10.15	9.9	10.07	10.07	901700
2011-05-06	10.21	10.25	9.98	10.07	10.07	505300
2011-05-09	10.03	10.26	9.97	10.17	10.17	412200
2011-05-10	10.23	10.42	10.15	10.42	10.42	497200
2011-05-11	10.5	10.5	10.2	10.28	10.28	634400
2011-05-12	10.21	10.44	10.05	10.44	10.44	580000
2011-05-13	10.49	10.62	10.21	10.3	10.3	566600
2011-05-16	10.2	10.39	9.95	9.95	9.95	526600
2011-05-17	10.0	10.06	9.82	9.88	9.88	905400
2011-05-18	9.94	9.99	9.83	9.87	9.87	578200
2011-05-19	9.98	10.02	9.42	9.59	9.59	736100
2011-05-20	9.53	9.65	9.4	9.58	9.58	675300
2011-05-23	9.4	9.45	9.14	9.21	9.21	946500
2011-05-24	9.22	9.28	8.92	9.0	9.0	956700
2011-05-25	8.99	9.2	8.87	9.09	9.09	498500
2011-05-26	9.03	9.51	9.03	9.44	9.44	772700
2011-05-27	9.46	9.49	9.29	9.36	9.36	427400
2011-05-31	9.44	9.71	9.32	9.68	9.68	1170300
2011-06-01	9.64	9.68	9.31	9.34	9.34	946100
2011-06-02	9.36	9.46	9.21	9.38	9.38	506500
2011-06-03	9.21	9.3	9.05	9.12	9.12	672500
2011-06-06	9.08	9.12	8.17	8.25	8.25	1985200
2011-06-07	8.71	8.97	8.24	8.24	8.24	1416400
2011-06-08	8.14	8.2	7.81	7.97	7.97	2064800
2011-06-09	7.96	8.23	7.96	8.1	8.1	714500
2011-06-10	8.09	8.09	7.81	7.84	7.84	900000
2011-06-13	7.84	7.9	7.53	7.55	7.55	1030700
2011-06-14	7.65	7.73	7.4	7.49	7.49	3242700
2011-06-15	7.4	7.86	7.38	7.69	7.69	2194100
2011-06-16	7.7	8.06	7.66	7.86	7.86	1018000
2011-06-17	7.92	7.95	7.63	7.65	7.65	1351500
2011-06-20	7.64	7.95	7.64	7.89	7.89	799100
2011-06-21	7.95	7.95	7.8	7.87	7.87	668800
2011-06-22	7.84	7.91	7.7	7.7	7.7	388800
2011-06-23	7.56	7.62	7.4	7.57	7.57	773300
2011-06-24	7.59	7.6	7.35	7.4	7.4	2075400
2011-06-27	7.37	7.49	7.27	7.35	7.35	876300
2011-06-28	7.4	7.4	7.21	7.24	7.24	1066200
2011-06-29	7.3	7.34	7.2	7.22	7.22	873900
2011-06-30	7.2	7.27	7.08	7.27	7.27	1415600
2011-07-01	7.28	7.45	7.25	7.4	7.4	1129700
2011-07-05	7.4	7.45	7.26	7.35	7.35	484400
2011-07-06	7.3	7.41	7.17	7.35	7.35	621700
2011-07-07	7.41	7.74	7.29	7.64	7.64	1350100
2011-07-08	7.55	7.6	7.43	7.52	7.52	594400
2011-07-11	7.41	7.46	7.24	7.36	7.36	868600
2011-07-12	7.31	7.42	7.29	7.35	7.35	497900
2011-07-13	7.39	7.52	7.31	7.43	7.43	1019300
2011-07-14	7.5	7.59	7.38	7.46	7.46	1107500
2011-07-15	7.46	7.7	7.36	7.65	7.65	2300400
2011-07-18	7.64	7.64	7.33	7.38	7.38	1067500
2011-07-19	7.43	7.5	7.33	7.38	7.38	684500
2011-07-20	7.39	7.5	7.26	7.42	7.42	544300
2011-07-21	7.44	7.57	7.35	7.45	7.45	480800
2011-07-22	7.45	7.5	7.32	7.36	7.36	475400
2011-07-25	7.26	7.3	7.11	7.12	7.12	630100
2011-07-26	7.15	7.22	6.81	6.81	6.81	1145500
2011-07-27	6.82	6.86	6.32	6.44	6.44	1801400
2011-07-28	6.48	6.55	6.27	6.35	6.35	1562400
2011-07-29	6.3	6.54	6.2	6.44	6.44	1156300
2011-08-01	6.54	6.73	6.13	6.26	6.26	1790000
2011-08-02	6.24	6.38	5.95	5.95	5.95	1490700
2011-08-03	5.99	6.19	5.59	5.86	5.86	3058500
2011-08-04	5.85	5.93	5.38	5.39	5.39	3163000
2011-08-05	5.25	5.49	4.92	5.35	5.35	3535400
2011-08-08	5.2	5.54	5.05	5.1	5.1	3613000
2011-08-09	5.25	5.76	5.16	5.73	5.73	3799800
2011-08-10	5.52	5.89	5.25	5.27	5.27	2497900
2011-08-11	5.32	5.59	5.11	5.48	5.48	2206800
2011-08-12	5.55	5.68	5.32	5.4	5.4	1122500
2011-08-15	5.47	5.65	5.4	5.65	5.65	684900
2011-08-16	5.56	5.58	5.28	5.33	5.33	765900
2011-08-17	5.35	5.46	5.17	5.29	5.29	694500
2011-08-18	5.1	5.13	4.82	4.97	4.97	1278000
2011-08-19	4.94	5.27	4.81	5.02	5.02	1102100
2011-08-22	5.15	5.28	4.98	5.01	5.01	815600
2011-08-23	5.02	5.33	4.95	5.24	5.24	1354500
2011-08-24	5.33	5.6	5.32	5.52	5.52	1520400
2011-08-25	5.56	5.65	5.28	5.28	5.28	1185500
2011-08-26	5.28	5.65	5.1	5.64	5.64	1370700
2011-08-29	5.67	5.91	5.61	5.9	5.9	1073000
2011-08-30	5.83	5.94	5.71	5.84	5.84	525200
2011-08-31	5.89	5.97	5.68	5.73	5.73	1041600
2011-09-01	5.71	5.85	5.5	5.55	5.55	715300
2011-09-02	5.4	5.53	5.27	5.31	5.31	670200
2011-09-06	5.16	5.42	5.07	5.34	5.34	693800
2011-09-07	5.43	5.57	5.34	5.52	5.52	655400
2011-09-08	5.48	5.55	5.21	5.26	5.26	918500
2011-09-09	5.21	5.39	5.01	5.06	5.06	817600
2011-09-12	4.99	5.23	4.94	5.06	5.06	652900
2011-09-13	5.08	5.21	5.03	5.14	5.14	717100
2011-09-14	5.18	5.28	5.03	5.17	5.17	715800
2011-09-15	5.23	5.33	5.08	5.31	5.31	607600
2011-09-16	5.38	5.38	5.17	5.21	5.21	1717000
2011-09-19	5.09	5.21	4.97	4.98	4.98	950800
2011-09-20	5.01	5.22	4.95	5.08	5.08	2273200
2011-09-21	5.21	5.52	5.06	5.07	5.07	1724500
2011-09-22	4.93	5.22	4.93	5.01	5.01	1314100
2011-09-23	5.01	5.13	4.94	5.12	5.12	1047600
2011-09-26	5.18	5.24	4.94	5.08	5.08	799300
2011-09-27	5.22	5.45	5.08	5.31	5.31	1020500
2011-09-28	5.33	5.33	5.02	5.02	5.02	1075200
2011-09-29	5.14	5.18	4.82	4.98	4.98	818200
2011-09-30	4.89	5.02	4.82	4.85	4.85	980000
2011-10-03	4.8	4.88	4.35	4.37	4.37	2828000
2011-10-04	4.32	4.72	4.31	4.71	4.71	1570700
2011-10-05	4.72	4.9	4.62	4.62	4.62	1480800
2011-10-06	4.61	4.8	4.53	4.79	4.79	1131000
2011-10-07	4.79	4.8	4.61	4.66	4.66	1193100
2011-10-10	4.76	4.86	4.68	4.84	4.84	631000
2011-10-11	4.77	4.92	4.73	4.9	4.9	790300
2011-10-12	4.94	5.22	4.89	5.18	5.18	1368200
2011-10-13	5.12	5.15	4.93	5.02	5.02	692200
2011-10-14	5.06	5.19	4.92	4.99	4.99	666300
2011-10-17	4.94	5.02	4.7	4.74	4.74	970800
2011-10-18	4.77	4.86	4.61	4.66	4.66	1496900
2011-10-19	4.68	4.77	4.51	4.63	4.63	1477800
2011-10-20	4.63	4.67	4.39	4.5	4.5	796100
2011-10-21	4.57	5.01	4.57	5.0	5.0	2810500
2011-10-24	5.03	5.23	5.0	5.19	5.19	1850800
2011-10-25	5.16	5.25	4.96	4.99	4.99	1568900
2011-10-26	5.09	5.26	4.98	5.04	5.04	1121200
2011-10-27	5.24	5.55	5.2	5.53	5.53	2282000
2011-10-28	5.51	5.7	5.51	5.62	5.62	814400
2011-10-31	5.54	5.64	5.42	5.42	5.42	1342800
2011-11-01	5.26	5.42	5.23	5.3	5.3	1424300
2011-11-02	5.4	5.5	4.79	4.96	4.96	2445400
2011-11-03	5.0	5.16	4.57	4.68	4.68	2322700
2011-11-04	4.62	4.81	4.58	4.74	4.74	1353300
2011-11-07	4.75	4.86	4.51	4.61	4.61	990200
2011-11-08	4.65	4.76	4.52	4.73	4.73	689600
2011-11-09	4.6	4.66	4.54	4.57	4.57	977200
2011-11-10	4.64	4.65	4.48	4.63	4.63	901400
2011-11-11	4.67	4.68	4.6	4.66	4.66	553600
2011-11-14	4.75	4.8	4.48	4.54	4.54	954700
2011-11-15	4.5	4.55	4.3	4.44	4.44	925800
2011-11-16	4.37	4.38	4.26	4.28	4.28	1204100
2011-11-17	4.29	4.44	4.26	4.31	4.31	754700
2011-11-18	4.31	4.43	4.18	4.32	4.32	763900
2011-11-21	4.23	4.3	4.11	4.22	4.22	1368000
2011-11-22	4.21	4.36	4.14	4.32	4.32	1611000
2011-11-23	4.29	4.31	4.07	4.25	4.25	1491000
2011-11-25	4.22	4.25	4.14	4.23	4.23	470400
2011-11-28	4.39	4.66	4.38	4.66	4.66	1931500
2011-11-29	4.68	4.83	4.55	4.83	4.83	2300800
2011-11-30	4.96	5.14	4.87	5.0	5.0	1805800
2011-12-01	4.97	5.04	4.83	4.92	4.92	767100
2011-12-02	4.99	5.01	4.82	4.92	4.92	756300
2011-12-05	5.0	5.19	4.9	5.19	5.19	1082700
2011-12-06	5.17	5.17	4.95	4.98	4.98	1179300
2011-12-07	4.97	5.13	4.92	5.1	5.1	1453300
2011-12-08	5.35	5.5	5.06	5.14	5.14	2951800
2011-12-09	5.17	5.33	5.03	5.29	5.29	1024700
2011-12-12	5.21	5.37	5.1	5.35	5.35	1011600
2011-12-13	5.45	5.49	5.25	5.3	5.3	1486100
2011-12-14	5.23	5.29	5.1	5.13	5.13	830800
2011-12-15	5.2	5.35	5.03	5.3	5.3	1149300
2011-12-16	5.33	5.4	5.16	5.22	5.22	2846100
2011-12-19	5.27	5.39	5.16	5.19	5.19	1200200
2011-12-20	5.26	5.39	5.2	5.39	5.39	1494400
2011-12-21	5.38	5.42	5.21	5.37	5.37	1275200
2011-12-22	5.4	5.5	5.31	5.38	5.38	1748500
2011-12-23	5.4	5.53	5.38	5.45	5.45	662700
2011-12-27	5.44	5.48	5.33	5.38	5.38	770400
2011-12-28	5.38	5.5	5.3	5.46	5.46	739300
2011-12-29	5.47	5.6	5.4	5.56	5.56	509500
2011-12-30	5.54	5.67	5.5	5.6	5.6	754900
