Date	Open	High	Low	Close	Adj Close	Volume
2011-01-03	7.16	7.23	7.01	7.07	6.216119	19962600
2011-01-04	7.12	7.14	6.93	7.03	6.180949	15605100
2011-01-05	6.97	7.21	6.97	7.21	6.33921	15210700
2011-01-06	7.21	7.4	7.08	7.14	6.277665	28247400
2011-01-07	7.17	7.22	6.91	7.02	6.1721580000000005	25453800
2011-01-10	7.02	7.09	6.89	7.05	6.1985339999999995	18965700
2011-01-11	7.12	7.25	7.08	7.22	6.348001999999999	16387800
2011-01-12	7.3	7.35	7.2	7.27	6.391964	20313000
2011-01-13	7.27	7.29	7.18	7.24	6.365586	15014400
2011-01-14	7.21	7.53	7.19	7.47	6.567808	26048800
2011-01-18	7.48	7.62	7.35	7.55	6.638146000000001	22865800
2011-01-19	7.48	7.53	7.12	7.13	6.268873	19513900
2011-01-20	7.05	7.26	6.98	7.23	6.356795	21217300
2011-01-21	7.41	7.45	7.27	7.4	6.506264	16576500
2011-01-24	7.41	7.43	7.22	7.3	6.418341000000001	15919100
2011-01-25	7.09	7.25	6.97	7.02	6.1721580000000005	46595600
2011-01-26	6.95	7.03	6.79	6.97	6.128196	30926300
2011-01-27	6.97	7.18	6.95	7.15	6.286455999999999	22602800
2011-01-28	7.17	7.21	6.84	6.88	6.049066000000001	27082300
2011-01-31	6.95	7.13	6.92	7.1	6.242495	17078900
2011-02-01	7.16	7.35	7.13	7.32	6.435926	25725200
2011-02-02	7.28	7.3	7.16	7.25	6.374378	12138700
2011-02-03	7.21	7.63	7.21	7.53	6.620563000000001	41935200
2011-02-04	7.52	8.03	7.5	7.84	6.893121000000001	43875600
2011-02-07	7.91	7.99	7.78	7.79	6.84916	17263800
2011-02-08	7.82	7.83	7.51	7.8	6.857953	22539500
2011-02-09	7.75	7.84	7.59	7.61	6.690900999999999	15236300
2011-02-10	7.53	7.77	7.52	7.73	6.796407	12961600
2011-02-11	7.68	8.09	7.67	8.02	7.051382	19037600
2011-02-14	8.0	8.05	7.82	7.91	6.954667999999999	12170100
2011-02-15	7.9	7.96	7.82	7.84	6.893121000000001	9540100
