Date	Open	High	Low	Close	Adj Close	Volume
2017-01-03	16.309998999999998	16.450001	16.209999	16.440001000000002	16.440001000000002	11147900
2017-01-04	16.5	16.940001000000002	16.5	16.860001	16.860001	15861300
2017-01-05	16.91	17.27	16.799999	17.09	17.09	17074400
2017-01-06	17.24	17.43	17.110001	17.17	17.17	14665100
2017-01-09	17.219998999999998	17.559998999999998	17.190001000000002	17.5	17.5	11851500
2017-01-10	17.51	17.780001000000002	17.32	17.370001000000002	17.370001000000002	10472800
2017-01-11	17.459999	17.6	17.17	17.299999	17.299999	10981500
2017-01-12	17.129998999999998	17.389999	16.959999	17.379998999999998	17.379998999999998	12375600
2017-01-13	17.379998999999998	17.66	17.23	17.25	17.25	11401400
2017-01-17	17.07	17.09	16.860001	16.959999	16.959999	13112700
2017-01-18	17.01	17.139999	16.83	17.110001	17.110001	12715300
2017-01-19	17.09	17.15	16.75	16.790001	16.790001	12735500
2017-01-20	16.82	16.9	16.459999	16.58	16.58	14844700
2017-01-23	16.57	16.809998999999998	16.459999	16.610001	16.610001	11791500
2017-01-24	16.610001	16.66	16.33	16.52	16.52	12737200
2017-01-25	16.700001	16.790001	16.59	16.73	16.73	10969300
2017-01-26	16.860001	17.07	16.790001	16.809998999999998	16.809998999999998	10092900
2017-01-27	16.91	16.969998999999998	16.530001000000002	16.57	16.57	11860600
2017-01-30	16.57	17.1	16.41	16.940001000000002	16.940001000000002	18287900
2017-01-31	16.950001	17.74	16.91	17.620001000000002	17.620001000000002	25869200
2017-02-01	17.84	17.92	17.1	17.24	17.24	21208100
2017-02-02	17.33	17.860001	17.120001000000002	17.780001000000002	17.780001000000002	19415600
2017-02-03	17.719998999999998	17.85	17.440001000000002	17.610001	17.610001	14431300
2017-02-06	17.700001	17.969998999999998	17.41	17.93	17.93	13226700
2017-02-07	18.0	18.67	17.99	18.26	18.26	26834800
2017-02-08	18.77	18.77	18.049999	18.719998999999998	18.719998999999998	37419100
2017-02-09	18.719998999999998	18.719998999999998	16.26	16.41	16.41	109299300
2017-02-10	15.96	16.0	15.5	15.58	15.58	73061200
2017-02-13	15.63	15.99	15.51	15.81	15.81	29143700
2017-02-14	15.92	16.6	15.85	16.52	16.52	34709300
2017-02-15	16.85	16.889999	16.299999	16.74	16.74	35204800
2017-02-16	16.690001000000002	16.790001	16.32	16.35	16.35	21636200
2017-02-17	16.360001	16.629998999999998	16.360001	16.620001000000002	16.620001000000002	14378200
2017-02-21	16.639999	16.690001000000002	16.299999	16.42	16.42	16026800
2017-02-22	16.4	16.51	16.01	16.08	16.08	13606200
2017-02-23	16.120001000000002	16.27	15.9	16.030001000000002	16.030001000000002	15304500
2017-02-24	15.95	15.99	15.85	15.98	15.98	9139800
2017-02-27	15.93	16.129998999999998	15.72	16.059998999999998	16.059998999999998	13645500
2017-02-28	16.0	16.040001	15.74	15.77	15.77	10874200
2017-03-01	15.87	15.9	15.59	15.79	15.79	18165300
2017-03-02	15.77	16.0	15.72	15.79	15.79	12401100
2017-03-03	15.84	16.1	15.68	15.75	15.75	15194500
2017-03-06	15.75	15.78	15.5	15.56	15.56	11464000
2017-03-07	15.52	15.73	15.16	15.18	15.18	16718600
2017-03-08	15.19	15.36	15.08	15.24	15.24	12657100
2017-03-09	15.24	15.39	15.03	15.22	15.22	10963500
2017-03-10	15.23	15.27	14.94	15.12	15.12	13703000
2017-03-13	15.1	15.27	15.1	15.21	15.21	8727500
2017-03-14	15.2	15.58	15.15	15.32	15.32	15046500
2017-03-15	15.25	15.3	14.85	15.03	15.03	19381800
2017-03-16	15.08	15.28	15.04	15.19	15.19	11665900
2017-03-17	15.2	15.23	15.03	15.08	15.08	10989800
2017-03-20	15.11	15.11	14.82	15.09	15.09	12501900
2017-03-21	15.08	15.1	14.5	14.54	14.54	19099000
2017-03-22	14.5	14.99	14.32	14.98	14.98	21050300
2017-03-23	14.99	15.05	14.73	14.93	14.93	11631900
2017-03-24	15.06	15.37	15.03	15.14	15.14	15549200
2017-03-27	15.02	15.06	14.75	14.99	14.99	10461300
2017-03-28	15.0	15.17	14.8	14.94	14.94	14839700
2017-03-29	14.86	15.06	14.7	15.04	15.04	11080000
2017-03-30	15.05	15.08	14.9	14.92	14.92	8446400
2017-03-31	14.93	15.06	14.91	14.95	14.95	8402600
2017-04-03	14.97	14.98	14.65	14.84	14.84	11604900
2017-04-04	14.75	14.76	14.58	14.69	14.69	8936100
2017-04-05	14.61	14.82	14.41	14.53	14.53	13823700
2017-04-06	14.53	14.62	14.3	14.39	14.39	18106700
2017-04-07	14.36	14.43	14.25	14.29	14.29	8267400
2017-04-10	14.3	14.46	14.2	14.36	14.36	10005900
2017-04-11	14.3	14.4	14.2	14.31	14.31	7608800
2017-04-12	14.34	14.78	14.26	14.42	14.42	12916400
2017-04-13	14.49	14.5	14.22	14.3	14.3	10554100
2017-04-17	14.3	14.55	14.12	14.4	14.4	10402700
2017-04-18	14.37	14.56	14.27	14.44	14.44	9701900
2017-04-19	14.44	14.79	14.44	14.54	14.54	14268100
2017-04-20	14.58	14.75	14.51	14.65	14.65	9557300
