Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	6.67	6.67	6.23	6.59	6.59	41200
2016-01-05	6.72	6.72	6.25	6.35	6.35	35700
2016-01-06	6.04	6.52	6.04	6.4	6.4	16800
2016-01-07	6.01	6.33	6.01	6.13	6.13	18000
2016-01-08	6.2	6.35	5.86	6.04	6.04	28100
2016-01-11	6.41	6.51	5.96	6.11	6.11	21900
2016-01-12	6.19	6.38	5.71	6.1	6.1	19300
2016-01-13	6.11	6.18	5.82	6.01	6.01	24200
2016-01-14	6.1	6.92	6.1	6.81	6.81	181000
2016-01-15	6.48	6.82	6.1	6.13	6.13	23800
2016-01-19	6.42	6.42	5.47	5.9	5.9	49400
2016-01-20	6.03	6.03	5.45	5.71	5.71	30800
2016-01-21	5.66	5.8	5.51	5.64	5.64	33400
2016-01-22	5.68	6.17	5.34	5.58	5.58	31200
2016-01-25	5.57	5.76	5.55	5.6	5.6	16900
2016-01-26	5.67	5.67	5.31	5.59	5.59	24500
2016-01-27	5.9	6.03	5.41	5.8	5.8	31200
2016-01-28	5.81	5.81	5.46	5.68	5.68	42300
2016-01-29	5.58	6.07	5.54	5.94	5.94	31400
2016-02-01	5.55	6.05	5.55	5.91	5.91	28700
2016-02-02	5.91	5.92	5.58	5.92	5.92	14200
2016-02-03	5.9	5.94	5.75	5.94	5.94	10100
2016-02-04	5.87	5.94	5.39	5.79	5.79	41600
2016-02-05	5.73	6.05	5.54	5.69	5.69	17800
2016-02-08	5.7	5.7	5.05	5.39	5.39	23300
2016-02-09	5.31	5.69	5.15	5.42	5.42	121300
2016-02-10	5.42	5.6	5.42	5.57	5.57	600
2016-02-11	5.41	5.6	5.31	5.58	5.58	20800
2016-02-12	5.46	5.87	5.45	5.7	5.7	13500
2016-02-16	5.71	5.75	5.57	5.62	5.62	10500
2016-02-17	5.62	5.75	5.62	5.73	5.73	4800
2016-02-18	5.7	5.78	5.63	5.75	5.75	22500
2016-02-19	5.69	5.8	5.69	5.73	5.73	6600
2016-02-22	5.8	5.84	5.59	5.82	5.82	15300
2016-02-23	5.8	5.85	5.6	5.8	5.8	7100
2016-02-24	5.57	5.96	5.56	5.81	5.81	13100
2016-02-25	5.78	5.83	5.7	5.78	5.78	6900
2016-02-26	5.7	5.9	5.7	5.8	5.8	26200
2016-02-29	5.95	5.95	5.8	5.82	5.82	14800
2016-03-01	5.78	5.92	5.78	5.91	5.91	44300
2016-03-02	5.6	5.99	5.6	5.91	5.91	51800
2016-03-03	5.89	6.13	5.85	5.95	5.95	14900
2016-03-04	6.25	6.3	6.05	6.22	6.22	45700
2016-03-07	6.26	6.33	6.17	6.22	6.22	28400
2016-03-08	6.17	6.2	6.01	6.16	6.16	24900
2016-03-09	6.22	6.22	6.1	6.2	6.2	15100
2016-03-10	5.96	6.25	5.96	6.25	6.25	11700
2016-03-11	6.35	6.35	6.16	6.25	6.25	9100
2016-03-14	6.02	6.3	6.02	6.29	6.29	17000
2016-03-15	6.19	6.3	6.13	6.23	6.23	27200
2016-03-16	6.15	6.21	5.81	6.0	6.0	14500
2016-03-17	6.0	6.33	5.88	6.29	6.29	22600
2016-03-18	6.22	6.29	5.92	6.25	6.25	23500
2016-03-21	6.1	6.28	6.1	6.24	6.24	4700
2016-03-22	6.18	6.25	6.1	6.24	6.24	9000
2016-03-23	6.23	6.28	6.05	6.2	6.2	4400
2016-03-24	6.1	6.26	6.05	6.11	6.11	6900
2016-03-28	6.1	6.19	6.1	6.17	6.17	2400
2016-03-29	6.02	6.16	6.02	6.13	6.13	23500
2016-03-30	6.15	6.3	6.12	6.3	6.3	58700
2016-03-31	6.3	6.3	6.11	6.11	6.11	14600
2016-04-01	6.13	6.25	6.07	6.11	6.11	35700
2016-04-04	6.16	6.19	6.04	6.06	6.06	16400
2016-04-05	6.2	6.2	6.0	6.03	6.03	8200
2016-04-06	6.0	6.12	5.8	5.82	5.82	15400
2016-04-07	5.91	5.94	5.79	5.79	5.79	3900
2016-04-08	5.8	5.84	5.62	5.65	5.65	20500
2016-04-11	5.76	5.96	5.65	5.67	5.67	5700
2016-04-12	5.72	5.96	5.71	5.81	5.81	8800
2016-04-13	5.84	5.88	5.74	5.83	5.83	17500
2016-04-14	5.78	5.96	5.78	5.8	5.8	9400
2016-04-15	5.98	6.23	5.96	6.1	6.1	36600
2016-04-18	6.06	6.29	6.05	6.22	6.22	14200
2016-04-19	6.28	6.29	6.22	6.25	6.25	7400
2016-04-20	6.29	6.29	6.04	6.23	6.23	9700
2016-04-21	5.98	6.23	5.98	6.2	6.2	7900
2016-04-22	5.96	6.2	5.9	6.19	6.19	4400
2016-04-25	6.13	6.21	6.01	6.06	6.06	9400
2016-04-26	5.92	6.12	5.8	6.1	6.1	17400
2016-04-27	6.03	6.2	5.97	6.18	6.18	25300
2016-04-28	6.01	6.19	5.97	6.19	6.19	31800
2016-04-29	6.2	6.3	6.03	6.18	6.18	18100
2016-05-02	6.2	6.32	6.05	6.29	6.29	10200
2016-05-03	6.22	6.32	6.22	6.27	6.27	10400
2016-05-04	6.18	6.3	6.13	6.24	6.24	8400
2016-05-05	6.22	6.3	6.15	6.28	6.28	6100
2016-05-06	6.2	6.32	6.2	6.3	6.3	15200
2016-05-09	6.26	6.33	6.25	6.3	6.3	28900
2016-05-10	6.75	6.89	6.14	6.2	6.2	280900
2016-05-11	6.33	6.38	6.27	6.31	6.31	108700
2016-05-12	6.38	6.38	6.26	6.3	6.3	68100
2016-05-13	6.35	6.36	6.25	6.3	6.3	45200
2016-05-16	6.37	6.37	6.23	6.3	6.3	246100
2016-05-17	6.25	6.3	6.25	6.27	6.27	28500
2016-05-18	6.3	6.3	6.11	6.29	6.29	138400
2016-05-19	6.29	6.43	6.21	6.36	6.36	187900
2016-05-20	6.4	6.7	6.4	6.64	6.64	160200
2016-05-23	6.69	7.15	6.69	7.12	7.12	199600
2016-05-24	7.15	7.35	6.81	6.81	6.81	112300
2016-05-25	6.94	7.16	6.72	6.77	6.77	68300
2016-05-26	6.72	6.86	6.36	6.79	6.79	91100
2016-05-27	6.77	7.25	6.74	6.84	6.84	124000
2016-05-31	7.15	7.57	6.8	7.25	7.25	247800
2016-06-01	7.31	7.61	7.08	7.27	7.27	93400
2016-06-02	7.3	7.48	7.21	7.45	7.45	101500
2016-06-03	7.43	7.5	7.4	7.47	7.47	34100
2016-06-06	7.67	7.94	7.53	7.79	7.79	216200
2016-06-07	7.86	8.54	7.51	7.78	7.78	237200
2016-06-08	7.86	8.07	6.97	7.02	7.02	295500
2016-06-09	6.6	6.85	4.95	5.17	5.17	1434300
2016-06-10	5.1	5.2	4.44	4.55	4.55	468500
