Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	12.39	12.39	11.94	12.26	12.26	120300
2016-01-05	12.26	12.29	11.67	11.79	11.79	213400
2016-01-06	11.65	11.76	11.22	11.36	11.36	94100
2016-01-07	11.12	11.32	10.95	10.99	10.99	307100
2016-01-08	11.03	11.08	10.42	10.47	10.47	164400
2016-01-11	10.55	10.73	9.65	9.76	9.76	339100
2016-01-12	9.76	9.98	8.73	9.31	9.31	407000
2016-01-13	9.31	9.47	8.84	8.96	8.96	269700
2016-01-14	8.97	9.22	8.78	9.16	9.16	332600
2016-01-15	8.88	8.96	8.46	8.7	8.7	342300
2016-01-19	8.86	8.86	7.97	8.07	8.07	140800
2016-01-20	7.95	8.46	7.56	8.42	8.42	254500
2016-01-21	8.4	8.83	8.19	8.48	8.48	122000
2016-01-22	8.64	9.43	8.61	9.16	9.16	248600
2016-01-25	9.08	9.08	8.48	8.49	8.49	209500
2016-01-26	8.56	9.23	8.51	9.05	9.05	241900
2016-01-27	8.94	9.0	8.51	8.63	8.63	179500
2016-01-28	8.89	8.89	8.51	8.58	8.58	104400
2016-01-29	8.59	9.17	8.59	9.12	9.12	178100
2016-02-01	9.0	9.1	8.77	8.98	8.98	127300
2016-02-02	8.85	8.89	8.67	8.84	8.84	71000
2016-02-03	8.93	9.08	8.62	8.86	8.86	110700
2016-02-04	8.8	9.65	8.8	9.6	9.6	211800
2016-02-05	9.54	9.56	8.83	8.88	8.88	112900
2016-02-08	8.75	8.83	8.32	8.42	8.42	185200
2016-02-09	8.3	8.55	8.18	8.37	8.37	178500
2016-02-10	8.4	8.55	8.2	8.38	8.38	95800
2016-02-11	8.2	8.64	8.02	8.57	8.57	160900
2016-02-12	8.52	8.6	7.9	8.15	8.15	248400
2016-02-16	8.19	8.55	7.96	8.54	8.54	116100
2016-02-17	8.58	9.0	8.58	8.72	8.72	146500
2016-02-18	8.78	9.03	8.59	8.95	8.95	170100
2016-02-19	8.91	8.91	8.63	8.74	8.74	153700
2016-02-22	8.85	8.99	8.69	8.87	8.87	106000
2016-02-23	8.78	8.94	8.37	8.38	8.38	136200
2016-02-24	8.31	8.59	8.1	8.56	8.56	120100
2016-02-25	8.53	8.67	8.45	8.5	8.5	243500
2016-02-26	8.58	9.01	8.54	8.85	8.85	165800
2016-02-29	9.0	9.67	8.89	9.45	9.45	346300
2016-03-01	9.52	9.86	9.38	9.58	9.58	89200
2016-03-02	9.6	10.18	9.52	10.02	10.02	164400
2016-03-03	10.02	10.63	9.97	10.59	10.59	113400
2016-03-04	10.59	11.12	10.29	10.44	10.44	239100
2016-03-07	10.42	10.93	10.21	10.9	10.9	100300
2016-03-08	10.82	10.9	10.3	10.52	10.52	219200
2016-03-09	10.61	10.83	9.78	10.02	10.02	374700
2016-03-10	10.19	10.33	9.83	9.88	9.88	128800
2016-03-11	9.97	10.24	9.93	10.19	10.19	306400
2016-03-14	10.18	11.32	10.17	11.25	11.25	221100
2016-03-15	10.99	11.07	10.75	11.02	11.02	149200
2016-03-16	10.7	12.1	10.7	11.83	11.83	430800
2016-03-17	11.76	12.45	11.76	12.01	12.01	371600
2016-03-18	12.12	12.47	11.93	12.41	12.41	479900
2016-03-21	12.28	12.31	11.62	11.96	11.96	131200
2016-03-22	11.72	12.14	11.72	12.1	12.1	138900
2016-03-23	11.9	12.09	11.34	11.45	11.45	267000
2016-03-24	11.41	11.49	10.93	11.47	11.47	172900
2016-03-28	11.52	11.52	10.7	11.0	11.0	324600
2016-03-29	11.02	11.17	10.7	11.16	11.16	201800
2016-03-30	11.21	11.36	10.7	10.9	10.9	241700
2016-03-31	10.9	11.05	10.78	10.85	10.85	244000
2016-04-01	10.74	11.03	10.67	10.84	10.84	102400
2016-04-04	10.91	11.14	10.71	11.0	11.0	142800
2016-04-05	10.87	11.14	10.78	10.86	10.86	178500
2016-04-06	10.82	11.42	10.74	11.19	11.19	189100
2016-04-07	11.05	11.08	10.0	10.37	10.37	245400
2016-04-08	10.45	10.65	10.3	10.48	10.48	73200
2016-04-11	10.59	10.91	10.51	10.75	10.75	120000
2016-04-12	11.18	11.28	10.93	11.11	11.11	249000
2016-04-13	11.23	11.49	11.17	11.35	11.35	106800
2016-04-14	11.32	11.4	11.0	11.18	11.18	210500
2016-04-15	11.18	11.6	11.14	11.37	11.37	234300
2016-04-18	11.35	11.65	11.35	11.51	11.51	97100
2016-04-19	11.55	11.69	11.3	11.57	11.57	227200
2016-04-20	11.63	11.75	11.51	11.67	11.67	133900
2016-04-21	11.69	11.91	11.61	11.9	11.9	203100
2016-04-22	11.81	12.26	11.81	12.06	12.06	128900
2016-04-25	11.9	11.95	11.57	11.63	11.63	136700
2016-04-26	11.63	12.28	11.63	12.1	12.1	168200
2016-04-27	12.0	12.46	12.0	12.33	12.33	201600
2016-04-28	12.32	12.4	12.11	12.32	12.32	160900
2016-04-29	12.37	12.39	11.69	11.82	11.82	95600
2016-05-02	11.95	12.2	11.48	12.11	12.11	160700
2016-05-03	11.9	12.01	11.62	11.75	11.75	163000
2016-05-04	11.57	11.99	11.48	11.51	11.51	101500
2016-05-05	11.59	12.03	11.53	12.01	12.01	230600
2016-05-06	12.32	12.4	11.87	11.99	11.99	166100
2016-05-09	12.03	12.03	11.47	11.72	11.72	159500
2016-05-10	11.68	12.21	11.61	12.12	12.12	136500
2016-05-11	12.0	12.11	11.64	11.8	11.8	108600
2016-05-12	11.89	11.99	11.53	11.79	11.79	176700
2016-05-13	11.69	11.89	11.48	11.66	11.66	111400
2016-05-16	11.67	11.92	11.65	11.7	11.7	69300
2016-05-17	11.71	12.27	11.64	11.88	11.88	229900
2016-05-18	11.79	12.05	11.73	12.04	12.04	177500
2016-05-19	11.99	12.03	11.45	11.48	11.48	121000
2016-05-20	11.56	11.77	11.51	11.75	11.75	109300
2016-05-23	11.72	12.24	11.72	12.06	12.06	140900
2016-05-24	12.06	12.3	11.93	12.24	12.24	181000
2016-05-25	12.25	12.7	12.22	12.55	12.55	123200
2016-05-26	12.6	12.6	12.17	12.48	12.48	62300
2016-05-27	12.46	12.78	12.46	12.74	12.74	74400
2016-05-31	12.76	13.12	12.55	13.11	13.11	196700
2016-06-01	12.94	13.54	12.94	13.45	13.45	110400
2016-06-02	13.34	13.94	13.34	13.9	13.9	182500
2016-06-03	13.89	14.0	13.65	13.85	13.85	119700
2016-06-06	13.65	14.22	13.51	14.18	14.18	160600
2016-06-07	14.24	14.66	14.24	14.59	14.59	205100
2016-06-08	14.69	14.92	14.52	14.83	14.83	192400
2016-06-09	14.89	15.32	14.63	15.3	15.3	251100
2016-06-10	15.23	15.53	14.84	15.34	15.34	332600
2016-06-13	15.31	15.31	14.53	14.98	14.98	324700
2016-06-14	14.97	15.12	14.19	14.68	14.68	354900
2016-06-15	14.7	15.45	14.68	14.98	14.98	306400
2016-06-16	14.95	15.69	14.7	15.62	15.62	202300
2016-06-17	15.64	16.0	15.52	15.96	15.96	279500
2016-06-20	16.200001	16.200001	15.93	15.95	15.95	167000
2016-06-21	15.92	16.290001	15.79	16.280001000000002	16.280001000000002	139000
2016-06-22	16.200001	16.379998999999998	15.89	16.0	16.0	118400
2016-06-23	16.18	16.799999	16.120001000000002	16.74	16.74	228400
2016-06-24	16.01	16.290001	15.81	16.18	16.18	288600
2016-06-27	15.98	16.01	15.11	15.29	15.29	252100
2016-06-28	15.37	15.66	15.24	15.48	15.48	142900
2016-06-29	15.69	16.030001000000002	15.55	16.0	16.0	237200
2016-06-30	16.09	16.15	15.95	16.08	16.08	226500
2016-07-01	16.24	16.690001000000002	16.219998999999998	16.24	16.24	135700
2016-07-05	16.16	16.16	15.73	15.81	15.81	99100
2016-07-06	15.69	16.040001	15.65	15.88	15.88	66800
2016-07-07	15.87	16.34	15.79	15.91	15.91	71000
2016-07-08	16.059998999999998	16.620001000000002	15.97	16.559998999999998	16.559998999999998	99300
2016-07-11	16.43	16.709999	16.290001	16.309998999999998	16.309998999999998	111900
2016-07-12	16.48	17.049999	16.48	16.93	16.93	187700
2016-07-13	17.09	17.09	16.639999	16.92	16.92	60800
2016-07-14	17.08	17.18	16.91	16.940001000000002	16.940001000000002	91200
2016-07-15	16.969998999999998	17.200001	16.9	17.110001	17.110001	93500
2016-07-18	17.02	17.290001	16.969998999999998	17.219998999999998	17.219998999999998	78700
2016-07-19	17.219998999999998	17.24	16.799999	16.809998999999998	16.809998999999998	51000
2016-07-20	16.809998999999998	17.02	16.65	16.870001000000002	16.870001000000002	43900
2016-07-21	16.76	17.059998999999998	16.68	16.690001000000002	16.690001000000002	58900
2016-07-22	16.719998999999998	17.049999	16.610001	16.969998999999998	16.969998999999998	90700
2016-07-25	16.879998999999998	17.040001	16.700001	16.83	16.83	65200
2016-07-26	16.85	17.030001000000002	16.549999	16.860001	16.860001	76900
2016-07-27	16.98	17.15	16.84	16.959999	16.959999	95500
2016-07-28	17.059998999999998	17.059998999999998	16.610001	16.889999	16.889999	121500
2016-07-29	17.110001	17.120001000000002	16.77	16.940001000000002	16.940001000000002	96100
2016-08-01	17.040001	17.08	16.83	16.969998999999998	16.969998999999998	90200
2016-08-02	16.870001000000002	17.0	16.6	16.610001	16.610001	104200
2016-08-03	16.629998999999998	16.75	16.49	16.709999	16.709999	50100
2016-08-04	16.66	16.84	16.540001	16.6	16.6	32600
2016-08-05	16.77	16.93	16.68	16.75	16.75	104200
2016-08-08	16.66	16.93	16.6	16.780001000000002	16.780001000000002	91300
2016-08-09	16.889999	17.1	16.73	16.799999	16.799999	156900
2016-08-10	16.790001	16.790001	15.69	16.18	16.18	97000
2016-08-11	16.280001000000002	16.52	16.209999	16.33	16.33	69700
2016-08-12	16.18	16.6	15.79	15.85	15.85	138200
2016-08-15	15.52	16.190001000000002	15.52	15.99	15.99	166700
2016-08-16	15.94	16.15	15.91	15.93	15.93	130000
2016-08-17	15.96	15.96	15.53	15.56	15.56	66100
2016-08-18	15.53	16.01	15.53	15.98	15.98	100200
2016-08-19	15.92	16.049999	15.66	15.66	15.66	50800
2016-08-22	15.56	16.049999	15.45	16.049999	16.049999	458200
2016-08-23	16.15	16.370001000000002	15.96	16.1	16.1	162800
2016-08-24	16.0	16.16	15.82	15.84	15.84	84000
2016-08-25	15.81	15.88	15.54	15.65	15.65	116400
2016-08-26	15.7	15.85	15.5	15.57	15.57	60300
2016-08-29	15.55	15.89	15.46	15.69	15.69	213300
2016-08-30	15.66	15.8	15.56	15.66	15.66	84800
2016-08-31	15.63	15.74	15.48	15.49	15.49	55400
2016-09-01	15.46	15.59	15.2	15.41	15.41	94200
2016-09-02	15.5	15.61	15.37	15.58	15.58	102500
2016-09-06	15.67	15.68	15.34	15.4	15.4	268200
2016-09-07	15.51	15.53	15.37	15.41	15.41	97000
2016-09-08	15.35	15.37	14.9	15.19	15.19	157100
2016-09-09	15.07	15.07	14.28	14.49	14.49	119800
2016-09-12	14.35	14.77	14.21	14.73	14.73	79500
