Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	6.99	7.15	6.95	7.12	7.12	442200
2016-01-05	7.1	7.1	6.81	6.9	6.9	511600
2016-01-06	6.82	6.89	6.64	6.64	6.64	769500
2016-01-07	6.52	6.63	6.24	6.25	6.25	855600
2016-01-08	6.25	6.46	6.01	6.02	6.02	944400
2016-01-11	6.05	6.07	5.79	5.89	5.89	702300
2016-01-12	5.97	6.06	5.8	5.91	5.91	1789700
2016-01-13	5.9	6.04	5.68	5.7	5.7	811700
2016-01-14	5.77	6.11	5.63	6.0	6.0	1019800
2016-01-15	5.82	5.88	5.67	5.79	5.79	942800
2016-01-19	5.88	5.88	5.53	5.58	5.58	1002000
2016-01-20	5.52	5.67	5.34	5.62	5.62	1144100
2016-01-21	5.66	5.91	5.56	5.74	5.74	434700
2016-01-22	5.8	6.11	5.73	5.95	5.95	353900
2016-01-25	5.9	6.12	5.73	5.94	5.94	434700
2016-01-26	5.97	6.12	5.92	6.02	6.02	392300
2016-01-27	6.0	6.17	5.98	6.06	6.06	552200
2016-01-28	6.13	6.14	5.85	5.9	5.9	377500
2016-01-29	5.92	6.13	5.91	6.0	6.0	461700
2016-02-01	5.96	6.02	5.79	5.99	5.99	402500
2016-02-02	5.93	5.94	5.58	5.6	5.6	504500
2016-02-03	5.67	5.83	5.57	5.76	5.76	391400
2016-02-04	5.75	5.96	5.75	5.88	5.88	327700
2016-02-05	5.84	5.89	5.64	5.64	5.64	539800
2016-02-08	5.56	5.75	5.19	5.35	5.35	602300
2016-02-09	5.29	5.43	5.17	5.26	5.26	498000
2016-02-10	5.31	5.48	5.23	5.28	5.28	261700
2016-02-11	5.15	5.36	5.15	5.29	5.29	327700
2016-02-12	5.3	5.45	5.16	5.33	5.33	549500
2016-02-16	5.9	6.98	5.86	6.93	6.93	3351300
2016-02-17	6.63	7.22	6.6	7.15	7.15	1508700
2016-02-18	7.21	7.37	7.0	7.05	7.05	965400
2016-02-19	7.02	7.37	7.0	7.3	7.3	967500
2016-02-22	7.37	7.5	7.25	7.48	7.48	757900
2016-02-23	7.44	7.57	7.2	7.25	7.25	689100
2016-02-24	7.2	7.51	7.06	7.35	7.35	879700
2016-02-25	7.37	7.42	7.27	7.42	7.42	371100
2016-02-26	7.49	7.58	7.46	7.51	7.51	587200
2016-02-29	7.54	7.84	7.4	7.79	7.79	957200
2016-03-01	7.8	7.85	7.5	7.63	7.63	729000
2016-03-02	7.59	7.72	7.57	7.61	7.61	481100
2016-03-03	7.61	7.76	7.59	7.74	7.74	603100
