Date	Open	High	Low	Close	Adj Close	Volume
2016-01-04	6.55	6.6	6.47	6.59	6.206713	1083400
2016-01-05	6.49	6.52	6.4	6.49	6.112527	780900
2016-01-06	6.33	6.37	6.28	6.31	5.942997	929800
2016-01-07	6.23	6.32	6.2	6.24	5.8770690000000005	1126100
2016-01-08	6.2	6.24	6.01	6.01	5.660446	850300
2016-01-11	6.28	6.31	6.14	6.22	5.858231	2680200
2016-01-12	6.26	6.3	6.12	6.21	5.848814	785800
2016-01-13	6.2	6.22	5.95	5.95	5.603935	730200
2016-01-14	6.05	6.1	5.94	6.07	5.716957	1100800
2016-01-15	5.69	5.81	5.65	5.7	5.368476	1043800
2016-01-19	5.94	6.05	5.91	5.97	5.622772	930300
2016-01-20	6.0	6.11	5.86	6.05	5.698119999999999	1285300
2016-01-21	5.96	6.14	5.91	6.11	5.754631	813000
2016-01-22	6.27	6.33	6.24	6.31	5.942997	635800
2016-01-25	6.28	6.34	6.24	6.28	5.9147419999999995	391500
2016-01-26	6.42	6.51	6.35	6.47	6.093691000000001	822200
2016-01-27	6.77	6.86	6.7	6.75	6.357407	1592600
2016-01-28	6.84	6.86	6.59	6.63	6.244385	1978100
2016-01-29	6.4	6.55	6.4	6.52	6.140783	1875200
2016-02-01	6.43	6.43	6.3	6.36	5.99009	1600700
2016-02-02	6.07	6.07	5.9	5.91	5.566262	2314000
2016-02-03	5.89	5.96	5.71	5.95	5.603935	1823500
2016-02-04	5.86	6.03	5.86	6.01	5.660446	1224400
2016-02-05	5.83	5.85	5.7	5.72	5.387313	1074300
2016-02-08	5.41	5.45	5.35	5.42	5.104761	1062600
2016-02-09	5.2	5.4	5.19	5.35	5.038832	1084200
2016-02-10	5.35	5.39	5.3	5.31	5.0011589999999995	797100
2016-02-11	5.34	5.36	5.27	5.36	5.0482510000000005	1107200
2016-02-12	5.32	5.36	5.25	5.36	5.0482510000000005	475800
2016-02-16	5.34	5.41	5.29	5.39	5.076506	1213800
2016-02-17	5.42	5.61	5.42	5.6	5.274293	2137000
2016-02-18	5.77	5.85	5.73	5.81	5.472078	2284900
2016-02-19	5.78	5.83	5.75	5.77	5.434405	892200
2016-02-22	5.91	5.97	5.89	5.94	5.594517	597500
2016-02-23	5.86	5.9	5.77	5.78	5.443823	476300
2016-02-24	5.56	5.65	5.48	5.63	5.302547	822800
2016-02-25	5.65	5.68	5.59	5.68	5.349639	433700
2016-02-26	5.69	5.72	5.65	5.72	5.387313	362800
2016-02-29	5.74	5.76	5.68	5.69	5.359058	365500
2016-03-01	5.82	5.88	5.77	5.86	5.51917	404700
2016-03-02	5.8	5.89	5.79	5.89	5.547426000000001	483400
2016-03-03	5.92	6.04	5.87	6.03	5.679282	763200
2016-03-04	5.89	5.94	5.85	5.87	5.528588	865100
2016-03-07	5.81	5.9	5.8	5.88	5.538007	504300
2016-03-08	5.83	5.83	5.75	5.77	5.434405	493700
2016-03-09	5.79	5.81	5.74	5.78	5.443823	327200
2016-03-10	5.83	5.9	5.73	5.77	5.434405	428800
2016-03-11	5.89	6.0	5.87	5.99	5.641609	900500
2016-03-14	5.93	5.94	5.88	5.9	5.556844	441900
2016-03-15	5.83	5.84	5.78	5.81	5.472078	459200
2016-03-16	5.73	5.98	5.73	5.98	5.632191000000001	1111900
2016-03-17	5.8	5.85	5.77	5.82	5.481497	752600
2016-03-18	5.68	5.71	5.63	5.67	5.433582	938200
2016-03-21	5.65	5.66	5.59	5.64	5.404832	439000
2016-03-22	5.49	5.54	5.47	5.49	5.261087	956300
2016-03-23	5.64	5.65	5.5	5.51	5.280253	759900
2016-03-24	5.39	5.51	5.39	5.49	5.261087	291000
2016-03-28	5.49	5.55	5.48	5.48	5.251503	256700
2016-03-29	5.48	5.6	5.45	5.59	5.356917	617300
2016-03-30	5.56	5.6	5.52	5.53	5.299418	595700
2016-03-31	5.56	5.61	5.55	5.58	5.347334	1177300
2016-04-01	5.39	5.53	5.36	5.53	5.299418	1303200
2016-04-04	5.59	5.62	5.54	5.56	5.328167	958300
2016-04-05	5.33	5.36	5.23	5.24	5.021511	2767100
2016-04-06	5.16	5.28	5.11	5.26	5.040678	1022100
2016-04-07	5.5	5.51	5.36	5.4	5.1748400000000006	3442200
2016-04-08	5.54	5.58	5.51	5.53	5.299418	1464100
2016-04-11	5.62	5.7	5.6	5.61	5.376083	1045500
2016-04-12	5.49	5.52	5.4	5.48	5.251503	871000
2016-04-13	5.63	5.67	5.59	5.66	5.423998	581700
2016-04-14	5.46	5.55	5.4	5.51	5.280253	1481300
2016-04-15	5.74	5.81	5.72	5.74	5.500662	1079700
2016-04-18	5.7	5.74	5.69	5.73	5.491079	658100
2016-04-19	5.89	5.94	5.88	5.89	5.644408	1140300
2016-04-20	5.81	5.84	5.74	5.79	5.548577	759500
2016-04-21	5.83	5.85	5.75	5.79	5.548577	582800
2016-04-22	5.78	5.85	5.77	5.82	5.5773269999999995	533800
2016-04-25	5.8	5.83	5.67	5.68	5.4431650000000005	662300
2016-04-26	5.84	5.89	5.82	5.83	5.58691	873000
2016-04-27	6.37	6.51	6.35	6.5	6.228973000000001	4227600
2016-04-28	6.34	6.42	6.24	6.24	5.979815	1265800
2016-04-29	6.29	6.3	6.09	6.14	5.883984	1296600
2016-05-02	6.04	6.1	6.02	6.08	5.826486	724000
2016-05-03	5.91	5.91	5.77	5.78	5.538995	1073000
2016-05-04	5.68	5.7	5.57	5.57	5.337751	1149500
2016-05-05	5.58	5.59	5.52	5.53	5.299418	957000
2016-05-06	5.52	5.59	5.49	5.54	5.309001	691900
2016-05-09	5.47	5.48	5.36	5.41	5.184423000000001	1040000
2016-05-10	5.4	5.47	5.38	5.46	5.2323379999999995	977500
2016-05-11	5.3	5.43	5.3	5.4	5.1748400000000006	862500
2016-05-12	5.44	5.46	5.26	5.34	5.117341000000001	752300
2016-05-13	5.27	5.34	5.24	5.26	5.040678	716900
2016-05-16	5.3	5.37	5.3	5.35	5.126924	628500
2016-05-17	5.42	5.44	5.32	5.36	5.136507	944900
2016-05-18	5.54	5.69	5.53	5.64	5.404832	1091700
2016-05-19	5.63	5.66	5.59	5.62	5.3856660000000005	767200
2016-05-20	5.71	5.76	5.69	5.75	5.510244999999999	744400
2016-05-23	5.8	5.85	5.76	5.76	5.5198279999999995	689900
2016-05-24	5.8	5.93	5.8	5.92	5.673157	562600
2016-05-25	5.99	6.06	5.94	5.97	5.721072	1023600
2016-05-26	6.08	6.08	6.01	6.04	5.7881540000000005	635000
2016-05-27	6.02	6.05	5.99	6.03	5.778571	368400
2016-05-31	6.02	6.02	5.95	6.02	5.768987999999999	685800
2016-06-01	5.95	6.0	5.95	5.99	5.740238	558400
2016-06-02	5.97	6.03	5.95	6.03	5.778571	1135000
2016-06-03	6.07	6.08	5.97	6.01	5.759405	1648800
2016-06-06	6.05	6.15	6.04	6.12	5.864818	1151000
2016-06-07	6.23	6.31	6.22	6.27	6.008564	1154400
2016-06-08	6.22	6.24	6.12	6.16	5.90315	631200
2016-06-09	5.97	6.05	5.96	6.05	5.797737000000001	772600
2016-06-10	5.82	5.83	5.7	5.73	5.491079	991400
2016-06-13	5.56	5.69	5.56	5.58	5.347334	833200
2016-06-14	5.56	5.64	5.51	5.64	5.404832	1400100
2016-06-15	5.69	5.75	5.66	5.71	5.471914	758700
2016-06-16	5.53	5.65	5.47	5.62	5.3856660000000005	1342800
2016-06-17	5.64	5.7	5.58	5.66	5.482531	751200
2016-06-20	5.86	5.87	5.79	5.79	5.608454	1051000
2016-06-21	5.88	5.91	5.84	5.89	5.705318	806800
2016-06-22	6.06	6.06	5.93	5.93	5.744065	1455500
2016-06-23	6.15	6.2	6.09	6.19	5.995913	971900
2016-06-24	5.68	5.8	5.6	5.62	5.443784	2177300
2016-06-27	5.55	5.56	5.39	5.52	5.34692	1374200
2016-06-28	5.7	5.76	5.63	5.68	5.5019029999999995	1146700
2016-06-29	5.7	5.72	5.65	5.65	5.472844	891700
2016-06-30	5.76	5.89	5.73	5.89	5.705318	818400
2016-07-01	5.87	5.9	5.83	5.85	5.666574	834000
2016-07-05	5.68	5.68	5.51	5.53	5.356607	1107000
2016-07-06	5.3	5.45	5.26	5.45	5.279115	2834400
2016-07-07	5.46	5.52	5.38	5.44	5.269429	987500
2016-07-08	5.66	5.73	5.66	5.72	5.54065	1114600
2016-07-11	5.86	5.93	5.85	5.91	5.724692	982000
2016-07-12	5.99	6.03	5.98	5.99	5.802184	759100
2016-07-13	6.04	6.05	5.96	5.99	5.802184	643800
