Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	15.885	16.02	15.86	15.975	5.644929	823200
2008-01-03	15.86	16.290001	15.86	16.24	5.738569999999999	688600
2008-01-04	16.219998999999998	16.219998999999998	15.9	16.190001000000002	5.720903	1638800
2008-01-07	16.174999	16.174999	16.0	16.08	5.6820330000000006	1653600
2008-01-08	16.110001	16.315001000000002	16.110001	16.17	5.7138349999999996	628200
2008-01-09	16.084999	16.225	16.025	16.139999	5.703233	993400
2008-01-10	16.15	16.17	15.965	16.059998999999998	5.674966	895000
2008-01-11	15.96	16.120001000000002	15.825	15.925	5.627262	1305400
2008-01-14	15.95	15.975	15.775	15.84	5.597226	1271000
2008-01-15	15.73	15.88	15.635	15.705	5.549524	959000
2008-01-16	15.535	15.73	15.525	15.7	5.547756	1394000
2008-01-17	15.7	15.775	15.455	15.535	5.48945	2168800
2008-01-18	15.5	15.65	15.17	15.275	5.397577	2569200
2008-01-22	14.885	15.15	14.175	15.085	5.330439	2000000
2008-01-23	14.985	15.075	14.635	15.01	5.303938	2314200
2008-01-24	14.975	15.27	14.885	15.125	5.344575	1648200
2008-01-25	15.355	15.355	14.92	15.005	5.3021720000000006	1984400
2008-01-28	15.085	15.085	14.82	15.055	5.319837000000001	2154000
2008-01-29	15.06	15.06	14.905	14.935	5.458727	934800
2008-01-30	14.995	15.58	14.985	15.405	5.630512	2279600
2008-01-31	15.305	15.72	15.125	15.58	5.694475	1456800
2008-02-01	15.71	15.75	15.545	15.7	5.738336	702800
2008-02-04	15.68	16.075001	15.68	15.94	5.826054	947400
2008-02-05	15.95	16.16	15.77	16.055	5.868087	1220000
2008-02-06	16.155001000000002	16.155001000000002	15.715	15.765	5.762091000000001	793000
2008-02-07	15.64	15.925	15.635	15.675	5.729196	715800
2008-02-08	15.7	16.0	15.615	15.95	5.8297099999999995	702000
2008-02-11	15.995	16.01	15.8	16.01	5.851641000000001	499600
2008-02-12	16.030001000000002	16.030001000000002	15.77	15.85	5.793158999999999	823400
2008-02-13	15.915	16.055	15.76	15.85	5.793158999999999	841200
