Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	10.8	11.0	10.8	11.0	11.0	1300
2008-01-03	11.0	11.0	10.5	10.6	10.6	9600
2008-01-04	10.5	10.8	10.5	10.8	10.8	600
2008-01-07	10.8	10.8	10.8	10.8	10.8	200
2008-01-08	11.0	11.2	11.0	11.2	11.2	600
2008-01-09	10.6	10.8	10.4	10.4	10.4	3500
2008-01-10	10.5	10.8	10.5	10.8	10.8	700
2008-01-11	10.7	10.8	10.5	10.5	10.5	700
2008-01-14	10.8	10.8	10.7	10.7	10.7	0
2008-01-15	10.6	10.6	10.5	10.5	10.5	1100
2008-01-16	10.5	10.5	10.4	10.5	10.5	2700
2008-01-17	10.5	10.5	10.4	10.4	10.4	900
2008-01-18	10.4	10.5	10.3	10.3	10.3	1700
2008-01-22	10.3	10.3	9.4	10.0	10.0	4400
2008-01-23	10.0	10.0	9.2	9.45	9.45	4200
2008-01-24	9.6	9.6	9.3	9.3	9.3	3100
2008-01-25	10.0	10.0	9.5	9.6	9.6	2900
2008-01-28	9.7	9.7	9.5	9.5	9.5	3400
2008-01-29	9.6	9.6	9.5	9.6	9.6	1100
2008-01-30	9.7	10.0	9.7	10.0	10.0	1400
2008-01-31	10.0	10.0	9.9	9.9	9.9	600
2008-02-01	9.85	10.1	9.8	10.1	10.1	1100
2008-02-04	10.0	10.0	9.8	10.0	10.0	2400
2008-02-05	9.8	9.81	9.8	9.81	9.81	100
2008-02-06	9.8	9.9	9.8	9.8	9.8	1600
2008-02-07	10.1	10.1	9.8	9.8	9.8	1700
2008-02-08	9.8	10.05	9.8	10.05	10.05	2200
2008-02-11	10.0	10.0	10.0	10.0	10.0	900
2008-02-12	9.8	9.8	9.8	9.8	9.8	300
2008-02-13	10.0	10.1	9.81	10.05	10.05	600
2008-02-14	9.9	11.0	9.9	10.6	10.6	9400
2008-02-15	11.0	11.11	10.6	10.8	10.8	3700
2008-02-19	10.8	10.8	10.6	10.6	10.6	1500
2008-02-20	10.6	10.7	10.6	10.6	10.6	1100
2008-02-21	10.6	10.6	10.6	10.6	10.6	1400
2008-02-22	10.8	10.8	10.4	10.4	10.4	1400
2008-02-25	10.6	10.8	10.6	10.6	10.6	2600
2008-02-26	10.5	10.6	10.5	10.6	10.6	2200
2008-02-27	10.7	10.8	10.5	10.5	10.5	2300
2008-02-28	10.4	10.6	10.4	10.5	10.5	2900
2008-02-29	10.5	10.6	10.5	10.5	10.5	1900
2008-03-03	10.5	10.5	10.4	10.4	10.4	200
2008-03-04	10.4	10.5	9.8	10.1	10.1	1700
2008-03-05	9.8	10.2	9.8	10.0	10.0	2500
2008-03-06	10.0	10.1	9.8	10.1	10.1	1100
2008-03-07	10.0	10.0	9.8	10.0	10.0	1200
2008-03-10	9.8	10.0	9.7	9.7	9.7	6400
2008-03-11	9.7	9.9	9.6	9.6	9.6	4200
2008-03-12	9.8	9.8	8.9	9.6	9.6	6100
2008-03-13	9.6	9.7	9.4	9.6	9.6	4300
2008-03-14	9.8	9.8	9.6	9.7	9.7	1700
2008-03-17	9.6	9.7	9.4	9.4	9.4	2100
2008-03-18	9.7	9.7	9.1	9.7	9.7	3400
2008-03-19	9.5	9.5	9.1	9.1	9.1	4600
2008-03-20	9.2	9.5	9.1	9.1	9.1	4200
2008-03-24	9.5	9.8	9.2	9.6	9.6	5600
2008-03-25	10.0	10.1	9.7	10.1	10.1	3100
2008-03-26	10.1	11.1	10.0	10.8	10.8	3900
2008-03-27	10.8	11.1	10.0	10.6	10.6	1200
2008-03-28	10.6	10.6	10.2	10.5	10.5	1200
2008-03-31	10.6	11.2	10.6	11.0	11.0	4100
2008-04-01	11.0	11.2	11.0	11.0	11.0	3100
2008-04-02	11.3	11.5	11.3	11.3	11.3	400
2008-04-03	11.4	11.4	11.3	11.3	11.3	400
2008-04-04	11.3	11.4	11.1	11.1	11.1	2000
2008-04-07	11.1	11.4	10.9	11.4	11.4	3200
2008-04-08	11.4	11.4	11.2	11.2	11.2	800
2008-04-09	11.4	11.6	11.2	11.4	11.4	2100
2008-04-10	11.4	11.9	11.4	11.9	11.9	2900
2008-04-11	11.9	12.4	11.8	12.2	12.2	4600
2008-04-14	12.3	13.8	12.3	13.0	13.0	9500
2008-04-15	13.1	13.5	13.0	13.2	13.2	2700
2008-04-16	13.5	13.5	13.3	13.5	13.5	3900
2008-04-17	13.8	13.8	13.5	13.7	13.7	1800
2008-04-18	13.7	13.8	13.4	13.8	13.8	5000
2008-04-21	13.9	14.9	13.8	14.7	14.7	12700
2008-04-22	14.9	17.5	14.8	16.6	16.6	21000
2008-04-23	17.200001	17.299999	14.7	16.0	16.0	8700
2008-04-24	15.5	16.0	15.1	15.5	15.5	2800
2008-04-25	15.1	15.5	15.1	15.1	15.1	400
2008-04-28	15.5	16.6	14.7	16.200001	16.200001	5000
2008-04-29	16.700001	16.700001	16.0	16.6	16.6	3500
2008-04-30	17.0	17.0	16.200001	16.700001	16.700001	3400
2008-05-01	17.0	17.0	16.0	16.200001	16.200001	3800
2008-05-02	16.799999	16.799999	16.200001	16.200001	16.200001	500
2008-05-05	16.5	17.5	16.5	16.799999	16.799999	6000
2008-05-06	17.0	17.0	15.5	16.799999	16.799999	3000
2008-05-07	16.799999	17.1	16.1	17.1	17.1	3800
2008-05-08	17.1	17.4	17.1	17.4	17.4	2700
2008-05-09	17.5	18.700001	17.5	18.5	18.5	12900
2008-05-12	18.9	20.700001	18.299999	20.6	20.6	21800
2008-05-13	20.6	20.9	19.0	20.9	20.9	11200
2008-05-14	20.9	21.5	20.0	21.5	21.5	5000
2008-05-15	21.5	23.6	21.5	22.799999	22.799999	19800
2008-05-16	22.5	22.700001	22.200001	22.4	22.4	7000
2008-05-19	22.450001	25.5	22.200001	23.6	23.6	20600
2008-05-20	23.6	28.4	23.6	27.0	27.0	26900
2008-05-21	27.0	30.4	26.0	26.5	26.5	48900
2008-05-22	27.700001	28.4	22.5	24.299999	24.299999	22800
2008-05-23	24.5	24.5	22.5	23.299999	23.299999	8300
2008-05-27	23.299999	23.700001	20.700001	21.5	21.5	9400
2008-05-28	20.5	21.5	17.700001	20.9	20.9	16500
2008-05-29	20.9	22.200001	20.799999	21.5	21.5	4800
2008-05-30	21.799999	21.799999	19.5	21.0	21.0	4000
2008-06-02	21.299999	22.299999	21.0	21.9	21.9	4600
2008-06-03	22.299999	24.0	22.200001	22.799999	22.799999	9300
2008-06-04	22.799999	22.799999	21.5	22.0	22.0	4900
2008-06-05	21.5	23.9	21.5	23.5	23.5	6100
2008-06-06	23.5	24.1	21.6	24.1	24.1	9100
2008-06-09	24.200001	28.5	24.1	26.799999	26.799999	17600
2008-06-10	26.799999	27.1	26.200001	27.1	27.1	6200
2008-06-11	27.1	27.1	23.5	24.0	24.0	11200
2008-06-12	24.0	25.5	22.299999	24.0	24.0	10400
2008-06-13	24.0	24.0	22.6	23.1	23.1	5000
2008-06-16	23.1	24.0	22.700001	24.0	24.0	2400
2008-06-17	24.200001	24.799999	23.700001	24.6	24.6	2800
2008-06-18	24.799999	25.6	24.1	25.6	25.6	7300
2008-06-19	26.299999	29.4	26.299999	27.299999	27.299999	26500
2008-06-20	27.0	29.0	27.0	28.0	28.0	8100
2008-06-23	28.0	29.0	28.0	28.700001	28.700001	6300
2008-06-24	28.700001	28.700001	26.200001	27.1	27.1	10100
2008-06-25	26.299999	26.799999	23.5	24.700001	24.700001	25100
2008-06-26	24.9	24.9	24.0	24.5	24.5	3700
2008-06-27	24.5	26.0	24.299999	25.0	25.0	5300
2008-06-30	25.0	25.0	22.6	23.700001	23.700001	9800
2008-07-01	23.0	23.1	19.700001	21.5	21.5	22700
2008-07-02	21.1	22.799999	20.9	22.200001	22.200001	12400
2008-07-03	21.700001	22.299999	20.0	21.5	21.5	6500
2008-07-07	21.5	21.5	20.0	21.0	21.0	6900
2008-07-08	20.200001	20.299999	17.6	18.0	18.0	10600
2008-07-09	18.0	18.5	16.5	17.200001	17.200001	7700
2008-07-10	17.4	19.5	17.200001	19.5	19.5	3600
2008-07-11	20.0	20.5	19.5	20.200001	20.200001	3500
2008-07-14	20.1	20.1	19.200001	19.200001	19.200001	2600
2008-07-15	18.299999	19.5	18.299999	19.0	19.0	3100
2008-07-16	19.0	19.200001	19.0	19.200001	19.200001	1200
2008-07-17	19.0	19.799999	19.0	19.0	19.0	2700
2008-07-18	19.0	19.200001	18.0	18.0	18.0	3500
2008-07-21	18.0	18.799999	18.0	18.700001	18.700001	2300
2008-07-22	18.4	18.4	17.5	18.0	18.0	1300
2008-07-23	17.700001	18.5	16.0	16.5	16.5	5700
2008-07-24	17.0	18.299999	16.6	18.200001	18.200001	800
2008-07-25	16.0	17.5	16.0	17.5	17.5	800
2008-07-28	17.5	18.200001	17.200001	18.200001	18.200001	1400
2008-07-29	17.200001	17.5	16.1	17.299999	17.299999	1400
2008-07-30	16.1	17.299999	16.1	17.200001	17.200001	2100
2008-07-31	17.299999	17.4	17.1	17.299999	17.299999	900
2008-08-01	16.700001	17.5	16.700001	17.5	17.5	500
2008-08-04	17.0	17.0	16.0	17.0	17.0	2300
2008-08-05	16.0	16.0	14.1	14.1	14.1	7400
2008-08-06	14.1	15.1	14.1	14.5	14.5	3200
2008-08-07	14.5	14.7	14.2	14.2	14.2	700
2008-08-08	14.2	14.5	14.2	14.3	14.3	800
2008-08-11	14.0	14.0	13.5	14.0	14.0	2100
2008-08-12	14.5	14.5	13.1	13.4	13.4	2400
2008-08-13	13.4	14.5	13.4	14.0	14.0	800
2008-08-14	15.5	18.700001	14.5	17.5	17.5	18500
2008-08-15	17.1	19.0	17.1	17.299999	17.299999	2500
2008-08-18	17.4	17.4	16.0	16.5	16.5	4900
2008-08-19	16.0	16.5	16.0	16.0	16.0	2100
2008-08-20	16.5	17.4	16.0	17.4	17.4	1300
2008-08-21	17.4	17.5	17.0	17.0	17.0	1600
2008-08-22	17.0	17.5	17.0	17.5	17.5	300
2008-08-25	17.85	17.9	17.5	17.6	17.6	700
2008-08-26	17.0	17.4	17.0	17.0	17.0	800
2008-08-27	16.0	17.9	16.0	17.0	17.0	700
2008-08-28	17.9	17.9	16.5	16.5	16.5	2300
2008-08-29	16.200001	17.200001	16.200001	17.200001	17.200001	800
2008-09-02	16.6	16.9	16.6	16.9	16.9	300
2008-09-03	16.6	16.6	16.5	16.5	16.5	1200
2008-09-04	16.0	16.799999	15.0	15.65	15.65	3100
2008-09-05	15.5	15.7	14.5	15.0	15.0	1000
2008-09-08	14.2	15.7	14.2	15.7	15.7	2000
2008-09-09	15.0	15.8	14.3	15.8	15.8	1400
2008-09-10	14.2	15.5	14.2	15.5	15.5	600
2008-09-11	14.5	15.0	14.3	15.0	15.0	400
2008-09-12	15.0	15.0	14.3	14.5	14.5	400
2008-09-15	14.3	14.4	13.5	14.0	14.0	800
2008-09-16	13.5	14.0	13.2	14.0	14.0	4200
2008-09-17	13.0	14.5	13.0	14.0	14.0	1000
2008-09-18	13.5	13.5	12.1	13.5	13.5	2800
2008-09-19	13.5	15.0	13.5	15.0	15.0	600
2008-09-22	14.0	16.9	13.5	15.7	15.7	3900
2008-09-23	15.5	15.5	12.1	15.0	15.0	1300
2008-09-24	15.0	15.0	14.0	14.5	14.5	800
2008-09-25	15.0	15.0	14.0	14.0	14.0	200
2008-09-26	13.5	14.4	13.3	13.5	13.5	1700
2008-09-29	13.4	14.0	12.1	12.7	12.7	4700
2008-09-30	12.7	12.9	12.5	12.5	12.5	1500
2008-10-01	13.0	13.0	12.5	12.5	12.5	0
2008-10-02	12.5	13.0	11.6	12.0	12.0	2500
2008-10-03	12.0	12.0	10.5	10.75	10.75	3800
2008-10-06	10.5	10.5	8.1	9.5	9.5	16000
2008-10-07	9.5	10.0	8.8	9.9	9.9	2600
2008-10-08	8.8	9.9	8.4	8.4	8.4	5300
2008-10-09	8.4	8.9	8.3	8.9	8.9	2000
2008-10-10	8.9	8.9	7.5	8.1	8.1	6600
2008-10-13	7.5	10.1	7.5	9.0	9.0	3100
2008-10-14	8.0	11.0	8.0	9.0	9.0	5300
2008-10-15	8.5	9.5	8.5	9.5	9.5	800
2008-10-16	8.0	9.3	7.6	9.3	9.3	8900
2008-10-17	9.5	9.5	8.0	8.5	8.5	2200
2008-10-20	8.5	10.1	8.5	10.1	10.1	600
2008-10-21	8.2	9.5	8.2	9.5	9.5	200
2008-10-22	8.5	9.4	8.5	8.5	8.5	1500
2008-10-23	8.5	9.4	8.2	8.5	8.5	2600
2008-10-24	8.2	8.2	7.0	8.2	8.2	3300
2008-10-27	8.0	8.2	8.0	8.0	8.0	3100
2008-10-28	8.0	8.2	8.0	8.2	8.2	4700
2008-10-29	8.2	8.2	8.0	8.2	8.2	1500
2008-10-30	9.0	10.1	9.0	9.0	9.0	500
2008-10-31	9.2	10.0	9.0	10.0	10.0	100
2008-11-03	9.9	9.9	8.2	9.89	9.89	700
2008-11-04	9.9	9.9	9.0	9.0	9.0	100
2008-11-05	9.0	9.0	9.0	9.0	9.0	500
2008-11-06	9.2	10.0	9.2	10.0	10.0	1600
2008-11-07	9.2	9.7	9.2	9.7	9.7	500
2008-11-10	9.9	10.0	9.9	10.0	10.0	200
2008-11-11	9.2	9.2	9.2	9.2	9.2	200
2008-11-12	9.2	9.2	9.2	9.2	9.2	500
2008-11-13	9.2	9.2	8.8	9.1	9.1	3100
2008-11-14	9.1	9.5	9.1	9.2	9.2	2100
2008-11-17	9.2	9.2	9.0	9.0	9.0	200
2008-11-18	10.1	10.1	9.0	9.0	9.0	300
2008-11-19	8.6	9.5	7.5	7.5	7.5	8700
2008-11-20	7.5	7.5	5.12	7.5	7.5	6600
2008-11-21	6.51	8.0	6.51	8.0	8.0	1000
2008-11-24	8.0	8.0	7.3	8.0	8.0	200
2008-11-25	7.0	7.5	7.0	7.5	7.5	300
2008-11-26	7.0	7.5	7.0	7.5	7.5	1000
2008-11-28	6.6	7.5	6.6	7.5	7.5	500
2008-12-01	7.1	7.1	7.0	7.0	7.0	300
2008-12-02	7.0	7.5	7.0	7.5	7.5	2000
2008-12-03	7.5	7.5	7.0	7.0	7.0	1600
2008-12-04	6.6	7.5	6.6	7.5	7.5	200
2008-12-05	6.6	7.5	6.6	7.5	7.5	1800
2008-12-08	7.4	7.5	6.0	7.0	7.0	1300
2008-12-09	6.1	6.1	6.1	6.1	6.1	1200
2008-12-10	6.5	6.5	6.3	6.4	6.4	300
2008-12-11	6.4	7.48	6.3	7.48	7.48	1800
2008-12-12	7.0	7.0	6.8	7.0	7.0	700
2008-12-15	7.0	7.4	7.0	7.4	7.4	1400
2008-12-16	7.0	7.4	6.6	6.6	6.6	2100
2008-12-17	6.7	7.0	6.7	7.0	7.0	300
2008-12-18	7.0	7.0	6.46	6.8	6.8	800
2008-12-19	6.8	6.8	6.5	6.5	6.5	1800
2008-12-22	7.0	7.4	6.5	6.5	6.5	2300
2008-12-23	6.8	6.8	6.8	6.8	6.8	100
2008-12-24	6.5	6.5	6.45	6.45	6.45	600
2008-12-26	6.26	6.8	6.26	6.79	6.79	1300
2008-12-29	6.5	6.79	6.0	6.3	6.3	3600
2008-12-30	6.3	6.3	6.0	6.3	6.3	3500
2008-12-31	6.2	6.35	6.0	6.0	6.0	1900
