Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	4.96	5.03	4.78	4.83	4.83	43000
2008-01-03	4.82	4.82	4.61	4.78	4.78	74100
2008-01-04	4.71	4.72	4.57	4.61	4.61	36500
2008-01-07	4.73	4.73	4.09	4.19	4.19	137900
2008-01-08	4.36	4.36	4.14	4.19	4.19	156100
2008-01-09	4.23	4.5	3.88	3.97	3.97	814100
2008-01-10	3.98	4.07	3.92	3.92	3.92	569900
2008-01-11	3.93	4.12	3.75	3.93	3.93	1860900
2008-01-14	3.93	4.18	3.93	4.15	4.15	327800
2008-01-15	4.17	4.34	4.07	4.3	4.3	328500
2008-01-16	4.3	4.43	4.29	4.36	4.36	119100
2008-01-17	4.35	4.47	4.33	4.38	4.38	164800
2008-01-18	4.4	4.48	4.27	4.31	4.31	108900
2008-01-22	4.08	4.41	4.06	4.18	4.18	68000
2008-01-23	4.21	4.23	4.06	4.11	4.11	66900
2008-01-24	4.15	4.35	4.15	4.33	4.33	103600
2008-01-25	4.39	4.4	4.16	4.2	4.2	99500
2008-01-28	4.21	4.29	4.15	4.17	4.17	116500
2008-01-29	4.35	4.39	4.2	4.27	4.27	24900
2008-01-30	4.28	4.4	4.26	4.35	4.35	56800
2008-01-31	4.32	4.37	4.26	4.35	4.35	45800
2008-02-01	4.33	4.53	4.24	4.44	4.44	126900
2008-02-04	4.45	4.5	4.34	4.35	4.35	39800
2008-02-05	4.32	4.42	4.2	4.3	4.3	102100
2008-02-06	4.44	4.59	4.19	4.2	4.2	51500
2008-02-07	4.26	4.28	4.19	4.23	4.23	30700
2008-02-08	4.25	4.31	4.23	4.3	4.3	53400
2008-02-11	4.3	4.48	4.3	4.45	4.45	46100
2008-02-12	4.51	4.53	4.41	4.52	4.52	30900
2008-02-13	4.5	4.89	4.5	4.89	4.89	45600
2008-02-14	4.87	4.98	4.56	4.69	4.69	54100
2008-02-15	4.56	4.73	4.56	4.71	4.71	17800
2008-02-19	4.66	4.74	4.48	4.48	4.48	51600
2008-02-20	4.53	4.55	4.41	4.51	4.51	27600
2008-02-21	4.59	4.59	4.31	4.42	4.42	39500
2008-02-22	4.49	4.56	4.3	4.38	4.38	40900
2008-02-25	4.48	4.69	4.35	4.69	4.69	66000
2008-02-26	4.62	4.62	4.48	4.52	4.52	22500
2008-02-27	4.68	4.68	4.46	4.55	4.55	20900
2008-02-28	4.58	4.71	4.47	4.53	4.53	33200
2008-02-29	4.47	4.53	4.32	4.42	4.42	40500
2008-03-03	4.39	4.39	4.24	4.31	4.31	29600
2008-03-04	4.27	4.31	4.12	4.23	4.23	27800
2008-03-05	4.12	4.25	4.08	4.25	4.25	225500
2008-03-06	4.16	4.29	4.13	4.17	4.17	86400
2008-03-07	4.17	4.22	4.04	4.14	4.14	25300
2008-03-10	4.12	4.13	4.03	4.09	4.09	19900
2008-03-11	4.19	4.42	4.11	4.42	4.42	61800
2008-03-12	4.15	4.54	4.13	4.43	4.43	28400
2008-03-13	4.46	4.46	4.25	4.35	4.35	57700
2008-03-14	4.39	4.4	4.13	4.14	4.14	8500
2008-03-17	4.1	4.14	3.96	4.06	4.06	55800
2008-03-18	4.09	4.5	4.05	4.4	4.4	48300
2008-03-19	4.32	4.49	4.28	4.32	4.32	27200
2008-03-20	4.21	4.39	4.13	4.27	4.27	30700
2008-03-24	4.27	4.51	4.11	4.38	4.38	88300
2008-03-25	4.35	4.37	4.22	4.3	4.3	28500
2008-03-26	4.26	4.32	4.24	4.31	4.31	14200
2008-03-27	4.44	4.44	4.16	4.32	4.32	66300
2008-03-28	4.31	4.64	4.31	4.54	4.54	44500
2008-03-31	4.65	4.88	4.64	4.83	4.83	75400
2008-04-01	4.86	4.98	4.81	4.85	4.85	68600
2008-04-02	5.3	5.94	5.2	5.9	5.9	373000
2008-04-03	5.78	5.8	5.51	5.63	5.63	351700
2008-04-04	5.56	5.9	5.55	5.82	5.82	110800
2008-04-07	6.17	6.17	5.81	6.0	6.0	107800
2008-04-08	6.04	6.04	5.9	6.0	6.0	61300
2008-04-09	5.95	5.95	5.71	5.8	5.8	118700
2008-04-10	5.83	5.84	5.64	5.76	5.76	44200
2008-04-11	5.67	5.73	5.4	5.48	5.48	49800
2008-04-14	5.4	5.65	5.4	5.48	5.48	77800
2008-04-15	5.56	5.56	5.2	5.2	5.2	52200
2008-04-16	5.3	5.7	5.3	5.45	5.45	119100
2008-04-17	5.45	5.65	5.33	5.48	5.48	118300
2008-04-18	5.6	5.84	5.42	5.83	5.83	75400
2008-04-21	5.83	5.84	5.69	5.8	5.8	83900
2008-04-22	5.7	5.7	5.48	5.6	5.6	29900
2008-04-23	5.68	5.75	5.4	5.62	5.62	99700
2008-04-24	5.57	5.69	5.54	5.54	5.54	66200
2008-04-25	5.58	5.58	5.4	5.4	5.4	68900
2008-04-28	5.27	5.54	5.27	5.42	5.42	81600
2008-04-29	5.53	5.63	5.53	5.54	5.54	45400
2008-04-30	5.62	5.76	5.61	5.71	5.71	40500
2008-05-01	5.68	5.68	5.54	5.67	5.67	88100
2008-05-02	5.67	5.91	5.64	5.87	5.87	86000
2008-05-05	5.84	5.92	5.76	5.87	5.87	60700
2008-05-06	5.87	5.87	5.53	5.73	5.73	56800
2008-05-07	5.78	5.78	5.66	5.66	5.66	40400
2008-05-08	5.71	5.73	5.62	5.69	5.69	41500
2008-05-09	5.68	5.89	5.68	5.88	5.88	57100
2008-05-12	5.8	5.88	5.47	5.63	5.63	55900
2008-05-13	5.63	5.73	5.51	5.67	5.67	52300
2008-05-14	5.63	5.73	5.62	5.7	5.7	51500
2008-05-15	5.68	5.9	5.68	5.9	5.9	100100
