Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	15.68	15.68	14.5	15.01	9.111541	4000
2008-01-03	14.61	14.77	14.56	14.63	8.988660000000001	3500
2008-01-04	14.43	14.64	14.4	14.58	8.957941	10600
2008-01-07	14.65	14.75	14.5	14.75	9.062387	5100
2008-01-08	14.46	14.73	14.34	14.43	8.865781	6600
2008-01-09	14.12	14.29	14.12	14.16	8.699889	2000
2008-01-10	14.16	14.49	14.16	14.48	8.8965	2900
2008-01-11	14.22	14.56	14.22	14.56	8.945653	900
2008-01-14	14.56	14.59	14.27	14.58	8.957941	4200
2008-01-15	14.75	14.75	14.7	14.75	9.062387	1800
2008-01-16	14.5	14.68	14.26	14.5	8.908787	7700
2008-01-17	14.74	14.74	14.25	14.25	8.755186	4000
2008-01-18	14.6	14.73	14.38	14.69	9.025523	1800
2008-01-22	14.31	14.58	13.95	14.58	8.957941	8700
2008-01-23	14.33	14.55	14.02	14.55	8.939507	11300
2008-01-24	14.65	14.69	14.3	14.45	8.878067999999999	12600
2008-01-25	14.45	14.6	14.25	14.5	8.908787	6800
2008-01-28	14.54	14.7	14.4	14.64	8.994803	10700
2008-01-29	14.46	14.53	14.4	14.53	8.92722	1400
2008-01-30	14.74	14.75	14.63	14.64	8.994803	5800
2008-01-31	14.85	14.85	14.75	14.79	9.086964	3100
2008-02-01	14.8	14.8	14.44	14.78	9.080821	7300
2008-02-04	14.82	14.99	14.43	14.65	9.000946	3900
2008-02-05	14.42	14.61	14.42	14.55	8.939507	700
2008-02-06	14.55	14.55	14.46	14.49	8.902641000000001	2700
2008-02-07	14.49	14.49	14.49	14.49	8.902641000000001	0
2008-02-08	14.59	14.8	14.59	14.65	9.000946	4100
2008-02-11	14.55	14.7	14.55	14.65	9.000946	8800
2008-02-12	14.65	14.75	14.62	14.7	9.031667	5600
2008-02-13	14.8	14.84	14.66	14.67	9.013236000000001	3500
2008-02-14	14.65	14.69	14.6	14.6	8.970227000000001	12600
2008-02-15	14.66	14.66	14.56	14.65	9.000946	2500
2008-02-19	14.75	14.75	14.6	14.67	9.013236000000001	2000
2008-02-20	14.6	14.7	14.57	14.57	8.951796	7200
2008-02-21	14.56	14.6	14.5	14.5	8.908787	2000
2008-02-22	14.86	14.9	14.47	14.9	9.154546	6800
2008-02-25	14.8	14.8	14.8	14.8	9.093103999999999	100
2008-02-26	14.8	14.8	14.67	14.68	9.019381	1100
2008-02-27	14.68	14.68	14.68	14.68	9.019381	0
2008-02-28	14.8	14.8	14.68	14.71	9.037813	1700
