Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	12.41	12.94	12.41	12.43	12.43	58000
2008-01-03	12.34	12.39	12.15	12.2	12.2	40300
2008-01-04	12.03	12.11	11.8	11.85	11.85	28700
2008-01-07	12.09	12.09	11.31	11.6	11.6	34800
2008-01-08	11.56	11.6	10.74	10.8	10.8	69300
2008-01-09	10.84	10.91	10.34	10.62	10.62	43700
2008-01-10	10.72	10.72	10.36	10.39	10.39	37400
2008-01-11	10.4	10.4	10.05	10.23	10.23	44200
2008-01-14	10.47	10.47	10.11	10.23	10.23	40400
2008-01-15	10.21	10.21	9.83	9.9	9.9	30100
2008-01-16	9.85	10.03	9.85	9.95	9.95	192400
2008-01-17	9.95	10.03	9.57	9.75	9.75	36100
2008-01-18	9.91	10.18	8.78	9.29	9.29	70700
2008-01-22	8.71	9.29	8.34	9.04	9.04	65300
2008-01-23	8.8	9.05	8.46	9.05	9.05	56400
2008-01-24	8.92	9.03	8.62	8.7	8.7	68300
2008-01-25	8.99	9.26	8.84	8.84	8.84	30000
2008-01-28	8.92	9.55	8.76	8.78	8.78	20700
2008-01-29	9.07	9.1	8.8	9.01	9.01	12800
2008-01-30	9.12	9.29	8.9	8.97	8.97	29500
2008-01-31	8.95	9.0	8.76	8.99	8.99	19000
2008-02-01	8.96	9.02	8.63	9.0	9.0	38200
2008-02-04	8.86	8.94	8.66	8.74	8.74	27700
2008-02-05	8.67	8.89	8.43	8.56	8.56	117900
2008-02-06	8.52	8.53	8.16	8.21	8.21	59800
2008-02-07	8.05	8.09	7.75	8.03	8.03	50000
2008-02-08	8.0	8.0	7.8	7.8	7.8	42800
2008-02-11	7.75	7.81	7.53	7.62	7.62	42600
2008-02-12	7.55	7.7	7.43	7.43	7.43	53000
2008-02-13	7.58	7.65	7.42	7.53	7.53	47900
2008-02-14	7.46	7.61	7.45	7.47	7.47	27500
2008-02-15	7.46	7.55	7.3	7.53	7.53	20700
2008-02-19	7.62	7.62	7.28	7.29	7.29	70700
2008-02-20	7.28	7.49	7.18	7.32	7.32	65700
2008-02-21	7.35	7.35	7.03	7.04	7.04	55300
2008-02-22	7.2	7.31	6.99	7.0	7.0	33600
2008-02-25	7.11	7.14	7.0	7.05	7.05	42700
2008-02-26	6.98	7.04	6.89	6.97	6.97	47300
2008-02-27	6.94	7.46	6.88	7.41	7.41	52500
2008-02-28	7.41	7.41	7.02	7.12	7.12	59300
2008-02-29	7.01	7.14	6.92	7.14	7.14	64600
2008-03-03	7.13	7.2	7.0	7.19	7.19	29100
2008-03-04	7.06	7.25	6.98	7.02	7.02	44000
2008-03-05	6.19	6.29	5.94	6.06	6.06	620500
2008-03-06	6.1	6.17	5.94	5.97	5.97	133300
2008-03-07	5.99	6.09	5.94	5.96	5.96	109600
2008-03-10	5.99	6.15	5.96	6.04	6.04	145600
2008-03-11	6.25	6.31	6.0	6.02	6.02	95300
2008-03-12	6.12	6.41	6.03	6.25	6.25	147600
2008-03-13	6.44	6.54	6.11	6.44	6.44	127700
2008-03-14	6.42	6.49	6.2	6.2	6.2	56900
2008-03-17	6.1	6.65	6.1	6.64	6.64	51200
2008-03-18	6.54	6.84	6.43	6.58	6.58	40700
2008-03-19	6.0	6.88	6.0	6.82	6.82	29200
2008-03-20	6.82	6.89	6.68	6.8	6.8	53400
2008-03-24	6.81	7.23	6.7	6.8	6.8	47800
2008-03-25	6.77	7.05	6.5	6.92	6.92	62900
2008-03-26	6.85	7.05	6.85	7.03	7.03	26000
2008-03-27	7.06	7.26	6.88	7.17	7.17	27300
2008-03-28	7.25	7.46	7.25	7.32	7.32	16700
2008-03-31	7.29	7.7	7.09	7.51	7.51	24900
2008-04-01	7.54	7.54	7.45	7.48	7.48	57600
2008-04-02	7.5	7.55	7.43	7.43	7.43	87200
2008-04-03	7.49	7.51	7.39	7.48	7.48	104900
2008-04-04	7.53	7.71	7.44	7.7	7.7	56000
2008-04-07	7.68	7.68	7.55	7.56	7.56	39000
2008-04-08	7.59	7.6	7.55	7.55	7.55	25000
2008-04-09	7.52	7.59	7.37	7.46	7.46	39100
2008-04-10	7.43	7.6	7.43	7.55	7.55	30800
2008-04-11	7.55	7.63	7.45	7.48	7.48	52500
2008-04-14	7.56	8.29	7.54	7.76	7.76	46200
2008-04-15	7.77	8.3	7.77	8.16	8.16	44100
2008-04-16	8.23	8.32	8.04	8.29	8.29	27800
2008-04-17	8.17	8.95	8.17	8.95	8.95	41200
2008-04-18	8.95	9.46	8.88	9.24	9.24	43400
2008-04-21	9.24	9.32	8.93	9.26	9.26	35900
2008-04-22	9.37	9.6	9.02	9.04	9.04	41900
2008-04-23	9.1	9.1	9.0	9.0	9.0	24100
2008-04-24	8.88	9.05	8.81	8.98	8.98	47300
2008-04-25	8.94	9.3	8.91	9.29	9.29	17300
2008-04-28	9.33	9.33	8.96	9.0	9.0	30900
2008-04-29	8.99	8.99	8.85	8.9	8.9	27200
2008-04-30	8.81	8.85	8.41	8.5	8.5	36000
2008-05-01	8.59	8.61	8.36	8.4	8.4	31700
2008-05-02	8.4	8.4	8.27	8.31	8.31	15500
2008-05-05	8.28	8.28	7.71	7.74	7.74	38000
2008-05-06	7.63	7.74	7.46	7.5	7.5	66400
2008-05-07	7.43	7.45	6.8	7.07	7.07	128200
2008-05-08	7.39	7.64	7.25	7.3	7.3	101900
2008-05-09	7.3	7.44	6.8	6.99	6.99	65300
2008-05-12	7.03	7.36	6.95	6.98	6.98	46100
2008-05-13	6.96	7.06	6.76	7.06	7.06	71200
2008-05-14	7.11	7.26	6.88	7.16	7.16	94200
2008-05-15	7.19	7.59	7.17	7.53	7.53	89600
2008-05-16	7.44	7.61	7.44	7.61	7.61	22200
2008-05-19	7.55	7.95	7.47	7.94	7.94	88300
2008-05-20	7.67	8.0	7.48	7.99	7.99	21700
2008-05-21	7.94	7.99	7.45	7.61	7.61	93500
2008-05-22	7.53	7.6	7.45	7.48	7.48	18400
2008-05-23	7.51	7.63	7.51	7.61	7.61	26800
2008-05-27	7.58	7.67	7.48	7.6	7.6	53900
2008-05-28	7.54	7.62	7.12	7.19	7.19	53200
2008-05-29	7.34	7.44	7.26	7.3	7.3	19200
2008-05-30	7.24	7.43	7.19	7.36	7.36	47300
2008-06-02	7.32	7.39	7.16	7.3	7.3	12600
2008-06-03	7.3	7.44	7.22	7.42	7.42	9700
2008-06-04	7.47	7.55	7.38	7.46	7.46	16800
2008-06-05	7.4	7.4	7.23	7.4	7.4	33200
2008-06-06	7.35	7.37	7.1	7.1	7.1	16900
2008-06-09	7.16	7.2	7.01	7.01	7.01	47500
2008-06-10	7.01	7.04	6.88	6.99	6.99	7400
2008-06-11	6.91	6.94	6.7	6.74	6.74	11900
2008-06-12	6.77	6.91	6.73	6.79	6.79	28800
2008-06-13	6.83	6.92	6.63	6.64	6.64	24700
2008-06-16	6.69	6.74	6.64	6.66	6.66	7900
2008-06-17	6.64	6.89	6.33	6.42	6.42	34700
2008-06-18	6.48	6.7	6.48	6.61	6.61	20600
2008-06-19	6.54	6.89	6.49	6.85	6.85	29400
2008-06-20	6.62	6.7	6.43	6.67	6.67	27300
2008-06-23	6.75	6.95	6.66	6.71	6.71	50600
2008-06-24	6.78	6.96	6.55	6.61	6.61	30100
2008-06-25	6.59	6.75	6.48	6.52	6.52	21900
2008-06-26	6.58	6.59	6.36	6.37	6.37	12800
2008-06-27	6.22	6.54	6.22	6.41	6.41	13200
2008-06-30	6.49	6.58	6.27	6.44	6.44	25600
2008-07-01	6.25	6.27	5.9	5.95	5.95	36400
2008-07-02	6.16	6.16	5.5	5.81	5.81	45900
2008-07-03	5.9	6.2	5.85	6.11	6.11	19300
2008-07-07	6.17	6.37	6.05	6.29	6.29	36000
2008-07-08	6.18	6.52	6.16	6.52	6.52	19500
2008-07-09	6.5	6.6	6.5	6.55	6.55	7800
2008-07-10	6.51	6.6	6.5	6.6	6.6	20300
2008-07-11	6.52	6.65	6.1	6.6	6.6	28900
2008-07-14	6.77	6.78	6.47	6.5	6.5	15400
2008-07-15	6.41	6.78	6.41	6.5	6.5	29700
2008-07-16	6.43	6.78	6.32	6.64	6.64	26700
2008-07-17	6.71	7.11	6.69	7.11	7.11	55200
2008-07-18	7.1	7.33	7.0	7.33	7.33	29700
2008-07-21	7.29	7.4	7.25	7.3	7.3	38700
2008-07-22	7.17	7.35	7.17	7.24	7.24	12500
2008-07-23	7.32	7.35	7.14	7.34	7.34	20600
2008-07-24	7.06	7.23	7.06	7.13	7.13	17500
2008-07-25	7.01	7.2	7.01	7.2	7.2	21500
2008-07-28	7.09	7.2	7.09	7.19	7.19	12000
2008-07-29	7.09	7.33	7.05	7.19	7.19	7600
2008-07-30	7.14	7.2	6.97	7.13	7.13	9500
2008-07-31	7.08	7.28	6.69	6.88	6.88	21300
2008-08-01	6.23	6.55	6.12	6.48	6.48	117500
2008-08-04	6.48	6.98	6.44	6.82	6.82	11000
2008-08-05	6.7	6.79	6.63	6.69	6.69	18900
2008-08-06	6.79	7.19	6.64	6.78	6.78	35900
2008-08-07	6.7	6.76	6.45	6.64	6.64	14300
2008-08-08	6.64	6.86	6.55	6.77	6.77	12400
2008-08-11	6.78	7.5	6.71	7.5	7.5	38800
2008-08-12	7.47	7.55	7.28	7.55	7.55	16600
2008-08-13	7.55	7.66	7.45	7.59	7.59	14500
2008-08-14	7.46	7.62	7.46	7.62	7.62	5000
2008-08-15	7.66	7.98	7.62	7.95	7.95	40700
2008-08-18	7.99	8.34	7.95	8.27	8.27	20800
2008-08-19	8.36	8.45	8.36	8.43	8.43	13600
2008-08-20	8.47	8.48	8.23	8.42	8.42	5900
2008-08-21	8.26	8.42	8.26	8.33	8.33	7600
2008-08-22	8.34	8.48	8.31	8.4	8.4	8600
2008-08-25	8.24	8.44	8.24	8.44	8.44	8200
2008-08-26	8.74	8.98	8.48	8.58	8.58	39100
2008-08-27	8.5	8.63	8.17	8.55	8.55	10300
2008-08-28	8.74	8.75	8.7	8.75	8.75	5700
2008-08-29	8.7	9.0	8.53	8.99	8.99	15000
2008-09-02	9.08	9.31	8.75	9.05	9.05	22200
2008-09-03	8.87	9.13	8.87	8.96	8.96	9100
2008-09-04	8.83	9.08	8.8	8.96	8.96	22900
2008-09-05	8.75	9.0	8.64	8.91	8.91	15400
2008-09-08	8.91	9.12	8.91	9.01	9.01	5800
2008-09-09	9.09	9.09	8.44	9.0	9.0	19900
2008-09-10	8.91	8.99	8.83	8.94	8.94	9100
2008-09-11	8.78	9.0	8.67	9.0	9.0	11600
2008-09-12	9.07	9.1	8.42	8.77	8.77	35000
2008-09-15	8.42	9.0	8.35	8.88	8.88	16300
2008-09-16	8.8	8.98	8.77	8.96	8.96	12800
2008-09-17	8.41	9.03	8.41	8.8	8.8	10200
2008-09-18	8.71	9.1	8.38	9.0	9.0	27700
2008-09-19	9.1	9.1	8.66	9.1	9.1	21600
2008-09-22	9.05	9.07	8.65	9.07	9.07	16300
2008-09-23	8.89	9.05	8.33	8.88	8.88	25800
2008-09-24	8.44	8.95	8.36	8.6	8.6	22300
2008-09-25	8.41	8.88	8.16	8.74	8.74	50800
2008-09-26	8.79	8.99	8.38	8.98	8.98	13800
2008-09-29	8.68	9.02	8.3	8.88	8.88	22400
2008-09-30	8.77	8.92	8.61	8.85	8.85	33500
2008-10-01	8.75	8.75	8.25	8.45	8.45	27900
2008-10-02	8.25	8.54	7.95	8.01	8.01	21900
2008-10-03	7.91	7.99	7.12	7.43	7.43	38000
2008-10-06	7.17	7.29	5.64	6.12	6.12	48700
2008-10-07	6.02	6.22	5.95	5.95	5.95	46400
2008-10-08	5.65	6.1	5.5	5.79	5.79	48500
2008-10-09	6.29	6.29	5.0	5.66	5.66	28100
2008-10-10	5.48	5.65	5.0	5.45	5.45	34900
2008-10-13	5.35	5.78	4.92	5.51	5.51	51200
2008-10-14	5.5	5.5	5.17	5.26	5.26	49600
2008-10-15	5.49	5.49	5.0	5.26	5.26	22500
2008-10-16	5.72	5.73	4.92	5.41	5.41	57500
2008-10-17	5.75	5.83	5.49	5.62	5.62	13900
2008-10-20	5.68	6.08	5.68	6.04	6.04	12400
2008-10-21	6.07	6.28	5.74	5.79	5.79	16300
2008-10-22	5.55	6.14	5.55	6.14	6.14	9200
2008-10-23	6.1	6.1	5.83	6.03	6.03	20300
2008-10-24	6.1	6.1	5.34	5.76	5.76	34200
2008-10-27	5.52	6.04	5.47	5.91	5.91	20600
2008-10-28	6.25	6.25	5.68	5.9	5.9	15800
2008-10-29	6.0	6.04	5.6	5.6	5.6	15600
2008-10-30	6.25	6.25	4.9	5.35	5.35	96300
2008-10-31	5.6	5.6	4.98	5.43	5.43	47600
2008-11-03	5.58	5.9	5.1	5.51	5.51	33800
2008-11-04	5.47	5.47	5.17	5.29	5.29	16800
2008-11-05	5.45	5.46	5.06	5.15	5.15	54500
2008-11-06	5.3	5.66	4.75	5.04	5.04	69800
2008-11-07	5.3	5.3	4.65	4.7	4.7	53200
2008-11-10	4.9	4.99	4.84	4.86	4.86	22100
2008-11-11	4.93	4.95	4.8	4.84	4.84	10500
2008-11-12	4.91	4.91	4.34	4.34	4.34	43800
2008-11-13	4.39	4.49	4.02	4.49	4.49	162100
2008-11-14	4.48	4.49	4.27	4.34	4.34	17700
2008-11-17	4.25	4.49	4.11	4.12	4.12	30600
2008-11-18	4.19	4.27	4.11	4.27	4.27	15500
2008-11-19	4.15	4.22	4.01	4.01	4.01	23000
2008-11-20	4.03	4.03	3.5	3.72	3.72	67100
2008-11-21	3.76	3.76	2.78	3.17	3.17	101600
2008-11-24	3.13	3.75	3.13	3.66	3.66	29600
2008-11-25	3.8	4.22	3.8	4.17	4.17	18700
2008-11-26	4.09	4.27	4.0	4.27	4.27	12700
2008-11-28	4.21	4.35	4.21	4.35	4.35	3200
2008-12-01	4.29	4.39	4.27	4.34	4.34	32500
2008-12-02	4.3	4.37	4.3	4.33	4.33	31300
2008-12-03	4.25	4.33	4.14	4.27	4.27	44400
2008-12-04	4.16	4.39	4.16	4.25	4.25	27000
2008-12-05	4.16	4.29	4.05	4.26	4.26	21300
2008-12-08	4.24	4.92	4.18	4.56	4.56	6500
2008-12-09	4.42	4.5	4.39	4.43	4.43	6100
2008-12-10	4.31	4.41	4.31	4.39	4.39	10600
2008-12-11	4.29	4.37	4.25	4.29	4.29	13400
2008-12-12	4.04	4.31	3.99	4.2	4.2	14900
2008-12-15	4.25	4.31	4.02	4.03	4.03	26900
2008-12-16	4.09	4.27	4.01	4.09	4.09	7900
2008-12-17	4.1	4.15	4.0	4.09	4.09	11200
2008-12-18	4.1	4.1	3.9	3.98	3.98	15700
2008-12-19	3.9	4.06	3.63	3.92	3.92	39900
2008-12-22	3.84	3.93	3.82	3.82	3.82	4400
2008-12-23	3.8	3.86	3.51	3.51	3.51	11600
2008-12-24	3.6	3.68	3.56	3.59	3.59	7000
2008-12-26	3.6	3.64	3.54	3.61	3.61	35100
2008-12-29	3.61	3.87	3.61	3.69	3.69	17300
2008-12-30	3.61	3.9	3.61	3.74	3.74	18000
2008-12-31	3.7	4.05	3.7	4.05	4.05	21600
2009-01-02	3.97	4.1	3.97	4.1	4.1	13500
2009-01-05	4.12	4.16	4.1	4.12	4.12	1700
2009-01-06	4.15	4.19	4.1	4.19	4.19	38200
2009-01-07	4.07	4.2	3.98	4.15	4.15	22100
2009-01-08	4.1	4.2	4.1	4.2	4.2	3500
2009-01-09	4.09	4.19	3.96	4.19	4.19	12000
2009-01-12	4.09	4.09	4.01	4.04	4.04	3100
2009-01-13	4.0	4.2	3.92	4.19	4.19	19200
2009-01-14	3.97	4.2	3.78	3.95	3.95	20100
2009-01-15	3.86	4.07	3.85	3.94	3.94	11500
2009-01-16	4.14	4.17	3.98	3.98	3.98	7300
2009-01-20	4.1	4.18	4.01	4.02	4.02	3400
2009-01-21	3.85	4.08	3.81	4.08	4.08	6600
2009-01-22	3.95	4.03	3.95	4.01	4.01	900
2009-01-23	4.01	4.05	3.81	3.86	3.86	5000
2009-01-26	3.85	3.89	3.85	3.88	3.88	500
2009-01-27	3.83	3.87	3.8	3.8	3.8	7300
2009-01-28	3.8	3.88	3.8	3.84	3.84	5300
2009-01-29	3.82	3.91	3.82	3.84	3.84	4800
2009-01-30	3.82	3.88	3.82	3.83	3.83	900
2009-02-02	3.8	3.8	3.61	3.62	3.62	14500
2009-02-03	3.62	3.77	3.6	3.73	3.73	11800
2009-02-04	3.68	3.68	3.66	3.67	3.67	1200
2009-02-05	3.74	3.75	3.66	3.66	3.66	4200
2009-02-06	3.82	3.84	3.49	3.49	3.49	74000
2009-02-09	3.49	3.81	3.49	3.68	3.68	16000
2009-02-10	3.82	3.82	3.5	3.53	3.53	10800
2009-02-11	3.69	3.74	3.54	3.54	3.54	8800
2009-02-12	3.67	3.85	3.6	3.61	3.61	36200
2009-02-13	3.76	3.82	3.58	3.6	3.6	16500
2009-02-17	3.54	3.63	3.5	3.5	3.5	25500
2009-02-18	3.52	3.59	3.41	3.43	3.43	17500
2009-02-19	3.48	3.5	3.36	3.47	3.47	14200
2009-02-20	3.46	3.52	3.39	3.4	3.4	7200
2009-02-23	3.4	3.43	3.38	3.42	3.42	7200
2009-02-24	3.42	3.42	3.4	3.41	3.41	7400
2009-02-25	3.38	3.41	3.38	3.38	3.38	23400
2009-02-26	3.46	3.58	3.44	3.47	3.47	59000
2009-02-27	3.48	3.57	3.35	3.35	3.35	10300
2009-03-02	3.36	3.36	3.25	3.28	3.28	7400
2009-03-03	3.23	3.25	3.17	3.17	3.17	6400
2009-03-04	3.11	3.44	3.11	3.22	3.22	2300
2009-03-05	3.27	3.43	3.2	3.23	3.23	8300
