Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	9.11	9.11	8.84	9.02	4.4786	100600
2008-01-03	9.06	9.25	9.0	9.24	4.587833	129300
2008-01-04	9.26	9.33	9.15	9.25	4.592798999999999	147000
2008-01-07	9.22	9.42	9.2	9.36	4.647414	141700
2008-01-08	9.32	9.46	9.32	9.45	4.692101	70400
2008-01-09	9.5	9.5	9.39	9.44	4.687137	41600
2008-01-10	9.4	9.5	9.4	9.47	4.702033	73100
2008-01-11	9.45	9.56	9.44	9.56	4.74672	57600
2008-01-14	9.56	9.61	9.53	9.57	4.751685	59900
2008-01-15	9.56	9.64	9.53	9.64	4.78644	61700
2008-01-16	9.54	9.7	9.53	9.68	4.806302	108500
2008-01-17	9.75	9.75	9.6	9.65	4.8127830000000005	70200
2008-01-18	9.58	9.69	9.43	9.47	4.723014	83800
2008-01-22	9.38	9.67	9.3	9.65	4.8127830000000005	69600
2008-01-23	9.65	9.79	9.56	9.79	4.882611	73300
2008-01-24	9.5	9.79	9.5	9.79	4.882611	91800
2008-01-25	9.76	9.86	9.71	9.84	4.907543	79800
2008-01-28	9.76	9.83	9.74	9.78	4.877622	56600
2008-01-29	9.82	9.87	9.74	9.8	4.887596	63900
2008-01-30	9.85	9.86	9.76	9.81	4.892583	66500
2008-01-31	9.77	9.87	9.65	9.74	4.85767	81400
2008-02-01	9.94	9.94	9.64	9.69	4.832733999999999	77000
2008-02-04	9.7	9.83	9.7	9.83	4.902558	75900
2008-02-05	9.64	9.89	9.64	9.79	4.882611	31500
2008-02-06	9.72	9.89	9.72	9.86	4.917521	52000
2008-02-07	9.83	9.9	9.82	9.82	4.897572	54900
2008-02-08	9.85	9.94	9.83	9.86	4.917521	59000
2008-02-11	9.92	9.95	9.85	9.93	4.952432	55800
2008-02-12	9.84	10.02	9.73	9.98	4.977369	101600
2008-02-13	10.0	10.0	9.66	9.66	4.838618	105600
2008-02-14	9.65	9.65	9.06	9.08	4.548101	217100
2008-02-15	8.75	9.1	8.75	9.09	4.553111	137700
2008-02-19	9.07	9.33	9.07	9.27	4.643273000000001	109100
