Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	29.969998999999998	30.0	29.6	29.6	22.110411	13800
2008-01-03	29.6	29.9	29.379998999999998	29.889999	22.327034	24100
2008-01-04	28.01	29.610001	27.870001000000002	29.610001	22.117889	5500
2008-01-07	29.17	29.5	29.17	29.5	22.035715	1800
2008-01-08	28.57	29.23	28.57	29.23	21.834028	4700
2008-01-09	28.559998999999998	29.639999	28.559998999999998	29.639999	22.140295000000002	3300
2008-01-10	28.85	29.58	28.85	29.15	21.774269	1700
2008-01-11	28.870001000000002	29.780001000000002	28.870001000000002	29.719998999999998	22.200048000000002	1100
2008-01-14	29.5	29.82	29.49	29.82	22.274746	600
2008-01-15	29.219998999999998	29.219998999999998	29.110001	29.129998999999998	21.759331	700
2008-01-16	28.93	28.93	28.5	28.5	21.288744	1400
2008-01-17	28.43	29.040001	28.43	29.0	21.662228	5000
2008-01-18	28.540001	29.48	28.450001	29.48	22.020779	1200
2008-01-22	28.75	29.43	28.219998999999998	29.049999	21.699574	2300
2008-01-23	28.290001	28.959999	28.26	28.889999	21.580063	1200
2008-01-24	29.040001	29.040001	28.32	28.700001	21.438139000000003	3800
2008-01-25	28.370001000000002	28.440001000000002	27.129998999999998	28.049999	20.952607999999998	2400
2008-01-28	28.219998999999998	28.51	27.59	28.5	21.288744	1800
2008-01-29	27.790001	29.0	27.5	28.450001	21.2514	8600
2008-01-30	28.1	28.99	28.09	28.57	21.341028	3900
2008-01-31	28.190001000000002	29.799999	28.190001000000002	29.41	21.968491	6400
2008-02-01	28.469998999999998	30.01	28.469998999999998	30.0	22.409198999999997	28500
2008-02-04	30.18	30.18	29.35	29.879998999999998	22.319563	5700
2008-02-05	29.5	30.629998999999998	29.5	30.0	22.409198999999997	800
2008-02-06	29.5	30.09	29.4	30.09	22.476430999999998	7300
2008-02-07	30.700001	32.349998	30.02	30.02	22.424141	400
2008-02-08	29.459999	30.9	29.459999	30.02	22.424141	1800
2008-02-11	29.809998999999998	30.540001	29.77	29.99	22.401735000000002	4800
2008-02-12	30.5	30.5	29.75	30.049999	22.446552	10800
2008-02-13	29.99	30.49	29.99	29.99	22.401735000000002	4100
2008-02-14	29.99	29.99	29.99	29.99	22.401735000000002	0
2008-02-15	29.5	30.02	29.5	30.02	22.424141	29400
2008-02-19	29.75	30.469998999999998	29.75	30.379998999999998	22.693056	700
2008-02-20	30.24	30.49	30.0	30.469998999999998	22.760281	1600
2008-02-21	30.01	30.24	30.0	30.24	22.588476	600
2008-02-22	29.75	30.49	29.75	30.0	22.409198999999997	1500
2008-02-25	30.02	30.27	30.0	30.219998999999998	22.573535999999997	1700
2008-02-26	30.219998999999998	30.219998999999998	30.219998999999998	30.219998999999998	22.573535999999997	0
2008-02-27	29.52	30.25	29.52	30.25	22.595945	400
2008-02-28	30.0	30.01	30.0	30.0	22.409198999999997	2400
2008-02-29	30.0	30.15	30.0	30.15	22.52125	4700
2008-03-03	30.0	30.27	29.74	30.0	22.409198999999997	2700
2008-03-04	30.24	30.24	30.0	30.200001	22.55859	34300
2008-03-05	30.219998999999998	30.280001000000002	29.85	30.280001000000002	22.618354999999998	47300
2008-03-06	30.790001	30.93	30.15	30.9	23.081482	2300
2008-03-07	30.9	30.9	30.0	30.0	22.409198999999997	600
2008-03-10	30.76	30.76	30.0	30.0	22.409198999999997	2000
2008-03-11	30.0	30.879998999999998	30.0	30.1	22.4839	1800
2008-03-12	30.33	30.33	30.1	30.1	22.653230999999998	400
2008-03-13	30.0	30.01	30.0	30.01	22.585501	400
2008-03-14	30.0	30.0	30.0	30.0	22.577972	800
2008-03-17	30.0	30.02	30.0	30.0	22.577972	4100
2008-03-18	29.99	30.0	29.99	29.99	22.57045	3000
2008-03-19	29.530001000000002	30.15	29.530001000000002	29.83	22.450031	2500
2008-03-20	29.610001	30.139999	29.610001	29.92	22.517767000000003	600
2008-03-24	29.110001	29.75	29.110001	29.75	22.38983	3000
2008-03-25	29.690001000000002	29.690001000000002	29.690001000000002	29.690001000000002	22.344667	100
2008-03-26	29.51	29.65	29.5	29.639999	22.307039000000003	1300
2008-03-27	29.35	29.35	29.35	29.35	22.088787	600
2008-03-28	29.549999	29.68	29.549999	29.68	22.337142999999998	500
