Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	7.49	7.74	7.23	7.4	3.8554510000000004	128600
2008-01-03	7.48	7.48	7.05	7.05	3.6731	128800
2008-01-04	7.13	7.2	6.2	6.83	3.558476	129300
2008-01-07	7.03	7.03	6.49	6.7	3.4907470000000003	131100
2008-01-08	6.8	6.89	6.67	6.82	3.553267	69800
2008-01-09	6.8	6.9	6.5	6.7	3.4907470000000003	113100
2008-01-10	6.6	6.7	6.36	6.66	3.469906	91200
2008-01-11	6.5	7.0	6.44	6.59	3.433436	70000
2008-01-14	6.6	6.76	6.4	6.5	3.386546	52100
2008-01-15	6.32	6.38	6.05	6.08	3.167722	138700
2008-01-16	6.01	6.14	5.75	5.98	3.115621	98000
2008-01-17	5.91	5.92	5.66	5.76	3.001001	146100
2008-01-18	5.62	5.71	5.08	5.24	2.730076	236500
2008-01-22	4.98	5.18	3.93	4.7	2.4487330000000003	342800
2008-01-23	4.56	5.0	4.25	4.93	2.568564	235400
2008-01-24	5.06	5.25	5.0	5.21	2.7144459999999997	126300
2008-01-25	5.46	5.46	5.15	5.25	2.735286	90700
2008-01-28	5.13	5.3	4.95	5.19	2.704027	50400
2008-01-29	5.29	5.34	5.2	5.32	2.771757	57000
2008-01-30	5.35	5.54	5.1	5.22	2.719656	87700
2008-01-31	5.22	5.49	5.1	5.3	2.7613369999999997	53600
2008-02-01	5.44	5.45	5.25	5.45	2.8394880000000002	71200
2008-02-04	5.5	6.14	5.46	6.14	3.198983	180900
2008-02-05	6.13	6.24	5.95	6.09	3.172931	130700
2008-02-06	5.97	6.38	5.7	5.88	3.0635209999999997	121500
2008-02-07	5.81	5.87	5.29	5.7	2.969739	50100
2008-02-08	5.7	5.81	5.65	5.68	2.959319	28300
2008-02-11	5.64	6.05	5.61	6.0	3.126042	43400
2008-02-12	6.0	6.25	5.7	5.75	2.99579	121800
2008-02-13	5.83	6.05	5.83	5.94	3.0947810000000002	56200
2008-02-14	5.99	6.09	5.85	5.88	3.0635209999999997	59700
2008-02-15	5.8	6.0	5.71	5.88	3.0635209999999997	29700
2008-02-19	6.0	6.2	5.81	6.08	3.167722	33500
2008-02-20	5.94	5.99	5.8	5.99	3.120832	29700
2008-02-21	6.04	6.09	5.86	5.86	3.0531	41000
2008-02-22	5.93	6.12	5.69	5.95	3.099991	54500
2008-02-25	6.09	6.09	5.86	5.86	3.0531	34300
2008-02-26	5.9	6.0	5.87	5.95	3.099991	53600
2008-02-27	5.97	6.08	5.86	5.96	3.1052020000000002	39000
2008-02-28	5.99	6.0	5.87	5.94	3.0947810000000002	42200
2008-02-29	5.94	6.02	5.88	5.92	3.084361	73400
2008-03-03	5.89	6.03	5.8	5.9	3.073941	154300
2008-03-04	5.99	5.99	5.66	5.92	3.084361	72800
2008-03-05	5.88	5.96	5.79	5.96	3.1052020000000002	54900
2008-03-06	5.75	6.01	5.65	6.01	3.179261	101800
2008-03-07	5.96	6.05	5.77	6.05	3.200421	62200
2008-03-10	6.0	6.0	5.77	5.98	3.163389	64300
2008-03-11	5.85	6.06	5.8	6.06	3.205711	53600
2008-03-12	5.94	6.0	5.87	6.0	3.173971	92700
2008-03-13	5.99	6.0	5.87	5.94	3.142231	79500
2008-03-14	5.91	6.08	5.91	6.0	3.173971	177500
2008-03-17	6.0	6.0	3.81	3.92	2.073661	663300
2008-03-18	4.21	4.21	3.03	3.2	1.692784	626800
2008-03-19	3.2	3.47	2.94	3.29	1.7403939999999998	546400
2008-03-20	3.3	3.43	3.15	3.38	1.7880029999999998	131900
2008-03-24	3.48	3.85	3.43	3.62	1.9149630000000002	172000
2008-03-25	3.68	4.0	3.56	3.98	2.1054009999999996	177800
2008-03-26	4.01	4.22	3.84	3.98	2.1054009999999996	123600
2008-03-27	4.09	4.09	3.7	3.8	2.010182	140500
2008-03-28	3.8	3.81	3.53	3.62	1.9149630000000002	88000
2008-03-31	3.61	3.78	3.55	3.78	1.999602	72400
2008-04-01	3.85	3.88	3.61	3.8	2.010182	88500
2008-04-02	3.8	4.12	3.79	4.05	2.14243	123200
