Date	Open	High	Low	Close	Adj Close	Volume
2008-01-02	1.7	1.78	1.67	1.78	1.78	24000
2008-01-03	1.78	1.79	1.75	1.79	1.79	26000
2008-01-04	1.78	1.78	1.64	1.68	1.68	98800
2008-01-07	1.62	1.72	1.62	1.69	1.69	47400
2008-01-08	1.62	1.7	1.62	1.68	1.68	21700
2008-01-09	1.68	1.69	1.62	1.67	1.67	51800
2008-01-10	1.67	1.7	1.65	1.65	1.65	29400
2008-01-11	1.66	1.69	1.62	1.64	1.64	95500
2008-01-14	1.63	1.7	1.63	1.66	1.66	32200
2008-01-15	1.65	1.75	1.65	1.72	1.72	15700
2008-01-16	1.68	1.72	1.65	1.67	1.67	56400
2008-01-17	1.67	1.75	1.67	1.69	1.69	31500
2008-01-18	1.69	1.73	1.68	1.71	1.71	54400
2008-01-22	1.65	1.7	1.6	1.67	1.67	97000
2008-01-23	1.65	1.65	1.6	1.61	1.61	68900
2008-01-24	1.65	1.67	1.6	1.65	1.65	45600
2008-01-25	1.65	1.67	1.64	1.66	1.66	6200
2008-01-28	1.68	1.68	1.6	1.63	1.63	54200
2008-01-29	1.63	1.67	1.6	1.67	1.67	46600
2008-01-30	1.65	1.78	1.65	1.73	1.73	92500
2008-01-31	1.71	1.74	1.71	1.72	1.72	68400
2008-02-01	1.73	1.74	1.7	1.7	1.7	19600
2008-02-04	1.76	1.77	1.65	1.68	1.68	43900
2008-02-05	1.7	1.74	1.66	1.7	1.7	43000
2008-02-06	1.66	1.78	1.66	1.71	1.71	100200
2008-02-07	1.7	1.72	1.66	1.67	1.67	31700
2008-02-08	1.68	1.7	1.66	1.68	1.68	25700
2008-02-11	1.69	1.7	1.64	1.66	1.66	21800
2008-02-12	1.65	1.7	1.64	1.67	1.67	11900
2008-02-13	1.73	1.73	1.67	1.69	1.69	30900
2008-02-14	1.66	1.68	1.63	1.63	1.63	48300
2008-02-15	1.65	1.72	1.63	1.65	1.65	31600
2008-02-19	1.64	1.72	1.64	1.66	1.66	17800
2008-02-20	1.68	1.7	1.64	1.64	1.64	40000
2008-02-21	1.7	1.71	1.65	1.65	1.65	16100
2008-02-22	1.68	1.7	1.62	1.64	1.64	30200
2008-02-25	1.62	1.68	1.6	1.64	1.64	39100
2008-02-26	1.65	1.7	1.63	1.64	1.64	33200
2008-02-27	1.71	1.71	1.65	1.69	1.69	38200
2008-02-28	1.69	1.69	1.64	1.65	1.65	23800
2008-02-29	1.66	1.69	1.63	1.64	1.64	34200
2008-03-03	1.62	1.7	1.62	1.68	1.68	56100
2008-03-04	1.63	1.68	1.63	1.66	1.66	19700
2008-03-05	1.64	1.68	1.64	1.68	1.68	16800
2008-03-06	1.67	1.68	1.64	1.68	1.68	14200
2008-03-07	1.66	1.68	1.64	1.65	1.65	8000
2008-03-10	1.65	1.66	1.61	1.61	1.61	24900
2008-03-11	1.6	1.67	1.6	1.65	1.65	16700
2008-03-12	1.61	1.65	1.61	1.63	1.63	48900
2008-03-13	1.6	1.64	1.6	1.64	1.64	15100
2008-03-14	1.64	1.64	1.59	1.59	1.59	14000
2008-03-17	1.58	1.58	1.4	1.5	1.5	35300
2008-03-18	1.51	1.53	1.39	1.45	1.45	31900
2008-03-19	1.42	1.55	1.39	1.45	1.45	100600
2008-03-20	1.48	1.48	1.41	1.45	1.45	27400
2008-03-24	1.46	1.5	1.45	1.47	1.47	16900
2008-03-25	1.45	1.56	1.43	1.55	1.55	113100
2008-03-26	1.45	1.55	1.45	1.55	1.55	14900
2008-03-27	1.5	1.56	1.5	1.53	1.53	31400
2008-03-28	1.49	1.58	1.46	1.56	1.56	38600
2008-03-31	1.63	1.63	1.49	1.49	1.49	17900
2008-04-01	1.5	1.5	1.42	1.42	1.42	36300
2008-04-02	1.43	1.54	1.43	1.5	1.5	15000
2008-04-03	1.47	1.49	1.33	1.35	1.35	151100
2008-04-04	1.44	1.44	1.36	1.39	1.39	22900
2008-04-07	1.39	1.4	1.35	1.37	1.37	38600
2008-04-08	1.36	1.39	1.34	1.34	1.34	25200
2008-04-09	1.36	1.37	1.33	1.35	1.35	21700
2008-04-10	1.35	1.38	1.33	1.34	1.34	74600
2008-04-11	1.3	1.36	1.3	1.35	1.35	33500
2008-04-14	1.35	1.35	1.33	1.33	1.33	20100
2008-04-15	1.33	1.4	1.33	1.35	1.35	21400
2008-04-16	1.35	1.46	1.34	1.45	1.45	17200
2008-04-17	1.41	1.49	1.41	1.49	1.49	7900
2008-04-18	1.44	1.49	1.4	1.42	1.42	4000
2008-04-21	1.4	1.49	1.4	1.41	1.41	18300
2008-04-22	1.42	1.42	1.4	1.4	1.4	11600
2008-04-23	1.4	1.44	1.4	1.44	1.44	11700
2008-04-24	1.42	1.44	1.4	1.43	1.43	10700
2008-04-25	1.41	1.44	1.39	1.42	1.42	15700
2008-04-28	1.4	1.44	1.37	1.42	1.42	16900
2008-04-29	1.43	1.44	1.39	1.39	1.39	14900
2008-04-30	1.4	1.48	1.38	1.48	1.48	17700
2008-05-01	1.46	1.46	1.41	1.41	1.41	5800
2008-05-02	1.4	1.44	1.4	1.44	1.44	33100
2008-05-05	1.41	1.44	1.4	1.44	1.44	27900
2008-05-06	1.41	1.45	1.4	1.45	1.45	4300
2008-05-07	1.39	1.48	1.39	1.48	1.48	55300
2008-05-08	1.48	1.48	1.48	1.48	1.48	2100
2008-05-09	1.41	1.48	1.41	1.48	1.48	26800
2008-05-12	1.42	1.49	1.42	1.46	1.46	6100
2008-05-13	1.47	1.48	1.46	1.48	1.48	3100
2008-05-14	1.48	1.48	1.39	1.39	1.39	77700
2008-05-15	1.38	1.38	1.3	1.36	1.36	55000
2008-05-16	1.36	1.4	1.35	1.39	1.39	55100
